 	d	z	w	a	á	o	y	é	n	g	á	m	o	r	o	y	é	é	d	í	ω	k	ω	r	ω	m	i	b	v	ú	a	</S>
va	0.0189453	0.00789845	0.0594817	0.0484779	0.0956617	0.0524148	0.0448155	0.0339151	0.0293637	0.0535329	0.0369692	0.0323585	0.0397443	0.0429743	0.0395066	0.0386696	0.0349237	0.0346608	0.0288467	0.0241187	0.0244793	0.0330859	0.0149882	0.012964	0.0134699	0.0138753	0.0119958	0.0136235	0.0203329	0.0190619	0.015053	0.00979099
chercher	0.054743	0.0496912	0.0276423	0.0301201	0.0413729	0.0766328	0.0907476	0.0944656	0.0859247	0.0819614	0.0663498	0.0644631	0.0825037	0.0284639	0.0203314	0.0146141	0.00753108	0.0014381	0.000767643	0.00165457	0.00228326	0.00373579	0.0115905	0.00883134	0.0069341	0.00505167	0.00703903	0.00584802	0.00660135	0.00731639	0.00626021	0.00708947
l'	0.0239508	0.0406734	0.0144708	0.00902855	0.00726533	0.0147726	0.0130991	0.0171449	0.0175142	0.0174036	0.0189813	0.0218731	0.0222186	0.0367222	0.0386266	0.0437862	0.0509408	0.0670858	0.0508326	0.0548501	0.0486576	0.0429083	0.0458089	0.0255959	0.0307874	0.0359015	0.0348283	0.0354317	0.0253141	0.0300794	0.0379669	0.0254796
homme	0.0169849	0.0302288	0.0164167	0.0235659	0.0246728	0.0572936	0.0602233	0.0687283	0.0466691	0.0471199	0.0183462	0.0116158	0.019021	0.0445049	0.0227555	0.0217746	0.0296411	0.023303	0.0192497	0.0307014	0.0216919	0.0375039	0.0678045	0.0462139	0.0348988	0.034184	0.0224966	0.0176691	0.018794	0.0110363	0.0179179	0.0369723
qui	0.0159002	0.0187829	0.00686194	0.00968993	0.00916495	0.0198544	0.01689	0.0192248	0.0187716	0.0204369	0.0219989	0.0130975	0.0185276	0.0206699	0.0194246	0.0201326	0.0292063	0.0602164	0.0714609	0.106586	0.0577477	0.0378343	0.0290109	0.0202714	0.0273755	0.052928	0.0478878	0.0331047	0.0230425	0.0245938	0.0398132	0.0694923
est	0.0252506	0.0230658	0.0155616	0.0146978	0.0225258	0.0333123	0.0307291	0.0370859	0.0454593	0.0440598	0.036268	0.0231849	0.028742	0.0282037	0.0270007	0.0292347	0.0368951	0.0247635	0.0252646	0.02655	0.0166652	0.0254402	0.0294938	0.0277062	0.0242502	0.0438068	0.048159	0.0377711	0.0391927	0.0445077	0.0420975	0.0430545
adossé	0.0810055	0.0549473	0.025177	0.026724	0.0366541	0.049109	0.0436018	0.0550408	0.0533338	0.0435144	0.0300275	0.0229143	0.0311475	0.0248458	0.024756	0.0265099	0.0206161	0.0154229	0.0144475	0.0126239	0.00853726	0.0109221	0.0125799	0.0119508	0.0115188	0.0225389	0.0247039	0.0162647	0.0209409	0.0276849	0.0412653	0.0986735
à	0.0173358	0.012497	0.00873301	0.00807909	0.0128276	0.0129963	0.0106623	0.01336	0.0149641	0.0210263	0.0329194	0.050813	0.0421056	0.034845	0.0472035	0.0436088	0.0403604	0.0390245	0.0498589	0.0429	0.0596411	0.0389312	0.034936	0.0265426	0.0199562	0.0333603	0.0322206	0.031064	0.0277981	0.0278042	0.0348835	0.0767417
l'	0.0509729	0.0259531	0.0130581	0.0113016	0.0119414	0.0124845	0.0120137	0.012323	0.0128651	0.0123778	0.0127932	0.0136649	0.0166835	0.0103065	0.0183591	0.0282355	0.0497136	0.0429452	0.0431	0.0671672	0.0439758	0.0349596	0.0406626	0.0268012	0.0202609	0.0316435	0.0394397	0.0415396	0.0540136	0.0594335	0.0475626	0.0814475
arbre	0.0510484	0.0369314	0.0229954	0.0192647	0.0172221	0.0124944	0.0120076	0.0123022	0.010868	0.0116445	0.0136729	0.0184492	0.0140282	0.010619	0.0155032	0.0146619	0.0198779	0.0145517	0.0159735	0.0283594	0.0258368	0.0257999	0.0491479	0.0352668	0.0253515	0.0275419	0.0379348	0.0400374	0.0676504	0.0818499	0.0653305	0.145776
</S>	0.0674342	0.0389036	0.0288905	0.0269692	0.0381887	0.0267643	0.0212742	0.0183031	0.0170433	0.0153811	0.0140612	0.0210545	0.0157773	0.00917562	0.00861113	0.00729798	0.00996927	0.0122323	0.0127959	0.0178093	0.0243966	0.0141328	0.0186401	0.0124349	0.00720384	0.0135647	0.0299014	0.0294857	0.061856	0.0735766	0.0946398	0.192231
