 	w	a	á	d	z	é	e	a	m	b	á	r	á	m	á	k	y	é	m	a	</S>
il	0.240565	0.402138	0.179117	0.100204	0.0154491	0.00485006	0.00209176	0.00186243	0.00238236	0.00357259	0.00482668	0.00559914	0.00549459	0.00513444	0.00474886	0.00394086	0.00371751	0.00397081	0.00441231	0.00387867	0.00204422
a	0.0285777	0.0191622	0.0174823	0.0340613	0.177261	0.0926996	0.117272	0.10095	0.0912252	0.0658895	0.0427214	0.0267194	0.0224795	0.0184439	0.0138645	0.018545	0.00908251	0.0145287	0.0175202	0.0298766	0.0416378
mangé	0.0221309	0.0315877	0.0333707	0.0275575	0.0311563	0.0804388	0.0906674	0.0752746	0.0675144	0.0620835	0.0615344	0.0454982	0.0437486	0.0378645	0.038714	0.0364592	0.0399381	0.0442872	0.0433295	0.0436892	0.0431552
la	0.00753183	0.0074109	0.00605484	0.00543006	0.00738049	0.0193497	0.0255449	0.0372185	0.0573636	0.0686355	0.071827	0.0796314	0.0401966	0.0463895	0.0402848	0.0463052	0.0698113	0.0693449	0.0984676	0.104497	0.0913239
partie	0.0169402	0.0247794	0.0204406	0.0113484	0.0148383	0.0259508	0.0351934	0.0465935	0.0684875	0.0566427	0.055111	0.0490412	0.0562066	0.061127	0.0627586	0.0577063	0.056199	0.0584698	0.0561427	0.0592651	0.106758
dure	0.0108796	0.00989331	0.0120963	0.0132835	0.0112722	0.014712	0.0148713	0.0291515	0.0503991	0.0425096	0.0353853	0.0391429	0.0399723	0.0506714	0.0561666	0.0668924	0.0793795	0.0918426	0.10308	0.109244	0.119154
des	0.0207166	0.0221896	0.0235445	0.0252845	0.025148	0.0491521	0.057273	0.0399559	0.0437155	0.0375275	0.0306387	0.0322263	0.0274898	0.030702	0.0308984	0.034815	0.0421175	0.061603	0.0742562	0.0984615	0.192284
fesses	0.0228927	0.0233806	0.0234858	0.0235551	0.0236649	0.0237404	0.0245222	0.0238989	0.0276853	0.0299238	0.0304242	0.0418713	0.0471094	0.0589881	0.0701121	0.0771141	0.0798316	0.0851051	0.0851245	0.0870437	0.0905261
d'	0.0294124	0.027153	0.0291296	0.0297194	0.030548	0.0303427	0.0306886	0.031615	0.034807	0.0348197	0.0301782	0.0307803	0.0310091	0.0342082	0.0421659	0.0517283	0.0717337	0.081686	0.0997159	0.10546	0.113099
un	0.0274511	0.0332965	0.0368984	0.0410128	0.0553936	0.0426503	0.0236933	0.0177407	0.0201183	0.019956	0.0203576	0.024558	0.0233572	0.03127	0.0423151	0.069902	0.0428354	0.065234	0.0683864	0.0965049	0.197068
singe	0.0265049	0.0212544	0.0215731	0.020908	0.028824	0.0217933	0.0273595	0.0272067	0.0472007	0.0398	0.018642	0.0295424	0.0392446	0.0575663	0.0581871	0.0821625	0.0602554	0.0802112	0.087837	0.104586	0.099341
</S>	0.0344842	0.0203914	0.0286456	0.0295124	0.0314862	0.0233353	0.0212635	0.0172002	0.0294545	0.0274565	0.0168756	0.0228501	0.0329626	0.0478283	0.0566693	0.0778154	0.0542352	0.0749359	0.0872901	0.116896	0.148412
