 	o	t	s	w	é	t	s	w	e	l	é	m	ó	o	k	ó	m	í	s	á	k	á	s	i	l	e	b	h	ó	y	á	</S>
pendant	0.0499395	0.0406997	0.0350307	0.0504398	0.0453445	0.0286021	0.020678	0.062382	0.0562624	0.0377405	0.0535933	0.0420674	0.031398	0.0312235	0.0291253	0.0216846	0.0169562	0.0174941	0.0232374	0.0172601	0.0195611	0.0186806	0.0188927	0.0171803	0.0169104	0.0160735	0.020301	0.0212733	0.0265183	0.0330152	0.0457314	0.0347029
la	0.0120812	0.00974657	0.00659835	0.00698094	0.0151258	0.0142305	0.0171728	0.00844384	0.0138416	0.0213586	0.0122276	0.0114674	0.0177284	0.0345318	0.0448572	0.0395154	0.0286945	0.0247577	0.0616646	0.0511679	0.0684553	0.0900078	0.0740083	0.0784234	0.0627328	0.0525051	0.0362724	0.031154	0.0152908	0.0145098	0.00846101	0.0159866
saison	0.01637	0.0184022	0.0213263	0.0237222	0.0225573	0.0349389	0.0520525	0.0285277	0.0146473	0.0220124	0.01564	0.0154696	0.0120793	0.0229805	0.0157202	0.0304314	0.0247185	0.0184043	0.0726331	0.0353994	0.0573109	0.0875903	0.0621935	0.0416907	0.0379594	0.0397892	0.0453621	0.0344879	0.0219101	0.020504	0.0126792	0.0204896
sèche	0.0433764	0.0366435	0.0367937	0.0183537	0.0275035	0.0200554	0.0320353	0.0437163	0.0270692	0.0269281	0.0455803	0.0221573	0.0311308	0.0365078	0.0337161	0.0365493	0.0388705	0.0324115	0.03855	0.0306649	0.0350633	0.0227249	0.0250552	0.0232822	0.0215131	0.0201374	0.0204496	0.0222568	0.026344	0.0291607	0.0340906	0.0613086
l'	0.0200472	0.0214371	0.0185637	0.0369905	0.0463038	0.0320196	0.0365554	0.0423422	0.0292903	0.0215208	0.0292365	0.0308408	0.0263033	0.0481655	0.0541091	0.0379997	0.0191066	0.0262156	0.0252189	0.0211537	0.0299115	0.0204869	0.0226353	0.020267	0.0186276	0.0175619	0.0220971	0.023077	0.0233978	0.0272175	0.0401179	0.111182
oranger	0.016586	0.0204154	0.025813	0.029308	0.0246502	0.0245333	0.029474	0.0611827	0.0299237	0.0190032	0.0240689	0.0292149	0.0241305	0.0387333	0.0344562	0.0412467	0.0435674	0.0442084	0.0277776	0.0306446	0.0340613	0.0291159	0.0283996	0.0324932	0.0311184	0.0262519	0.0264524	0.0268812	0.0259694	0.0289962	0.0334381	0.057884
perd	0.0724624	0.0597689	0.0808764	0.0248126	0.0143053	0.014052	0.014006	0.0222465	0.0106691	0.0131199	0.0174248	0.0269298	0.0390757	0.0582954	0.0841853	0.076022	0.0540074	0.0332104	0.0276965	0.011774	0.0201414	0.00799378	0.00714243	0.00964909	0.0101213	0.01351	0.0140731	0.0154732	0.0117853	0.0252378	0.0361861	0.0737461
ses	0.0560251	0.0558444	0.0594654	0.0396871	0.0387638	0.0233666	0.033391	0.0469003	0.0219767	0.0162945	0.0134012	0.0158638	0.0164378	0.029474	0.0288572	0.0298603	0.0254211	0.023741	0.0298963	0.0173673	0.0328653	0.0145658	0.0142171	0.016018	0.0164982	0.0251583	0.0261665	0.0308147	0.0213237	0.0352819	0.0485993	0.0964561
feuilles	0.0354159	0.0340008	0.0406693	0.015673	0.00861226	0.00909047	0.0077586	0.00968765	0.00591414	0.00770876	0.00780594	0.00910859	0.011258	0.0135183	0.0181324	0.0266327	0.0263736	0.0180091	0.0252476	0.0192726	0.0307605	0.0269837	0.0299596	0.0379293	0.0447057	0.045232	0.0503473	0.0544789	0.0610206	0.0694964	0.0896477	0.109549
</S>	0.0525348	0.0380249	0.0484009	0.0109915	0.011054	0.00808952	0.00875061	0.00869856	0.00626014	0.00513003	0.00473932	0.00403019	0.0056782	0.00987522	0.0139228	0.0163226	0.0199069	0.0275498	0.0325934	0.0339282	0.0478228	0.0405921	0.0515639	0.0480499	0.0386391	0.0357884	0.040836	0.0448097	0.0536167	0.0556684	0.0646992	0.111432
