 	k	i	á	y	é	é	p	έ	n	ω	é	d	í	o	d	z	a	m	ó	k	ó	ó	k	a	á	</S>
l'	0.00985638	0.0139384	0.0179752	0.00949119	0.0181983	0.0168656	0.0214038	0.023119	0.0229373	0.0222506	0.022621	0.0396912	0.117938	0.168539	0.123339	0.0909609	0.0412073	0.051048	0.0333358	0.0216937	0.0222741	0.0265216	0.0240655	0.0185355	0.0131506	0.00904273
argument	0.0352288	0.036675	0.0304659	0.0605355	0.108806	0.0560359	0.1472	0.117707	0.140853	0.0445071	0.0213623	0.0159951	0.0171455	0.0129529	0.00746883	0.00589708	0.0130043	0.0215025	0.0155202	0.0092975	0.0181125	0.021315	0.021341	0.0121249	0.00293384	0.0060123
que	0.179715	0.0955741	0.0311123	0.0248284	0.0194862	0.00930603	0.00916483	0.01178	0.0157863	0.0168949	0.0291079	0.0442724	0.038027	0.132404	0.0812519	0.097809	0.0565231	0.0207629	0.0120529	0.00545464	0.00720337	0.0107099	0.00625288	0.00759413	0.0128459	0.0240802
tu	0.0517153	0.0433745	0.0582617	0.0425069	0.0722347	0.0704098	0.0416424	0.0584536	0.0620606	0.045182	0.0413684	0.0375636	0.0632728	0.0613863	0.0464068	0.0259955	0.0190579	0.0245944	0.0178599	0.0159171	0.0104178	0.0107449	0.0104882	0.00949287	0.0158505	0.0437417
as	0.0484587	0.0606685	0.0746747	0.0745016	0.0526213	0.0478483	0.0369796	0.0433186	0.0309313	0.0261175	0.0140602	0.0103883	0.0122255	0.023864	0.0255287	0.0324401	0.0616064	0.0524218	0.0555892	0.0366741	0.0452906	0.0245826	0.0153851	0.0129794	0.0319577	0.0488864
avancé	0.0952685	0.0878655	0.0599602	0.0506678	0.0502159	0.0532604	0.0600089	0.0595888	0.0247275	0.0072216	0.0037844	0.00362065	0.00691696	0.0127855	0.0256422	0.0239612	0.0501768	0.0312171	0.0321711	0.0251381	0.0440602	0.0333792	0.0239096	0.0246249	0.0439631	0.0658638
n'	0.143842	0.11831	0.113759	0.055584	0.0324348	0.0316938	0.0291886	0.0227781	0.00743433	0.00311688	0.00258636	0.00273042	0.00695833	0.0139631	0.0249965	0.0249009	0.0171802	0.0100004	0.00938388	0.0106707	0.0186331	0.0136422	0.0180453	0.0184375	0.102629	0.1471
est	0.23391	0.124063	0.0991837	0.0520825	0.0480307	0.0642859	0.0572753	0.043271	0.0207596	0.0151087	0.00815371	0.00314339	0.00385441	0.00684925	0.0133267	0.013029	0.019702	0.0130198	0.0158443	0.0121721	0.016319	0.00951437	0.00865406	0.0108736	0.0219937	0.0655802
pas	0.15118	0.0928406	0.0918983	0.065977	0.0680035	0.0571644	0.0278041	0.0119921	0.00617295	0.0052314	0.00461881	0.0036083	0.0035171	0.00695969	0.0142753	0.0124045	0.0311796	0.0155543	0.00787645	0.00719595	0.0140405	0.023324	0.0262507	0.0395485	0.0308882	0.180494
pertinent	0.0384866	0.0387861	0.0478218	0.0453446	0.0454518	0.0464025	0.0446026	0.0388304	0.0188642	0.00914115	0.00660797	0.00636354	0.00774884	0.0119669	0.0269303	0.020774	0.032292	0.0140127	0.0177638	0.0249112	0.03236	0.0538052	0.0505648	0.0727376	0.0540128	0.193417
</S>	0.109777	0.103291	0.107942	0.104477	0.071049	0.067294	0.0524689	0.0324242	0.0124464	0.00789124	0.00695357	0.00689579	0.00639076	0.00303837	0.00626003	0.0048297	0.00435278	0.00240395	0.00235725	0.00395	0.00466596	0.0112587	0.00837736	0.02097	0.0244348	0.213799
