 	m	w	á	n	a	w	ó	a	d	í	k	w	ώ	ώ	r	ώ	y	a	k	w	á	n	g	o	</S>
cet	0.00222245	0.00262357	0.00595618	0.00499111	0.00413742	0.00513611	0.00509045	0.00342836	0.013772	0.0120279	0.0567865	0.064177	0.0648197	0.107301	0.12149	0.130075	0.133164	0.0678355	0.0529052	0.0503824	0.0231897	0.0165466	0.0189869	0.0142347	0.0187204
enfant	0.0942919	0.0974812	0.0796484	0.165232	0.195362	0.234786	0.066923	0.0220932	0.00398759	0.00156971	0.00285072	0.000618231	0.00105828	0.00165058	0.00262926	0.0038665	0.00360823	0.00484565	0.00368281	0.00711347	0.00194024	0.0013111	0.00182452	0.000977831	0.000647489
est	0.0493585	0.10223	0.0588933	0.0425018	0.0914748	0.131956	0.0653491	0.0706439	0.0399625	0.0245558	0.0209025	0.0210588	0.0192677	0.0180388	0.0409994	0.0234258	0.0314574	0.0275732	0.0257024	0.0318583	0.0129479	0.0146495	0.0123851	0.0121743	0.0106327
le	0.0312691	0.0361128	0.0259959	0.0253534	0.0260335	0.0676522	0.0434851	0.0581638	0.0708558	0.0344629	0.0556707	0.0676783	0.10755	0.0734288	0.0489444	0.0346969	0.0531595	0.0222127	0.0124428	0.0141426	0.0110112	0.0126692	0.0141815	0.020193	0.0326343
fils	0.038644	0.0561927	0.0711869	0.0627128	0.039351	0.0378447	0.0219967	0.0167184	0.0232248	0.011862	0.0330304	0.0435874	0.0566046	0.0463149	0.0559836	0.0425044	0.0471066	0.0428401	0.0228728	0.039439	0.024515	0.0396835	0.039684	0.0405154	0.0455843
de	0.0770767	0.04461	0.0498766	0.029825	0.0250354	0.0263999	0.0277246	0.0403994	0.041878	0.0279377	0.0365285	0.0420661	0.0713736	0.0445079	0.0381301	0.0339051	0.046375	0.0361227	0.0183678	0.0285408	0.0186209	0.0283797	0.0361214	0.052034	0.0781629
l'	0.0826483	0.0519625	0.0581661	0.0361117	0.0445288	0.0343428	0.0327567	0.0387002	0.0237909	0.0196562	0.0221246	0.0259364	0.0302081	0.023943	0.019524	0.0247585	0.052067	0.0564151	0.0185222	0.0679585	0.0131824	0.0391015	0.0613466	0.0542255	0.0680222
arrière-petit-fils	0.0984701	0.076236	0.0994821	0.0421506	0.032186	0.0301977	0.0286518	0.0249825	0.0157893	0.00446648	0.0158913	0.0184937	0.00718133	0.0123375	0.013233	0.0195046	0.0242311	0.0178014	0.0108264	0.0301083	0.00780247	0.0328924	0.0627013	0.0967258	0.177657
d'	0.0807227	0.0745062	0.078889	0.0473506	0.0267166	0.0372332	0.0262705	0.0291784	0.0300546	0.0145536	0.0243006	0.0234243	0.0323391	0.0603932	0.019863	0.0284009	0.0440798	0.0448061	0.0301341	0.0265402	0.0207694	0.0363581	0.0255423	0.0376843	0.0998891
akwango	0.046008	0.0335417	0.030703	0.0185799	0.0152008	0.0255054	0.0141408	0.0152904	0.012927	0.0061925	0.00848321	0.00882724	0.00930479	0.0210505	0.0221922	0.0274527	0.0453791	0.052823	0.0378884	0.0719405	0.0494207	0.0848329	0.0989942	0.121047	0.122274
</S>	0.0795483	0.0768325	0.0693324	0.0639971	0.0469547	0.0664293	0.0474115	0.0494723	0.0196269	0.00530435	0.00591729	0.00442844	0.00744369	0.0307875	0.0212232	0.0320542	0.0368707	0.0275801	0.0259313	0.025112	0.0219237	0.0388524	0.0303536	0.0696751	0.0969374
