 	m	w	á	n	a	á	m	i	p	ω	r	í	s	ώ	o	k	á	n	d	á	a	w	ú	r	a	m	á	m	b	í	a	</S>
l'	0.00331471	0.00759206	0.00768143	0.00704451	0.00642275	0.00573127	0.00598646	0.00702655	0.0186614	0.0247707	0.0331095	0.0413472	0.0495603	0.0689259	0.0979909	0.109095	0.08051	0.0873906	0.0254879	0.0203957	0.0156107	0.0128139	0.0181839	0.0194924	0.0160991	0.0273222	0.0243896	0.0273616	0.0419148	0.0299995	0.0314592	0.0273087
enfant	0.0408849	0.0525358	0.110761	0.0781387	0.18298	0.107882	0.139273	0.0741556	0.0369024	0.026314	0.013629	0.00977425	0.00760324	0.00185064	0.000843184	0.0019827	0.00310458	0.00616958	0.0071631	0.0062543	0.00904161	0.00196447	0.00693368	0.0106591	0.00696941	0.0134422	0.00671851	0.0151131	0.00621376	0.00867602	0.00444219	0.00162448
a	0.0285381	0.0539013	0.0682625	0.0477261	0.0543366	0.0343024	0.0576119	0.0545919	0.0209946	0.0209358	0.0214494	0.0190522	0.0193295	0.023235	0.0186125	0.0251893	0.0416643	0.0552517	0.0361592	0.025607	0.0170173	0.0181755	0.0240249	0.0241885	0.0457775	0.0322416	0.0215315	0.0291397	0.0153871	0.0153539	0.0173266	0.0130848
sali	0.0174835	0.0152983	0.00829962	0.00450069	0.00514416	0.00564155	0.00797117	0.0108272	0.0121937	0.00983955	0.0115955	0.0145721	0.016413	0.0222553	0.0331151	0.0490266	0.0623336	0.0415659	0.0922071	0.0888169	0.0841249	0.0588059	0.0636151	0.0516394	0.0436977	0.0202378	0.0273579	0.0192162	0.0179419	0.0226739	0.030802	0.0307868
son	0.0578311	0.0355095	0.0249083	0.0265319	0.0206824	0.0221028	0.0190784	0.0176611	0.012851	0.0142203	0.0196348	0.0195798	0.0191661	0.0241139	0.0270502	0.0366614	0.0293826	0.0381077	0.0475331	0.0528594	0.0449122	0.0644234	0.0462191	0.0358168	0.0337805	0.01948	0.0222967	0.0169941	0.0177152	0.0245038	0.0343977	0.0739947
habit	0.082921	0.0489106	0.0365472	0.0256181	0.017049	0.0174823	0.0159257	0.01435	0.014145	0.0154376	0.0172432	0.016184	0.0189565	0.0405511	0.0249218	0.0178805	0.0195751	0.0191509	0.0416719	0.0204493	0.0333782	0.0117062	0.0300167	0.0393954	0.0340663	0.0399408	0.0378681	0.0516654	0.0470754	0.0502338	0.027424	0.0722589
avec	0.0885279	0.0666788	0.0455693	0.0259541	0.0336922	0.0358658	0.0265185	0.0180762	0.0109291	0.0109724	0.0122638	0.0154196	0.0261151	0.0491603	0.0315287	0.0291415	0.0276801	0.0326402	0.04069	0.0363234	0.0376016	0.037521	0.036248	0.0199227	0.00722221	0.0146322	0.0122753	0.0228358	0.0174697	0.0289619	0.021891	0.0796719
l'	0.0966656	0.0543137	0.0361296	0.0350511	0.0230269	0.0248306	0.0209571	0.0130117	0.0131703	0.0152011	0.0157227	0.0165945	0.0197631	0.0340526	0.025174	0.0309828	0.0310818	0.0399618	0.0377206	0.0207441	0.0289513	0.0208196	0.0257261	0.0239096	0.011609	0.020858	0.018751	0.0253414	0.0249981	0.0436691	0.0474654	0.103745
huile	0.0968868	0.111223	0.0488407	0.0372555	0.0205154	0.0173819	0.0131783	0.00949699	0.01209	0.0205536	0.0190844	0.02638	0.0476629	0.060034	0.0614343	0.0571119	0.0475645	0.0317967	0.0147156	0.0109654	0.0134531	0.00281795	0.00623754	0.00624526	0.00498904	0.00474878	0.00899313	0.0088485	0.0109482	0.0207935	0.0183545	0.129398
de	0.111476	0.0873857	0.0447649	0.0374575	0.0273299	0.0348343	0.0373806	0.0335188	0.0211352	0.0125064	0.0123016	0.0143786	0.0210134	0.0444583	0.0312099	0.0369558	0.0311764	0.0491161	0.0341242	0.0192959	0.0251828	0.0126736	0.0104055	0.00876401	0.00760352	0.0102327	0.00975568	0.0105809	0.012935	0.0180951	0.0188335	0.113118
palme	0.123765	0.0744308	0.0486117	0.0478243	0.0307004	0.0178418	0.0114138	0.00789412	0.00757254	0.00782592	0.00729997	0.00863297	0.00961894	0.0141546	0.0179061	0.0249662	0.0215961	0.0168268	0.0207385	0.0183214	0.0211366	0.0133755	0.022074	0.0246417	0.00627896	0.0152438	0.0176497	0.0263266	0.021036	0.0534373	0.0685095	0.172349
</S>	0.10329	0.0650408	0.0476846	0.0391111	0.0386111	0.0279461	0.016831	0.0091897	0.00684752	0.00673343	0.00716965	0.00791459	0.0103332	0.0217464	0.0269893	0.030144	0.0279151	0.024868	0.0352422	0.0341906	0.032818	0.027021	0.0301227	0.0282162	0.0140171	0.013627	0.0185228	0.0187986	0.0145655	0.0313212	0.0412318	0.14194
