 	n	g	á	l	í	i	p	a	s	á	á	k	ó	n	y	i	m	ó	s	ó	k	a	</S>
je	0.150641	0.249788	0.229792	0.165984	0.0705087	0.0330452	0.0108715	0.00424921	0.00357747	0.003745	0.00334732	0.00355528	0.00331177	0.00398263	0.00701939	0.0128148	0.0114538	0.0085413	0.0058568	0.00612216	0.00450683	0.00395586	0.00333037
fends	0.0119496	0.00840693	0.00939743	0.0107983	0.0160555	0.0299632	0.0517169	0.0942486	0.15762	0.13823	0.137322	0.12978	0.0749983	0.0364495	0.0281164	0.0148473	0.0105905	0.0105053	0.00828052	0.00391817	0.00396939	0.00430307	0.00853221
du	0.0357853	0.0346117	0.0256884	0.0253935	0.0268934	0.0384764	0.0541581	0.054279	0.0415636	0.0628447	0.0543293	0.0605953	0.0533905	0.0464133	0.051931	0.0553097	0.050827	0.034902	0.036384	0.0164499	0.0259318	0.0500662	0.0637761
bois	0.00890481	0.00721691	0.00907025	0.0219391	0.0165692	0.0176487	0.0286834	0.0911432	0.100539	0.0589417	0.0678894	0.0673423	0.0581483	0.0655981	0.0750533	0.0508525	0.0495278	0.0300071	0.0231451	0.0155172	0.020739	0.0425805	0.072943
à	0.00665755	0.00755811	0.00553677	0.00511308	0.0034164	0.00643246	0.00841506	0.0147876	0.0415367	0.0252125	0.0492787	0.0426218	0.0636965	0.0790148	0.0739777	0.0653672	0.0694155	0.0652795	0.067323	0.0578987	0.0618719	0.0729133	0.106675
l'	0.111847	0.0359593	0.018796	0.0169734	0.019102	0.0134274	0.0192114	0.0283105	0.0621506	0.0492805	0.0678074	0.0679095	0.0755514	0.0691883	0.0613247	0.0534517	0.0462868	0.0251444	0.0183647	0.0139907	0.0154672	0.0320618	0.0783931
aide	0.0114064	0.0100788	0.00800421	0.00666224	0.00902788	0.00952233	0.0097612	0.00911344	0.0236067	0.0174685	0.0461594	0.0459363	0.0621335	0.075421	0.0754804	0.0747913	0.0721078	0.0592797	0.0641066	0.0538486	0.0648278	0.0792507	0.112005
d'	0.117352	0.0453717	0.0210548	0.0138811	0.0141443	0.0172599	0.0167897	0.0205543	0.0162732	0.0252532	0.0184962	0.0213196	0.0218912	0.0274601	0.0384268	0.0408446	0.0462944	0.0668263	0.054322	0.0629006	0.0626336	0.0923894	0.138261
une	0.0918795	0.0303237	0.0203012	0.0137448	0.0202171	0.0174938	0.0128886	0.0137186	0.0125908	0.0143078	0.013905	0.0183662	0.0212946	0.0279989	0.0388336	0.0496781	0.0518255	0.0625075	0.0521193	0.0546337	0.0613043	0.111425	0.188643
hache	0.0270701	0.00798726	0.00810516	0.00760386	0.00695622	0.0125828	0.0110062	0.00956499	0.0147992	0.0145221	0.0164366	0.0180524	0.0222791	0.0292583	0.0417326	0.0360677	0.0430122	0.0571826	0.054311	0.0634915	0.0889435	0.149195	0.25984
</S>	0.0599457	0.0132567	0.00902459	0.00831114	0.00957791	0.0111202	0.0113225	0.0132582	0.0360749	0.0235675	0.0335741	0.0223416	0.0291601	0.0346513	0.0494842	0.0527771	0.0455978	0.0427935	0.0440958	0.0527087	0.0712394	0.104758	0.22136
