 	e	k	ώ	b	h	í	l	í	y	é	é	k	ώ	b	h	i	w	a	y	é	e	s	ε	r	έ	w	á	r	e	w	a	l	á	a	n	y	w	á	á	a	k	έ	έ	o	y	í	í	</S>
la	0.00702102	0.0108784	0.012112	0.0124823	0.0120517	0.0076108	0.0107486	0.0149391	0.026021	0.0313	0.0498264	0.0635973	0.0886503	0.0539341	0.0339204	0.0308417	0.0168789	0.00950208	0.0192004	0.0158741	0.050505	0.0292879	0.0208363	0.015604	0.0275742	0.00720343	0.0186237	0.00865264	0.0182856	0.0103813	0.0135951	0.00932053	0.00550126	0.0116976	0.00622654	0.00703479	0.0057911	0.00811458	0.00681671	0.0168827	0.0141678	0.0159599	0.021087	0.0246213	0.0173766	0.0298417	0.0254828	0.0261374
manière	0.00511207	0.0121972	0.0136702	0.0156434	0.0173003	0.0188715	0.0132429	0.0133682	0.0166427	0.0138108	0.0315326	0.034873	0.0452224	0.0303068	0.0356241	0.0570245	0.0168162	0.0404996	0.0668977	0.0335869	0.0387078	0.0272992	0.0452071	0.0388263	0.0832078	0.0147545	0.0495078	0.0189316	0.0221221	0.01756	0.00548703	0.0137272	0.00882857	0.00396455	0.0140964	0.00817689	0.00871644	0.00707351	0.00308768	0.00315988	0.00538174	0.00524184	0.00557704	0.00372154	0.00386621	0.00426062	0.0054457	0.00182014
dont	0.0844495	0.0277242	0.012284	0.00742162	0.0146435	0.0121036	0.015764	0.0109003	0.0127117	0.0137472	0.0340697	0.0247546	0.0321685	0.018345	0.0164094	0.0129054	0.00648532	0.0201838	0.0231456	0.0241529	0.0256772	0.0231052	0.0165268	0.0431891	0.074217	0.0845015	0.0328118	0.0237551	0.0210473	0.0392242	0.0204485	0.0237446	0.0235815	0.0171956	0.0126514	0.00915864	0.0118764	0.00918196	0.0042901	0.00466666	0.00468875	0.00532103	0.00484123	0.00720887	0.00774199	0.0105665	0.00540294	0.00900848
il	0.0340623	0.0445847	0.0450409	0.0299811	0.0199652	0.0158774	0.0138334	0.0132282	0.0161797	0.0157565	0.0488274	0.0417966	0.0291903	0.0117108	0.0141657	0.00500753	0.00676421	0.0139111	0.0258333	0.0171106	0.0448631	0.0428111	0.0257925	0.0269054	0.0373651	0.00945714	0.0251548	0.0234946	0.0555113	0.0248396	0.0499634	0.0196798	0.00540511	0.0128381	0.00642007	0.00755651	0.015881	0.00957914	0.00662221	0.00516733	0.00381146	0.00410393	0.00549483	0.00707666	0.0107294	0.0115837	0.0106646	0.0284012
s'	0.0757375	0.0351485	0.0364777	0.0303013	0.036593	0.0369345	0.0220054	0.0133374	0.00831726	0.0126996	0.0123112	0.0142282	0.0155434	0.0157445	0.00713265	0.0178676	0.00864853	0.0225577	0.0258191	0.0159307	0.0175356	0.0202688	0.0361697	0.027117	0.020005	0.0116736	0.0286366	0.0415555	0.0279396	0.0207521	0.0363471	0.0408542	0.0210311	0.0266953	0.0128743	0.0154936	0.0156306	0.0121051	0.0148941	0.0109931	0.0131092	0.0084416	0.00895427	0.00643023	0.00653617	0.00858622	0.0109082	0.0151262
est	0.0518438	0.0356718	0.0549767	0.0483258	0.0547215	0.0499903	0.0276701	0.0208467	0.0150558	0.020648	0.014903	0.0130675	0.0123244	0.0216255	0.0146375	0.0268776	0.011497	0.022071	0.0134559	0.00899809	0.00846185	0.00851845	0.0207244	0.0172003	0.0139591	0.0144557	0.0187651	0.0194931	0.018255	0.0147745	0.0141066	0.0300785	0.0194858	0.0163361	0.0182774	0.0216781	0.0179135	0.0147373	0.0210148	0.0137618	0.0165127	0.0102333	0.0100858	0.010944	0.0114022	0.0165742	0.0123176	0.0307249
épuisé	0.0671112	0.0325882	0.0210057	0.0128802	0.0103066	0.00831464	0.00884341	0.00713932	0.00729356	0.0115942	0.0147532	0.0138515	0.0143729	0.0155998	0.0171446	0.0154946	0.00840371	0.0241448	0.015761	0.0122207	0.0315566	0.0225445	0.0197815	0.0338143	0.0187259	0.0374496	0.026865	0.0337708	0.0302578	0.0302644	0.0253547	0.0312223	0.0255021	0.0172471	0.0238154	0.0263375	0.0164301	0.0165633	0.0157975	0.0137076	0.012158	0.016334	0.0144888	0.0151025	0.019573	0.022457	0.0228519	0.0412031
montre	0.0147656	0.00923007	0.0104447	0.0103772	0.00916875	0.0112849	0.00803628	0.00593034	0.00729915	0.010655	0.00656965	0.00521496	0.00459276	0.00947064	0.00434149	0.0187108	0.00743843	0.0251196	0.0211183	0.0234518	0.0301123	0.0273408	0.0538152	0.0323609	0.0389295	0.0158016	0.0675496	0.0556562	0.0601229	0.0271197	0.0281741	0.0480377	0.0451027	0.0322375	0.00992194	0.0255064	0.010772	0.00952543	0.0210969	0.0108582	0.0145455	0.013041	0.00751959	0.0109459	0.00981132	0.021675	0.00564421	0.0435554
qu'	0.0290002	0.0221285	0.0215039	0.0144177	0.0221532	0.0290841	0.0728427	0.0793364	0.0542446	0.0602016	0.0541101	0.0308147	0.0323247	0.0219112	0.015697	0.0159605	0.00708698	0.00852258	0.00640071	0.00949037	0.0127206	0.00878583	0.00907456	0.0172291	0.014986	0.0178216	0.0161195	0.0185882	0.021614	0.0107254	0.0160827	0.0161155	0.0132874	0.0098586	0.00999343	0.00979173	0.00940926	0.0108621	0.00682441	0.0078468	0.0057704	0.00694652	0.00897255	0.00904209	0.0130414	0.0154081	0.0175717	0.0582785
il	0.0684456	0.0422656	0.035112	0.0276747	0.0246513	0.0258149	0.0273078	0.0182124	0.0119976	0.00964378	0.0104171	0.00615532	0.00901749	0.00741426	0.00532571	0.00584861	0.00441196	0.00678644	0.00759209	0.00629395	0.0123007	0.00989177	0.0120793	0.0200127	0.0202917	0.0198376	0.0251019	0.0325689	0.0337211	0.0205919	0.0280162	0.0312132	0.0266872	0.0223124	0.0225688	0.0188183	0.0141828	0.0160413	0.0114304	0.0152391	0.015783	0.017639	0.019484	0.0246136	0.0190296	0.0313945	0.0284512	0.0703093
