 	e	k	w	ω	s	í	l	í	y	á	b	á	n	a	y	é	y	á	a	n	g	ó	o	b	á	k	a	l	a	</S>
cette	0.00768007	0.00983168	0.0125016	0.0163062	0.0198328	0.012495	0.0217221	0.0232317	0.0422154	0.0402163	0.0430085	0.0553712	0.0566696	0.0694265	0.0620865	0.0574625	0.0397991	0.0252765	0.0282532	0.0313938	0.0200139	0.0366164	0.0343839	0.0382827	0.0420719	0.0422541	0.0288396	0.0399789	0.0244371	0.018341
manière	0.0158211	0.0193665	0.0561999	0.0141238	0.0100599	0.0061966	0.010213	0.00866312	0.00984733	0.0145193	0.0373544	0.111597	0.13852	0.104325	0.0875059	0.0680613	0.0567435	0.0496509	0.0382325	0.0292345	0.0172428	0.0192077	0.0159884	0.0199475	0.0118108	0.0109372	0.00700761	0.00607528	0.0045734	0.00097361
de	0.151023	0.0738855	0.0644156	0.0537546	0.0372842	0.0375797	0.0390885	0.0225151	0.0172834	0.0208611	0.022164	0.019679	0.025258	0.0206349	0.0185182	0.015862	0.017213	0.0241632	0.0205614	0.0186368	0.0318982	0.0234569	0.0278756	0.0289462	0.0280095	0.0204667	0.0235324	0.0244263	0.0448024	0.0262045
cajoler	0.0472823	0.0402503	0.033476	0.0246442	0.0269834	0.0208333	0.023135	0.0117848	0.0153783	0.0409913	0.0574606	0.068701	0.0664726	0.0800582	0.0725378	0.0632615	0.0432372	0.0349546	0.0293333	0.019041	0.0246578	0.0206438	0.0134477	0.018691	0.00959447	0.0112742	0.0105989	0.0125144	0.0186249	0.0401363
les	0.0290029	0.0549689	0.0553199	0.0452153	0.0597757	0.087089	0.0817299	0.0516082	0.044455	0.0655527	0.0590298	0.0235709	0.0203022	0.0151441	0.0131165	0.0131514	0.0130379	0.0179686	0.0159713	0.0141735	0.0238483	0.0176228	0.0207988	0.0206911	0.0188129	0.0133018	0.0132905	0.0152661	0.0222643	0.0539194
enfants	0.0120719	0.0235984	0.0287606	0.0376691	0.0476744	0.0768026	0.0923002	0.0895035	0.111183	0.0918864	0.0449476	0.0273284	0.0188282	0.0229244	0.0158124	0.0170772	0.0162893	0.0176076	0.0171728	0.0152095	0.023402	0.0190139	0.0194494	0.0217055	0.0209919	0.0111343	0.0104644	0.0136823	0.0156501	0.0198585
est	0.0422687	0.0580076	0.0370652	0.0316911	0.0395541	0.0733406	0.0789518	0.0942435	0.0894745	0.106785	0.0354222	0.00898151	0.0058933	0.00593659	0.00400268	0.00460912	0.0047201	0.00677902	0.0100774	0.00981754	0.0178134	0.0176909	0.0186198	0.0215667	0.0236943	0.0150764	0.0174284	0.0204371	0.0353315	0.0647197
celle	0.0179334	0.0388217	0.035338	0.0361373	0.0394794	0.055376	0.0439905	0.0314698	0.0340187	0.0311592	0.0225467	0.0143014	0.00857952	0.00806698	0.00731939	0.00896525	0.0112546	0.0123983	0.0202658	0.0380337	0.0336304	0.0406085	0.0421954	0.0424551	0.041583	0.0476171	0.0554584	0.0521624	0.0504492	0.0783849
des	0.0611775	0.0664278	0.0527593	0.0586743	0.0639037	0.07488	0.0936415	0.077974	0.0699598	0.0948778	0.0588707	0.0266131	0.0210242	0.0152424	0.0106668	0.00890894	0.00636606	0.00518572	0.00535354	0.00662821	0.00536999	0.00608471	0.00550578	0.00602121	0.00690066	0.00815155	0.00761738	0.0104366	0.0144367	0.0503401
mères	0.024422	0.0252069	0.0230477	0.0213685	0.0150066	0.0132303	0.00978193	0.00630363	0.00619397	0.00819294	0.00956752	0.00860566	0.00619005	0.00611015	0.00676267	0.00833001	0.011242	0.0148246	0.0218984	0.0436793	0.0464326	0.0598313	0.0635412	0.0667721	0.0644253	0.0769242	0.069492	0.0812287	0.0817001	0.0996877
d'	0.0573443	0.046786	0.0406689	0.0361156	0.031209	0.0319739	0.0265004	0.0215165	0.0133327	0.01271	0.00995193	0.00642001	0.00439925	0.00564887	0.00583948	0.00682072	0.00762022	0.00963094	0.0135692	0.0185488	0.021435	0.0322666	0.0306186	0.0454787	0.0521298	0.0477493	0.052002	0.0671778	0.0721702	0.172366
en	0.117604	0.0464719	0.0361082	0.015237	0.00777093	0.00299433	0.0042896	0.00274642	0.0032507	0.00473631	0.00806823	0.00223435	0.00117928	0.00129052	0.00137709	0.00220652	0.00308985	0.00283537	0.00608911	0.00936165	0.00925786	0.025866	0.0240276	0.0447761	0.0590855	0.0767274	0.0577925	0.109481	0.119837	0.194208
temps	0.027104	0.0120694	0.0144013	0.00548267	0.00287655	0.00138058	0.00135898	0.00073997	0.000868997	0.00151604	0.0055024	0.00256613	0.00111777	0.00142783	0.00141217	0.00230719	0.00306267	0.00262138	0.00572202	0.0109636	0.0103702	0.0323242	0.0273302	0.0475246	0.0567043	0.0870991	0.0651305	0.170279	0.167313	0.231424
</S>	0.0655879	0.0488212	0.0314917	0.0275759	0.0235258	0.0156885	0.0131174	0.0108855	0.0101648	0.00797527	0.00717916	0.0101717	0.00787638	0.0118841	0.00861264	0.00924924	0.0109263	0.00874354	0.0117298	0.0218905	0.0225252	0.026712	0.0335384	0.0338606	0.0452606	0.0532994	0.0635735	0.0817403	0.0840885	0.192304
