 	b	a	r	e	a	y	í	í	w	á	á	á	d	i	í	b	e	a	á	b	h	í	l	e	s	a	l	á	</S>
la	0.0120467	0.0139222	0.0126199	0.0114359	0.0107081	0.0174773	0.0176423	0.0261844	0.0185399	0.0352582	0.0438885	0.042617	0.0443909	0.0787375	0.0621049	0.0597414	0.0402223	0.0409846	0.0592112	0.0548579	0.0380994	0.0343866	0.0368657	0.0331677	0.0467593	0.0343771	0.0360677	0.0202517	0.0174337
plupart	0.111677	0.135339	0.19237	0.16095	0.108832	0.105194	0.0836047	0.0276599	0.00453368	0.00361097	0.00313069	0.00188707	0.00154203	0.00234	0.001973	0.00280977	0.00311048	0.00355892	0.00648736	0.0130441	0.00487609	0.00402978	0.00489563	0.00290195	0.00211085	0.00163115	0.00173995	0.00198488	0.0021746
de	0.0246625	0.019575	0.0221275	0.0256696	0.023714	0.0241355	0.0400156	0.112089	0.052836	0.0874981	0.0505472	0.0711231	0.0359964	0.0597185	0.0401507	0.08753	0.026477	0.0364859	0.0462175	0.0248628	0.0182555	0.0158069	0.00973644	0.00747958	0.00705845	0.00608136	0.00869414	0.0078148	0.0076409
gens	0.0127695	0.0224051	0.0366603	0.0527644	0.0383337	0.0425204	0.0386372	0.0565754	0.0734571	0.117493	0.0691175	0.0524267	0.0339916	0.0446512	0.0541385	0.0530275	0.0377737	0.0299949	0.0361785	0.0140312	0.0155997	0.0167275	0.00605435	0.00742466	0.00582911	0.0052432	0.00362224	0.00660911	0.0159429
deviennent	0.0220849	0.0185994	0.0295921	0.029267	0.0428534	0.0402576	0.0384275	0.040437	0.0365226	0.0532419	0.0391262	0.0571326	0.0572972	0.0542716	0.0436895	0.0513416	0.0459844	0.0421802	0.0408117	0.0274206	0.0170468	0.0192445	0.0139145	0.0167451	0.0124588	0.0190866	0.0155834	0.0321191	0.0432623
fonfarons	0.0447431	0.0305616	0.0304249	0.033355	0.0367939	0.0410231	0.0405215	0.0313791	0.0269342	0.0371699	0.0291485	0.0291983	0.0315277	0.0269548	0.0216233	0.0218207	0.0272267	0.0231403	0.0329217	0.0288111	0.0298503	0.0371053	0.0283977	0.0387367	0.0393089	0.0432128	0.0384151	0.0564616	0.0632319
lorsqu'	0.0332689	0.0423477	0.0411364	0.0394751	0.0428435	0.0454725	0.0435917	0.0352852	0.0396851	0.0461751	0.0469195	0.0450556	0.0453634	0.0245127	0.0126085	0.00725462	0.00770218	0.00893401	0.00555372	0.0124702	0.0122117	0.011139	0.0157981	0.0289988	0.0328141	0.0299507	0.0536886	0.0825663	0.107177
ils	0.0360216	0.0222279	0.0199122	0.0288486	0.0239034	0.0242704	0.0333136	0.0293948	0.0215574	0.0249626	0.0273371	0.0261852	0.0273533	0.0258131	0.020666	0.0203784	0.0302487	0.0259732	0.0334196	0.0313865	0.0367766	0.0392798	0.0367203	0.0454976	0.0476166	0.0500461	0.0563973	0.0648094	0.0896827
s'	0.0387717	0.0260995	0.0252574	0.0269744	0.0262733	0.0243543	0.0247628	0.0213835	0.0197825	0.0207687	0.0247721	0.0259104	0.0288721	0.018658	0.0130452	0.00797003	0.0108324	0.0151353	0.012215	0.0327636	0.0310455	0.0241797	0.0315423	0.0644868	0.0808273	0.0634714	0.075845	0.089392	0.0946077
enrichissent	0.0827033	0.0391474	0.0330188	0.0298753	0.0296222	0.0231178	0.0194097	0.013941	0.0137855	0.0160058	0.0163937	0.026011	0.0244868	0.0133352	0.0105039	0.0100416	0.015327	0.0167014	0.0154158	0.026499	0.0215042	0.0266026	0.0297149	0.0552571	0.0742289	0.073272	0.0676457	0.0808004	0.0956322
</S>	0.0725707	0.0491759	0.0398577	0.0291979	0.0303962	0.0234103	0.0216603	0.0138542	0.0152375	0.0169935	0.0205731	0.0245883	0.0243605	0.0129022	0.0113692	0.00511372	0.0134032	0.0126794	0.0131187	0.0176428	0.0234687	0.0320401	0.0341551	0.0644177	0.0632175	0.0730506	0.0554228	0.0788334	0.107289
