 	e	l	á	m	b	o	y	é	é	k	y	é	n	ω	b	í	s	í	p	á	b	h	a	é	d	z	e	e	b	v	έ	</S>
le	0.0129089	0.0191767	0.0228709	0.0269955	0.0377552	0.0368539	0.0388899	0.0415714	0.0449567	0.0397767	0.0345828	0.039477	0.0346907	0.0490456	0.0425709	0.0251633	0.0189484	0.0163119	0.022907	0.0195942	0.0286105	0.0349198	0.0300123	0.0340312	0.0451958	0.034557	0.024563	0.0337187	0.0258952	0.0273858	0.0292599	0.0268031
repas	0.01765	0.0256586	0.0725359	0.0487441	0.0482952	0.037185	0.0746646	0.0550158	0.0398787	0.0244801	0.083302	0.0408545	0.0262184	0.0459346	0.0276314	0.0145372	0.00973157	0.0178622	0.00871493	0.00686721	0.0257843	0.0304834	0.0238108	0.0277869	0.0161533	0.051566	0.0486004	0.020729	0.00878988	0.0139974	0.00316228	0.0033745
que	0.0768922	0.0405883	0.0282735	0.0177185	0.0125737	0.0157838	0.021143	0.0133645	0.014093	0.0113338	0.0132114	0.0340334	0.0321217	0.0443807	0.0346147	0.0238948	0.0190189	0.0183503	0.0221186	0.0149953	0.0233825	0.025467	0.0199907	0.0568556	0.0721446	0.0643702	0.0817353	0.0595953	0.0377795	0.0280557	0.0145148	0.0076045
tu	0.0347316	0.0491187	0.0558739	0.0533721	0.0391538	0.0317579	0.0284207	0.0248976	0.0227075	0.0219736	0.0328776	0.0407057	0.0281907	0.0354248	0.0273418	0.0397942	0.0331028	0.0404921	0.032531	0.0198453	0.0209976	0.0187131	0.0171628	0.0120477	0.0143476	0.0126247	0.0188869	0.0324708	0.0257214	0.0408099	0.0307052	0.0631992
nous	0.0426155	0.0504062	0.0509035	0.0352099	0.0360871	0.042867	0.0343448	0.0203269	0.0144443	0.0154772	0.018002	0.0283464	0.0264602	0.0249556	0.0319496	0.0507999	0.0547524	0.073542	0.0809896	0.0316356	0.0399744	0.0304266	0.0158028	0.0158849	0.0136124	0.00853242	0.00925904	0.00987544	0.00770782	0.0126018	0.0110216	0.0611852
as	0.0609753	0.0633477	0.0572047	0.0466997	0.0414393	0.0401952	0.024748	0.0130756	0.0113433	0.0125505	0.0166817	0.022619	0.0223654	0.0230852	0.0313273	0.0357284	0.0309611	0.0274806	0.0271559	0.0173041	0.0265306	0.0208232	0.0125373	0.00911	0.0108876	0.0108059	0.018148	0.0205405	0.0288211	0.0481354	0.0435887	0.123784
fait	0.0744611	0.0474495	0.0347914	0.0217294	0.0156668	0.014927	0.0187366	0.0213914	0.0215867	0.0259217	0.0201891	0.0182263	0.023797	0.0236056	0.047614	0.0278382	0.0325091	0.0465998	0.0375384	0.0217455	0.0275552	0.021354	0.0110063	0.012937	0.00872961	0.0141462	0.0153185	0.0217078	0.0291985	0.0597543	0.0695492	0.112419
aujourd'	0.0600089	0.0666744	0.0600123	0.0546038	0.0467358	0.0396134	0.0361852	0.0370673	0.0390193	0.0424264	0.0388377	0.0428924	0.0463314	0.0351429	0.0636379	0.0459354	0.0387372	0.0266533	0.00887725	0.00522416	0.0044795	0.00213422	0.00174751	0.00171425	0.0018663	0.0035424	0.00350871	0.00567229	0.0045281	0.0151045	0.0256666	0.095419
hui	0.151318	0.0720859	0.0516151	0.0667198	0.0456535	0.0263652	0.0222481	0.0250094	0.0248175	0.022622	0.0204244	0.0172203	0.0204005	0.01638	0.0243367	0.0252788	0.0284682	0.0254956	0.0201292	0.0137422	0.0130314	0.0107571	0.0142858	0.00687944	0.00772488	0.0119214	0.00860669	0.01561	0.0146214	0.0450471	0.0445716	0.0866128
était	0.0644395	0.0373735	0.037917	0.0364214	0.0318033	0.0297529	0.020822	0.0226241	0.0229303	0.0226581	0.0224722	0.0223956	0.0232169	0.0221624	0.0221943	0.0184085	0.0171607	0.0139958	0.0136392	0.0172528	0.0138791	0.0118205	0.0138064	0.013379	0.0135843	0.0161734	0.0154954	0.0242744	0.0344828	0.0680105	0.0833494	0.172104
bon	0.0975827	0.0491394	0.0409475	0.0303508	0.0193017	0.0102955	0.00894824	0.00967725	0.00985499	0.0107143	0.0124962	0.00859807	0.00925249	0.0101057	0.00919395	0.00692422	0.00656069	0.0193658	0.0185897	0.0124975	0.0224213	0.0161964	0.00686164	0.0198103	0.015557	0.0333512	0.0323568	0.0471003	0.0425672	0.100079	0.103898	0.159404
</S>	0.152788	0.0708172	0.0492774	0.0292822	0.0189511	0.00811964	0.00698781	0.00703679	0.00707886	0.00714522	0.00864571	0.00684836	0.00654356	0.0058361	0.00382291	0.00331894	0.00338978	0.0126658	0.00795405	0.00678377	0.0137776	0.00871268	0.00372844	0.0133029	0.0107423	0.0234894	0.0281413	0.0612773	0.0523378	0.107708	0.106048	0.147441
