 	n	g	á	í	p	i	i	e	k	y	έ	n	g	έ	m	í	l	ώ	b	h	ω	</S>
j'	0.158289	0.333025	0.172028	0.105378	0.090616	0.0175361	0.012731	0.00993863	0.00595291	0.00508663	0.00510043	0.00522862	0.00692346	0.00707034	0.00939708	0.0145195	0.0126293	0.00883873	0.00515578	0.0055017	0.00343084	0.00562313
ai	0.0174535	0.0134235	0.0290456	0.0394426	0.0359804	0.049255	0.0962312	0.173318	0.154181	0.112719	0.0478661	0.0206329	0.022761	0.0354575	0.0200889	0.0325064	0.0269018	0.015983	0.0105174	0.00702288	0.0103768	0.0288353
attrapé	0.0287634	0.0144388	0.0155958	0.0229473	0.0294033	0.0435301	0.0476537	0.0559053	0.0622803	0.0655307	0.0635607	0.0702161	0.0662737	0.0587798	0.0610464	0.0485688	0.034056	0.0316	0.0349254	0.0322417	0.0775955	0.0350871
une	0.0228631	0.015446	0.0132734	0.00929679	0.0112495	0.0216553	0.033025	0.0302099	0.045774	0.0563732	0.0903375	0.0954968	0.0849841	0.0767092	0.096656	0.0401716	0.0214299	0.025503	0.0338113	0.0443147	0.0596532	0.0717663
petite	0.00771751	0.00960066	0.0162117	0.0105833	0.0204205	0.080759	0.114352	0.0516481	0.0498933	0.0557649	0.0479419	0.0442506	0.0471024	0.0468411	0.0516369	0.0504176	0.0495507	0.0514285	0.0437096	0.0365783	0.0412771	0.0723142
perche	0.00460114	0.00551603	0.00533155	0.00534796	0.00881118	0.0267569	0.0439002	0.0536716	0.0678132	0.0954464	0.0631825	0.0561191	0.0535569	0.0564315	0.0592046	0.0432777	0.0461242	0.0555749	0.0364682	0.0510474	0.0697016	0.0921154
à	0.0713585	0.0671614	0.0294978	0.0243062	0.0167287	0.0206916	0.0199574	0.0237027	0.0257149	0.029888	0.0241288	0.0223539	0.0210479	0.0281346	0.0331394	0.0493287	0.0640727	0.069158	0.0627438	0.0696904	0.0995621	0.127632
l'	0.100487	0.084099	0.0751986	0.0752124	0.0324698	0.0167542	0.0154825	0.0139907	0.0171941	0.0186298	0.0184459	0.0154844	0.0177786	0.0196081	0.0327525	0.0456953	0.0512957	0.0681743	0.0617548	0.0728608	0.0722332	0.0743984
hameçon	0.0195143	0.0197048	0.0194314	0.020326	0.0226391	0.0244757	0.0315652	0.0318219	0.0456594	0.0502322	0.0452346	0.0349953	0.0414258	0.0322679	0.0589809	0.0687511	0.0573363	0.0882353	0.0595069	0.0716134	0.0778137	0.0784689
</S>	0.0677562	0.0220938	0.0181783	0.0339213	0.0401119	0.0318228	0.037564	0.0315865	0.0422601	0.0568264	0.0540269	0.0578126	0.0619774	0.0760824	0.0589682	0.0334262	0.0242737	0.0219599	0.02602	0.0399556	0.0558257	0.10755
