 	e	d	z	u	n	d	z	a	é	d	i	s	w	é	y	a	w	ó	m	á	m	o	n	d	i	e	m	á	t	s	o	n	g	a	</S>
edzunza	0.00764694	0.00970486	0.0100677	0.018347	0.017838	0.0170095	0.0176838	0.0160224	0.0186142	0.0231985	0.0271665	0.0559262	0.0785839	0.0725112	0.0541898	0.0442297	0.104206	0.045488	0.0333607	0.0235398	0.0202635	0.0257094	0.0197308	0.0232106	0.015812	0.0120481	0.0148469	0.017852	0.0182088	0.0227726	0.0165349	0.024753	0.0294453	0.0272766	0.0162011
est	0.0764826	0.0808012	0.0233075	0.0110021	0.00920369	0.0063845	0.00754395	0.0161825	0.0164948	0.0238955	0.0304608	0.0604006	0.110211	0.0575789	0.0915898	0.0742731	0.060217	0.0213456	0.0088437	0.00674054	0.00589601	0.0141797	0.0201992	0.0262993	0.0338484	0.0183563	0.0132917	0.0113385	0.00767527	0.00642742	0.0109561	0.00866585	0.00848035	0.0136616	0.00776491
un	0.0735517	0.101043	0.0353719	0.0434551	0.0377407	0.0460074	0.0298581	0.0186522	0.0274736	0.0436862	0.0450375	0.0276334	0.0306244	0.0142426	0.0196729	0.0154088	0.0420252	0.0601065	0.0446089	0.0243012	0.0169148	0.0131925	0.00540826	0.00634058	0.00864366	0.0118142	0.0172301	0.0131648	0.0194426	0.0224691	0.0269527	0.0129696	0.0115239	0.0173229	0.0161097
poisson	0.02458	0.0307183	0.0327217	0.0469881	0.0364289	0.0289	0.0279973	0.0145924	0.00488284	0.00828395	0.0137877	0.0235012	0.0420992	0.0232783	0.0139244	0.014951	0.0220662	0.0263675	0.0512448	0.0340481	0.0563439	0.0337269	0.0538479	0.0511265	0.0248151	0.0311531	0.0191389	0.0368467	0.0335651	0.0183973	0.0272952	0.012581	0.0164907	0.0204904	0.0428195
qu'	0.0440856	0.0466786	0.0412392	0.0438292	0.0380169	0.0431305	0.0316521	0.0186382	0.0182289	0.0190545	0.0234312	0.0478057	0.0503791	0.052854	0.0469163	0.0405921	0.0447792	0.0444252	0.0266804	0.0135031	0.0101508	0.00868621	0.00930124	0.00920483	0.0083581	0.0103135	0.00857809	0.0106051	0.00620098	0.00573018	0.0102975	0.0082281	0.0140812	0.026552	0.117792
on	0.0278718	0.0243339	0.0261587	0.0323583	0.0353621	0.0437885	0.0549923	0.0671111	0.0460403	0.0336078	0.0231458	0.0172402	0.00975083	0.0136478	0.0151141	0.018609	0.0334383	0.04118	0.0477811	0.0413501	0.0286824	0.0276776	0.034026	0.0386113	0.0287816	0.0237142	0.0163063	0.0139817	0.00814928	0.00599374	0.0109507	0.0128285	0.0161472	0.024379	0.0568884
trouve	0.0596478	0.0486553	0.0467343	0.0383488	0.0387186	0.0381705	0.0344633	0.0241887	0.0159769	0.0146442	0.0141115	0.0143918	0.0113641	0.0192818	0.0191423	0.0195139	0.0297758	0.0242338	0.0239285	0.0232976	0.0182215	0.0248507	0.0109955	0.01301	0.012928	0.0175084	0.014317	0.0247479	0.0234869	0.014299	0.0298051	0.0280524	0.047003	0.0651108	0.0970741
dans	0.0492067	0.0405431	0.0314171	0.0275582	0.0185997	0.0192816	0.0201986	0.0193408	0.0135641	0.0119326	0.0135643	0.0275354	0.0420455	0.0521575	0.0587948	0.0395485	0.0331404	0.0271904	0.0237686	0.0173137	0.0123005	0.0143741	0.00787779	0.00615642	0.0101499	0.0150568	0.0154811	0.0169153	0.0188302	0.0156888	0.0396786	0.0426696	0.0578054	0.0467351	0.0935788
le	0.0647904	0.0375182	0.0274796	0.0307475	0.0233373	0.0187888	0.0259853	0.0309662	0.0200779	0.0142219	0.0147741	0.0219019	0.027188	0.0169789	0.0195321	0.00963143	0.0068524	0.0231464	0.0464648	0.0344604	0.0310245	0.0237406	0.0189173	0.0132545	0.0122015	0.0198348	0.0139631	0.0186084	0.0224708	0.012709	0.025955	0.0307316	0.0569851	0.0420533	0.142707
ruisseau	0.0848913	0.0497165	0.0381877	0.0315755	0.0236003	0.0116938	0.00696348	0.00767274	0.00643915	0.00698051	0.00813591	0.00878713	0.009806	0.0133321	0.0117282	0.0129193	0.0114582	0.0180975	0.0227885	0.0207913	0.0163592	0.0208682	0.0137393	0.0127276	0.0122276	0.0264687	0.0242297	0.0494625	0.0514281	0.0284607	0.0652722	0.0383297	0.0501901	0.0679301	0.116741
vouma	0.114244	0.0539957	0.0301955	0.0266608	0.0184513	0.0117441	0.00839521	0.00758137	0.00650453	0.00714775	0.00710886	0.00879586	0.0136864	0.00999837	0.0161389	0.0212925	0.0209469	0.0205659	0.022814	0.0176653	0.0236388	0.0198939	0.0235156	0.016361	0.00799116	0.0206134	0.0126232	0.0447294	0.057767	0.0230366	0.0590481	0.0265876	0.0342774	0.0636785	0.122306
pendant	0.0571797	0.0458143	0.0251844	0.0212552	0.0186854	0.0163958	0.0166125	0.0122006	0.00763114	0.00795907	0.00908917	0.0045225	0.00479771	0.0041865	0.00318424	0.00350935	0.00459732	0.00665751	0.0309072	0.0267452	0.0664163	0.0245692	0.07404	0.0582116	0.0408303	0.0537217	0.0470489	0.0533282	0.0287206	0.0199338	0.0396968	0.0372204	0.0292748	0.0385392	0.0613334
la	0.0543493	0.0516507	0.0300354	0.026332	0.0248617	0.0204956	0.0200066	0.0179981	0.0134457	0.0124988	0.0151402	0.0127477	0.0114714	0.0133001	0.00974054	0.0115318	0.0109399	0.0105774	0.0221656	0.0186867	0.0422358	0.0181755	0.0281988	0.0250936	0.0202918	0.019933	0.018724	0.018343	0.0264096	0.0259225	0.032974	0.0567136	0.0549948	0.0782272	0.125788
grande	0.0155584	0.0139821	0.0144937	0.0158192	0.0129308	0.0115842	0.00507377	0.00394804	0.00478028	0.00652459	0.00658289	0.0086502	0.00914575	0.00726673	0.00932821	0.00933269	0.010077	0.0108334	0.0149582	0.0165096	0.0298021	0.0184943	0.024351	0.0184201	0.0154679	0.0269778	0.0486703	0.0796259	0.104837	0.0872354	0.0860734	0.0428898	0.0551389	0.0677993	0.0868372
