 	o	y	ú	r	u	w	ó	á	m	i	b	v	á	b	v	a	n	g	a	s	á	n	d	é	e	y	á	b	á	a	</S>
cette	0.0046659	0.00369898	0.00343082	0.0042161	0.00591276	0.00384991	0.0024311	0.00445889	0.00377026	0.0108093	0.0102215	0.0114123	0.0174102	0.025609	0.0367519	0.0268635	0.0460157	0.0432803	0.0398969	0.0619518	0.0714735	0.0600474	0.0574015	0.0517662	0.0435554	0.0594867	0.0633139	0.0797311	0.0650722	0.0493507	0.0321445
femme	0.070614	0.117441	0.228148	0.188923	0.0527081	0.0685714	0.0861478	0.0605502	0.0184681	0.0125019	0.00647534	0.00413591	0.00192555	0.0028916	0.00213448	0.00168684	0.00243962	0.00588641	0.00638396	0.00378887	0.00497884	0.00627541	0.0118275	0.00979341	0.0125592	0.00551041	0.00346091	0.00127462	0.00162381	0.000617724	0.000255707
est	0.0191072	0.0196263	0.0239814	0.0166292	0.0292729	0.0581615	0.0623664	0.0675599	0.0467375	0.0366387	0.0327562	0.0434177	0.0303436	0.0514478	0.0437701	0.0311117	0.0225112	0.0320933	0.0313413	0.0276059	0.0361795	0.0272692	0.044387	0.0732797	0.0255971	0.0200495	0.0131032	0.00961832	0.00843204	0.0111389	0.00446571
reconnue	0.0361443	0.0306178	0.0281529	0.0251324	0.0346409	0.0346972	0.0347007	0.0219065	0.0184333	0.0256649	0.0209061	0.0248528	0.0217025	0.0407264	0.0376513	0.0433466	0.0357624	0.0447854	0.0447598	0.0483472	0.0476092	0.0464579	0.0468375	0.0173514	0.0311586	0.0284209	0.0272499	0.0218679	0.0265571	0.0341107	0.0194472
coupable	0.055804	0.0467647	0.0330075	0.0240216	0.037134	0.0461038	0.0170287	0.0141109	0.0260243	0.0204851	0.0272114	0.0559583	0.0569444	0.0491491	0.0443692	0.0544236	0.036493	0.0399324	0.0339521	0.026874	0.0258338	0.0143919	0.0128412	0.0149883	0.0160289	0.0139004	0.0163305	0.0203846	0.0293762	0.0334455	0.0566868
d'	0.0443209	0.0342152	0.0289184	0.0258119	0.0333729	0.0373278	0.0208397	0.0108521	0.0115685	0.00915061	0.0100118	0.020375	0.023086	0.021115	0.0268531	0.0456813	0.0533113	0.0763665	0.0774315	0.0489157	0.081997	0.0273772	0.0285045	0.0304031	0.0474363	0.0191284	0.0207778	0.0110956	0.0236649	0.0161986	0.0338913
un	0.0195611	0.0185708	0.0185472	0.0155779	0.0192145	0.0169011	0.0171706	0.0156984	0.0164754	0.0108194	0.0076359	0.00976732	0.0186614	0.0131013	0.0192265	0.0279801	0.0352918	0.0398623	0.0526814	0.046702	0.0358459	0.0437399	0.0472578	0.0414972	0.063425	0.0412597	0.0482002	0.0431105	0.0515489	0.0489792	0.0956897
meurtre	0.015373	0.0164673	0.01835	0.0171294	0.0191348	0.0179725	0.0178271	0.0189978	0.0184847	0.0202966	0.0219076	0.0277159	0.028087	0.0403011	0.041596	0.0407943	0.0368315	0.0327518	0.023026	0.0149267	0.00975158	0.0321179	0.037028	0.0178349	0.0577029	0.0427614	0.0493736	0.0383607	0.0267491	0.0667485	0.1336
dans	0.0573793	0.0641342	0.0501158	0.0299725	0.0366407	0.0270055	0.0243355	0.023993	0.0247484	0.0174848	0.0256386	0.0465418	0.0542863	0.051338	0.0487096	0.0617353	0.0322026	0.0338214	0.0330496	0.0366423	0.0260574	0.0164543	0.0124069	0.00578037	0.0145577	0.0111322	0.0145864	0.0100018	0.0113742	0.0189205	0.0789529
sa	0.0445882	0.0429859	0.0303032	0.0232292	0.0235673	0.0176318	0.0113094	0.0106067	0.0088298	0.0102472	0.0134057	0.0240131	0.0280914	0.0267384	0.0235562	0.048732	0.0367191	0.0430586	0.0520515	0.0198853	0.00861136	0.0321817	0.0250475	0.0172971	0.0439855	0.0409889	0.0512947	0.0497434	0.0334728	0.0720412	0.0857861
famille	0.0365212	0.0318116	0.0208814	0.0125792	0.0110107	0.009492	0.00528839	0.00571608	0.00671547	0.00896214	0.0137571	0.018811	0.0208488	0.0226734	0.0243653	0.0371862	0.0319687	0.0359268	0.0488484	0.0192777	0.00901966	0.0448011	0.0415535	0.0244554	0.0589159	0.0567714	0.0634297	0.0562284	0.0293852	0.0812346	0.111564
</S>	0.0693156	0.0547388	0.0556652	0.0598059	0.0699314	0.0655869	0.0318742	0.0257745	0.0284649	0.0184681	0.0114739	0.0198613	0.0150368	0.0124441	0.0158897	0.0198512	0.0207535	0.0177216	0.0251081	0.0245228	0.0172591	0.0307624	0.0210171	0.0206107	0.0261448	0.0234416	0.0238317	0.024239	0.02909	0.0534932	0.0678216
