 	é	d	z	e	w	á	m	o	r	o	y	e	é	n	a	a	n	í	b	í	s	í	i	b	h	ώ	ω	d	í	</S>
c'	0.0143047	0.0193652	0.0229488	0.02202	0.0523071	0.0631093	0.0540612	0.0732583	0.0638236	0.0498734	0.0588768	0.0586903	0.0573307	0.0548752	0.0195785	0.0144807	0.0221222	0.0167748	0.0246282	0.0266391	0.0197596	0.0142472	0.0143916	0.0165607	0.0147324	0.0176181	0.0186524	0.0375734	0.0309632	0.0264332
était	0.055712	0.0307264	0.0195399	0.0177303	0.0071019	0.00779819	0.00731031	0.00909868	0.0121048	0.0164054	0.0410614	0.0666042	0.063426	0.0699264	0.102804	0.104408	0.0744123	0.0949912	0.0426856	0.0412061	0.021629	0.0139792	0.0216166	0.0127347	0.0167107	0.00796597	0.00644637	0.00400925	0.00527593	0.0045787
lui	0.152663	0.0540655	0.0291704	0.027296	0.0426942	0.0817128	0.0986614	0.079756	0.127065	0.1192	0.0444255	0.0290554	0.0162215	0.009569	0.00236825	0.00416821	0.00480723	0.00225336	0.0045792	0.00644846	0.00537168	0.00294046	0.00662203	0.00893567	0.00553018	0.00206934	0.00371662	0.00376922	0.00459335	0.0202715
qui	0.022002	0.0227335	0.0416172	0.0634464	0.0926245	0.0502324	0.0665845	0.073038	0.0606293	0.0671378	0.0307236	0.0255506	0.0235269	0.0121385	0.0112662	0.0146764	0.0330083	0.0183641	0.0349027	0.0253051	0.0151749	0.0103693	0.0155054	0.0152457	0.0154403	0.015909	0.0224379	0.0263357	0.026876	0.0471978
nous	0.0617791	0.0407192	0.0270216	0.0362014	0.0415572	0.0499412	0.0479855	0.0443846	0.0378112	0.0369761	0.0269916	0.0257231	0.0355859	0.0276362	0.0288206	0.0373456	0.0621818	0.0427041	0.0373036	0.0312092	0.017399	0.0176664	0.0155741	0.0157674	0.0172524	0.0140148	0.0195891	0.0266879	0.0389255	0.0372446
a	0.0634526	0.0607211	0.0670983	0.0591338	0.0338254	0.0512694	0.0355921	0.0294123	0.0252681	0.028668	0.05403	0.0539889	0.0665683	0.0621112	0.0492545	0.0586603	0.0341357	0.0124941	0.0125938	0.00948631	0.010572	0.0127543	0.0095519	0.00926177	0.0102259	0.0105906	0.0108132	0.0185821	0.020981	0.0189029
éclairci	0.0882201	0.0515781	0.0388106	0.0437511	0.022387	0.0261219	0.0356502	0.0345771	0.0269126	0.0267401	0.0239325	0.0198831	0.0192014	0.0261653	0.0357199	0.0440459	0.0270918	0.033699	0.0410926	0.0313806	0.0390396	0.046903	0.0357123	0.0278338	0.0159231	0.0147308	0.0192937	0.0252683	0.0278053	0.0505289
sur	0.174167	0.0854185	0.0374264	0.0284324	0.0158496	0.0151763	0.0154675	0.013036	0.0155888	0.0086472	0.0103338	0.0137022	0.0197082	0.0455801	0.0386398	0.0283227	0.018429	0.0321245	0.024613	0.0246703	0.0204178	0.0259604	0.0280423	0.0214816	0.0357817	0.0267661	0.0289508	0.026066	0.0375096	0.0836903
ce	0.161093	0.0756509	0.0360979	0.0284007	0.0140223	0.00999194	0.0146694	0.0130816	0.00973891	0.00988432	0.012763	0.0161908	0.0172447	0.0332799	0.0306977	0.0259949	0.0190635	0.0194749	0.0228131	0.0187951	0.0330838	0.038848	0.0397732	0.0353937	0.032958	0.0286822	0.0383947	0.037442	0.0501809	0.0762954
problème	0.0879125	0.0711532	0.045881	0.0243672	0.0103237	0.00769927	0.00663626	0.00628155	0.00728647	0.00685263	0.00807227	0.00949508	0.0134947	0.0200545	0.0253273	0.0377657	0.0453948	0.0499178	0.0355222	0.0384337	0.0259555	0.0232367	0.0291622	0.0269078	0.0395649	0.0396434	0.0348578	0.0520003	0.0592692	0.11153
</S>	0.0849898	0.0484231	0.0217366	0.0135261	0.0118267	0.0135354	0.0110555	0.00753838	0.0086662	0.00699024	0.00702523	0.00769147	0.0102199	0.0150902	0.0214702	0.0214982	0.0138822	0.0146949	0.0148317	0.0129412	0.018185	0.0202695	0.0244802	0.0276207	0.0442513	0.0468706	0.0537436	0.076614	0.125465	0.194866
