 	i	b	ó	r	o	í	m	i	t	ó	n	á	l	a	w	a	t	s	í	n	a	w	a	a	d	í	l	a	b	h	á	n	d	á	</S>
ses	0.0312062	0.0519088	0.0159326	0.0130135	0.0139045	0.0216054	0.0218858	0.0419289	0.0451077	0.0458614	0.0437437	0.0424667	0.0425577	0.0549392	0.0879865	0.0760665	0.0530394	0.0253444	0.0174052	0.0138708	0.0196479	0.0120852	0.0132626	0.00762101	0.0140235	0.0129801	0.0166446	0.021502	0.0171849	0.0164129	0.0145811	0.0193652	0.0222185	0.0169325	0.0157635
parents	0.109491	0.103538	0.0771922	0.0663618	0.0762318	0.0453696	0.023304	0.0165632	0.0187841	0.0109555	0.0075668	0.00878603	0.00867876	0.00824735	0.0637539	0.0164216	0.0155727	0.0172344	0.0152875	0.0148005	0.0246235	0.0148857	0.0101157	0.0123491	0.0136519	0.0105546	0.016059	0.0244484	0.0214003	0.0327353	0.0364517	0.0214004	0.0190857	0.0125783	0.00551984
ne	0.0627103	0.0229533	0.0338789	0.0357113	0.0535379	0.0526757	0.0531779	0.0646786	0.0696434	0.042915	0.0264743	0.0179858	0.0228254	0.0264788	0.0199449	0.0244596	0.0104368	0.00656099	0.00699385	0.00668079	0.00623897	0.00955945	0.0222546	0.0242326	0.018471	0.0340368	0.0294677	0.0509073	0.0297511	0.0200178	0.0246561	0.034805	0.0204026	0.010613	0.00386278
veulent	0.0405517	0.0384642	0.0281747	0.0388764	0.0504112	0.0454332	0.0466011	0.068847	0.0938585	0.0699921	0.088027	0.0970005	0.0472409	0.0317503	0.00604355	0.00533352	0.00357916	0.00553524	0.00433373	0.0155782	0.0113424	0.00952644	0.0125051	0.0197928	0.0177916	0.0172369	0.0159408	0.00986581	0.00785309	0.00608045	0.00473161	0.0102829	0.00799	0.00759851	0.0158295
plus	0.0229868	0.0174652	0.0264155	0.0244696	0.0321682	0.0345289	0.0354148	0.0383008	0.0377213	0.0372089	0.0298297	0.0543855	0.0465093	0.0409598	0.02852	0.01776	0.0195164	0.0528196	0.0399436	0.0417115	0.0340905	0.0229036	0.0127417	0.0162179	0.0289917	0.0145992	0.0183136	0.0117171	0.00921414	0.0157566	0.0207988	0.0201569	0.0200887	0.0235658	0.0522085
de	0.0394492	0.0224659	0.0240279	0.0253837	0.0322547	0.0351645	0.0352255	0.0484729	0.0457036	0.0534367	0.0434291	0.052637	0.0647794	0.0539491	0.0239597	0.0263942	0.030041	0.0310657	0.030714	0.0252932	0.031329	0.0126139	0.0154026	0.0169291	0.0187485	0.0106716	0.0129409	0.0157755	0.0099723	0.0136567	0.0125261	0.0153506	0.0172611	0.0187093	0.0342658
lui	0.0307402	0.0354702	0.0334012	0.0471775	0.0497465	0.0614109	0.0660644	0.0752055	0.0753913	0.069017	0.0451139	0.0335548	0.0452406	0.0304133	0.0218106	0.0171657	0.0191774	0.024658	0.0229329	0.0112494	0.0132122	0.00642739	0.00845079	0.00847379	0.0134565	0.00740594	0.0119287	0.0130899	0.0111606	0.0138041	0.0132103	0.0134453	0.0126702	0.0136287	0.0246941
parce	0.0407782	0.0268045	0.0284766	0.0275735	0.0269238	0.0319396	0.0327966	0.0317563	0.027337	0.0250027	0.019899	0.0328742	0.0244846	0.0246781	0.0193804	0.0213063	0.0226536	0.0397245	0.0271486	0.0294448	0.0295171	0.0220874	0.018401	0.0183577	0.0175305	0.0140066	0.0241009	0.0148142	0.021649	0.0238833	0.025358	0.0335566	0.0492776	0.0518322	0.074645
qu'	0.0307771	0.0283265	0.0326939	0.0355856	0.0336622	0.0383387	0.0285364	0.0229749	0.0201207	0.0157927	0.0220175	0.042393	0.024398	0.0221671	0.020566	0.0175484	0.0154867	0.0300662	0.0170928	0.0351809	0.0463833	0.0140351	0.0129606	0.0109177	0.0249525	0.00804057	0.0224861	0.0237135	0.0187322	0.0262186	0.0144427	0.0415479	0.0500957	0.0481747	0.103574
il	0.0463033	0.0329771	0.0319342	0.0317063	0.0311478	0.0321881	0.0323493	0.021371	0.0158635	0.0124267	0.0147528	0.0129668	0.0119304	0.00962826	0.00631906	0.00617595	0.00590001	0.0138088	0.0140154	0.0284638	0.0205153	0.0384442	0.0173292	0.0302858	0.0542641	0.0180133	0.0411427	0.0430968	0.0254265	0.042005	0.0291669	0.0423985	0.04843	0.0514551	0.0857979
