 	n	g	á	í	p	i	i	o	y	ε	έ	y	i	l	a	p	ó	a	l	a	k	ó	l	i	</S>
j'	0.165642	0.388528	0.157123	0.0847992	0.0550567	0.0124085	0.0130555	0.0078891	0.00736638	0.00712929	0.0111324	0.00710718	0.00736422	0.00620338	0.00554723	0.00553232	0.00588702	0.00633528	0.00862801	0.00614084	0.00694142	0.00689646	0.00641533	0.0051211	0.00575008
ai	0.0147114	0.00642324	0.0106922	0.0164624	0.017584	0.0247198	0.0696264	0.120727	0.137633	0.186681	0.0772663	0.0375576	0.0301166	0.0292295	0.0199649	0.0227904	0.0318141	0.0366676	0.0257353	0.0183622	0.00958084	0.00603922	0.00739165	0.0162812	0.025942
attrapé	0.0331805	0.0311925	0.0272788	0.0277349	0.0419959	0.0581803	0.0524358	0.0383901	0.0334908	0.064564	0.0594974	0.0557703	0.0403101	0.023528	0.0177833	0.0281679	0.0280822	0.0395742	0.041421	0.0490751	0.0344813	0.0441041	0.0429437	0.0497368	0.0370808
un	0.0183404	0.0283794	0.0305599	0.0112139	0.0145954	0.0156301	0.0129147	0.0206161	0.0286686	0.0366788	0.0301098	0.0421797	0.0394826	0.0548338	0.0738094	0.0776611	0.053646	0.0546299	0.0612941	0.0558386	0.0523421	0.0554281	0.0506468	0.0480166	0.0324841
grillon	0.00875747	0.0102918	0.00725347	0.00570642	0.00968117	0.0183264	0.0455256	0.0592458	0.0441085	0.0506382	0.0404387	0.0540595	0.0581004	0.0395908	0.0634678	0.0764473	0.0521718	0.0724571	0.0442623	0.0363828	0.0442137	0.0348116	0.0273635	0.0383042	0.0583935
mâle	0.012542	0.012261	0.0183156	0.0118349	0.0181454	0.0243794	0.0290699	0.0341866	0.0203115	0.0137185	0.0141636	0.0335864	0.042376	0.0393872	0.0656667	0.0467069	0.0378479	0.0387266	0.0439673	0.0527143	0.0583776	0.0616714	0.0626009	0.0761841	0.131258
hier	0.0192332	0.0095051	0.005573	0.00598665	0.010935	0.0173666	0.0294243	0.0343063	0.0274372	0.038552	0.0336369	0.0489356	0.0540659	0.0478875	0.0570733	0.0504087	0.0443113	0.0456656	0.0488525	0.0567832	0.054409	0.058623	0.0587544	0.0624928	0.0797808
dans	0.0227091	0.0140275	0.01363	0.0128105	0.0145369	0.0213867	0.0258135	0.0275798	0.0235501	0.0229013	0.0220932	0.0216779	0.025875	0.0303158	0.0495174	0.0459131	0.0343065	0.0384502	0.0470249	0.0670173	0.0624927	0.0826714	0.0888441	0.0852932	0.0995621
la	0.0224539	0.0189926	0.0191449	0.0188494	0.0183842	0.020508	0.0236509	0.028355	0.0198213	0.0175529	0.018617	0.0191394	0.0216432	0.02503	0.0398864	0.0418907	0.0373619	0.0465516	0.0563243	0.0686731	0.0696689	0.0820626	0.08944	0.0818041	0.0941935
nuit	0.0145661	0.0209839	0.018955	0.0204519	0.019197	0.0115746	0.0239591	0.0239483	0.0264355	0.0358498	0.0211137	0.0238972	0.0293562	0.0297882	0.0472404	0.0649738	0.05946	0.0715213	0.0600827	0.0464913	0.0506135	0.0506276	0.0571553	0.0816632	0.0900943
</S>	0.0402443	0.0202829	0.0169103	0.0223261	0.0261788	0.0302008	0.0372025	0.0392949	0.0507161	0.0670832	0.0286358	0.0251992	0.019822	0.0177908	0.0185335	0.0234329	0.0321136	0.03849	0.0429234	0.0383535	0.0449007	0.0549047	0.058213	0.0768656	0.129381
