 	o	k	i	r	i	m	y	e	r	é	á	y	ε	ε	l	a	o	t	ú	ú	g	h	u	m	á	a	p	ú	t	a	</S>
le	0.0101917	0.0124004	0.0118785	0.0109411	0.0133838	0.0147398	0.0139222	0.0206751	0.0215302	0.0233793	0.0183714	0.0302601	0.0369643	0.042835	0.0569183	0.0455254	0.020658	0.0175431	0.0182259	0.0258791	0.0349914	0.03166	0.0386497	0.04227	0.0492134	0.0457798	0.0567527	0.0624243	0.0611028	0.0534759	0.0574573
marchand	0.0141135	0.020567	0.0357139	0.0559372	0.118259	0.0589352	0.0494729	0.0522696	0.0630179	0.0599558	0.0451372	0.111929	0.0682134	0.0446187	0.0482322	0.0400315	0.0163083	0.0113395	0.00401299	0.00485691	0.0104089	0.00972465	0.00906289	0.013442	0.00885041	0.00912916	0.00747455	0.00406848	0.0026747	0.00154443	0.000697975
est	0.0185478	0.0206216	0.0201313	0.029057	0.0370302	0.0385584	0.0401198	0.0554778	0.0505477	0.0396	0.0540486	0.0448962	0.0411406	0.0339872	0.0251225	0.0284864	0.0378033	0.0618527	0.052171	0.0213888	0.0174343	0.0207723	0.0133493	0.0162211	0.0215635	0.0279436	0.0282231	0.0245265	0.0224348	0.0240054	0.0329372
arrivé	0.0492046	0.043994	0.0485601	0.0446468	0.0395129	0.045281	0.0663385	0.0624902	0.068181	0.0507208	0.0382812	0.0310213	0.0297838	0.0259734	0.0178111	0.0182984	0.0317913	0.0317961	0.0380233	0.028399	0.0234931	0.0149226	0.0105839	0.0136524	0.00803312	0.009051	0.0146325	0.0171303	0.0184941	0.0262448	0.0336531
au	0.0306544	0.0268791	0.026101	0.0238091	0.0227159	0.022722	0.0247617	0.026228	0.0297124	0.0349557	0.0340391	0.0432747	0.0432419	0.0442938	0.0450936	0.0466286	0.0331324	0.0302607	0.0224802	0.0210018	0.0208654	0.0205342	0.015783	0.0300039	0.024824	0.0323002	0.035391	0.0365491	0.0346632	0.0537046	0.0633953
village	0.0229941	0.0206261	0.0195051	0.0221989	0.0171306	0.01672	0.0179535	0.0233157	0.02121	0.0175265	0.0229298	0.022773	0.0263607	0.0250791	0.0226596	0.0279063	0.0388034	0.0425083	0.0438521	0.0403176	0.0552976	0.0524707	0.0417031	0.0482421	0.0329868	0.0345894	0.0364121	0.0355423	0.0453502	0.0547615	0.0502738
avec	0.0489226	0.0461057	0.0470229	0.0305421	0.0273226	0.024536	0.025123	0.0214699	0.0254956	0.0281531	0.0320553	0.0280761	0.0290582	0.0251766	0.0298635	0.0283997	0.0244829	0.0328275	0.0429574	0.0285768	0.0302963	0.0296257	0.0254748	0.0387246	0.0312402	0.0249834	0.0249824	0.0264088	0.0230145	0.0492093	0.0698727
un	0.0946845	0.0671572	0.0499331	0.0196496	0.0171549	0.0141831	0.0247112	0.0204059	0.0241558	0.0276411	0.024564	0.0191191	0.0130131	0.0130901	0.01784	0.0148496	0.0298608	0.0438297	0.0561646	0.0267504	0.033072	0.030208	0.0178782	0.0217316	0.015086	0.0143307	0.0160387	0.0198727	0.0354465	0.0670646	0.110513
ballot	0.108854	0.0737674	0.0359516	0.0156217	0.0092901	0.00601881	0.0040144	0.0037604	0.00444512	0.00495304	0.00684087	0.00681845	0.00820898	0.0102889	0.015944	0.0174544	0.0192141	0.027457	0.0520807	0.0446201	0.0568685	0.0437784	0.0243495	0.0334084	0.0271886	0.0141875	0.0299544	0.0221657	0.0293627	0.0549558	0.188177
d'	0.170511	0.113612	0.0789542	0.0360971	0.0224802	0.014863	0.00843975	0.00557672	0.00650229	0.00773686	0.00810948	0.00998913	0.0144743	0.0158241	0.0153152	0.0139963	0.0142888	0.0215663	0.03518	0.038465	0.0349087	0.0189366	0.016155	0.0175347	0.0110556	0.00624257	0.0130989	0.0135614	0.0179573	0.040482	0.158085
etoffe	0.148529	0.0646673	0.035932	0.0296693	0.0189527	0.0146301	0.00920532	0.00697921	0.0069264	0.00623015	0.00674204	0.00770353	0.0109992	0.0117991	0.0134792	0.0124321	0.0257443	0.0420879	0.0475561	0.050418	0.037482	0.0337567	0.028477	0.0274908	0.0263943	0.0286845	0.034173	0.0385043	0.0355015	0.0521205	0.0867324
</S>	0.0782094	0.0619815	0.0567436	0.0286604	0.0185541	0.0132183	0.0110508	0.0059104	0.00655972	0.0076735	0.00736538	0.00718171	0.00893187	0.00975223	0.00946667	0.00796284	0.0106014	0.0237602	0.0290662	0.0327343	0.0344764	0.0429426	0.050439	0.0434863	0.0366375	0.0241339	0.0325261	0.034583	0.044741	0.0709559	0.149694
