 	n	y	a	m	a	y	e	e	t	ω	k	í	s	í	b	í	n	í	a	b	h	í	o	k	ω	ω	g	h	ώ	k	ω	ω	g	h	ω	</S>
la	0.011662	0.0144499	0.0121825	0.0124968	0.0136925	0.0182722	0.0170731	0.0221575	0.029839	0.0376135	0.0360725	0.0454198	0.0447846	0.0521407	0.0409236	0.0828813	0.0522016	0.0351207	0.0405507	0.0345594	0.0342425	0.0338327	0.0263797	0.0260299	0.0206441	0.0155005	0.0200512	0.0210712	0.0174875	0.0177648	0.0135759	0.0163296	0.0236813	0.0207674	0.0189338	0.0196144
viande	0.021322	0.0469786	0.0689278	0.0947574	0.138643	0.228919	0.0620689	0.0526211	0.0394265	0.0239055	0.00871629	0.00596869	0.0040946	0.00460665	0.00355079	0.00646187	0.00604649	0.0101842	0.0142023	0.0101254	0.00597394	0.0110886	0.0048739	0.00678098	0.00572681	0.00934298	0.0124085	0.0149097	0.00740429	0.018325	0.0101002	0.0127833	0.0164654	0.00908399	0.00178524	0.00142018
que	0.0444665	0.0258841	0.0203845	0.0113624	0.00857653	0.0131308	0.00364279	0.00511922	0.00930702	0.0176037	0.0215721	0.0255826	0.028392	0.0343705	0.0488592	0.0499462	0.0315409	0.0302468	0.021964	0.0272892	0.0418945	0.0497332	0.0528582	0.0284576	0.0477309	0.0526413	0.0460903	0.0404621	0.0273554	0.0257656	0.0231291	0.0223082	0.0205416	0.0188709	0.0163293	0.00659081
vous	0.0291178	0.0295446	0.0359364	0.0313174	0.0196215	0.019085	0.0165584	0.0142507	0.01156	0.0139481	0.016763	0.0232415	0.0315406	0.0410043	0.0415455	0.0860937	0.0669194	0.064759	0.0431603	0.0385099	0.0236009	0.0264619	0.0207818	0.023197	0.0170708	0.0154112	0.0116928	0.0110615	0.00872373	0.0138238	0.0148486	0.0167669	0.0138728	0.0209911	0.0371658	0.0500523
avez	0.0912652	0.0749376	0.0593314	0.0486489	0.0293757	0.0347073	0.0250553	0.0214712	0.0238127	0.025348	0.0243989	0.0267932	0.00821319	0.0087186	0.00998875	0.0123657	0.0121976	0.0198296	0.0217743	0.0272468	0.0300313	0.0311101	0.0243158	0.0159547	0.0280242	0.0217766	0.0141457	0.0118843	0.010413	0.00968102	0.0102312	0.0105713	0.0141662	0.0154772	0.0339316	0.112806
fait	0.0663024	0.0410596	0.0321376	0.0285128	0.0213158	0.0180361	0.0153663	0.0143065	0.0139063	0.0135501	0.0142805	0.020488	0.0080569	0.00739045	0.0050475	0.0114581	0.00962299	0.0141693	0.0133154	0.0174529	0.0194932	0.0254378	0.0280498	0.0346053	0.0512379	0.0442906	0.0208694	0.0229114	0.0203296	0.0203794	0.0400221	0.0385923	0.0305147	0.0405641	0.0528706	0.124056
bouillir	0.031151	0.0193482	0.0183453	0.0173922	0.0202861	0.0123616	0.00982466	0.00708033	0.0047644	0.00353134	0.00210984	0.00254912	0.00256615	0.0032076	0.00265746	0.00611707	0.00621128	0.0117284	0.0143056	0.0214163	0.0342507	0.0316962	0.0461085	0.0576071	0.0684763	0.075078	0.0364284	0.0425004	0.0512344	0.0402784	0.0545122	0.048772	0.0316926	0.0386208	0.0421566	0.0836337
est	0.0981194	0.0666955	0.0458052	0.0456907	0.03629	0.0313993	0.0315581	0.0307387	0.0320665	0.0322363	0.0308206	0.0317494	0.0213003	0.0182463	0.0142504	0.0165374	0.0109966	0.0133931	0.0112723	0.0120458	0.0120886	0.0152723	0.0147664	0.0140683	0.0157651	0.0136982	0.00972292	0.00657586	0.00586114	0.00557717	0.00986477	0.0107145	0.00904571	0.0141984	0.0322806	0.179288
devenue	0.118613	0.051399	0.0316659	0.029792	0.0234477	0.023745	0.0126125	0.00600991	0.00338947	0.00213485	0.00166184	0.00210404	0.00236878	0.00323571	0.00234347	0.00730901	0.00647226	0.00926574	0.0115956	0.0158404	0.0172775	0.0219644	0.0216957	0.0301816	0.0305109	0.0392209	0.040077	0.0403906	0.0354407	0.039908	0.0398228	0.0438038	0.0454104	0.0597586	0.0355263	0.094005
tendre	0.0910442	0.0457263	0.0283413	0.0207283	0.012456	0.00753756	0.00184778	0.00116918	0.000887008	0.000643566	0.000530091	0.000766062	0.000912431	0.00154272	0.00177957	0.00644248	0.00556736	0.00968737	0.00778602	0.0136843	0.0162162	0.0254228	0.0329504	0.0488924	0.0349462	0.0623419	0.0481221	0.0429987	0.0371364	0.0383315	0.0460366	0.0486626	0.0523313	0.0687904	0.0434009	0.0943399
</S>	0.0762915	0.0576696	0.0429086	0.0397437	0.028473	0.019958	0.0172289	0.00886907	0.00608159	0.00516597	0.0052937	0.00959236	0.00667154	0.00976264	0.00845162	0.0119691	0.00558567	0.00864666	0.00549416	0.012932	0.0183482	0.0240231	0.0277956	0.0448006	0.032916	0.0420314	0.0219287	0.01526	0.0250877	0.0164346	0.0274311	0.0180436	0.0134651	0.0242405	0.0575928	0.203812
