 	n	ω	o	d	í	l	i	m	b	a	m	b	á	a	d	i	a	b	v	ú	u	n	g	á	i	d	i	p	ó	s	á	o	d	z	á	l	a	n	ω	s	a	á	n	i	i	p	ω	ώ	k	a	á	</S>
tu	0.00859811	0.00989315	0.0162245	0.0167758	0.0204354	0.0263593	0.0241281	0.0438389	0.0393025	0.0478071	0.0459334	0.0406876	0.0435994	0.0403897	0.0770206	0.0477755	0.0462304	0.103035	0.0258851	0.0336761	0.0220083	0.0177396	0.0176491	0.0101187	0.00725139	0.00317592	0.00233906	0.00290321	0.00220234	0.00419525	0.00249098	0.00293496	0.00281643	0.00303841	0.00267429	0.00310463	0.00268678	0.00298554	0.00373782	0.00320894	0.00510502	0.00354927	0.0042435	0.00705629	0.00502099	0.0132076	0.0103609	0.0218376	0.0191305	0.0137188	0.0109338	0.00897887
manges	0.0330594	0.0159255	0.00871477	0.0065982	0.00694217	0.00472993	0.00484577	0.00747666	0.012813	0.0460546	0.0479739	0.0544292	0.0663188	0.048631	0.0631841	0.0470183	0.0493047	0.0524372	0.0492686	0.0511843	0.0381546	0.0298294	0.0336321	0.0283176	0.0268946	0.0246514	0.0115002	0.015924	0.0171142	0.00672126	0.00521208	0.00514264	0.0080003	0.00663643	0.00532628	0.00536078	0.00386223	0.00437248	0.00341481	0.00412435	0.00529766	0.00217987	0.00219664	0.00178955	0.00198741	0.00178072	0.00252684	0.00219151	0.0044841	0.00504681	0.00318944	0.00622727
tellement	0.0268095	0.0415789	0.0214095	0.0143328	0.0109648	0.0152832	0.0286507	0.0283084	0.0325408	0.0402245	0.0577284	0.0586213	0.0643643	0.041156	0.0639794	0.0467751	0.0341251	0.053771	0.0275052	0.0361114	0.0298483	0.0210396	0.0197517	0.0168149	0.0154355	0.0159535	0.0121443	0.0100557	0.00767063	0.00447786	0.00288847	0.00175831	0.00321396	0.00275075	0.00414827	0.00333383	0.00458015	0.00475401	0.00749282	0.00917111	0.00722288	0.00990991	0.00785564	0.00489125	0.00438724	0.00500786	0.00431775	0.00310792	0.00320933	0.0030011	0.0024864	0.00307886
vite	0.017761	0.0391478	0.0240607	0.023552	0.0247385	0.0209091	0.0206562	0.0153539	0.0137116	0.00897346	0.0110076	0.00987874	0.00941142	0.00868993	0.00778647	0.00991043	0.00815926	0.0103411	0.0137067	0.012932	0.0178592	0.0196713	0.0132509	0.0181099	0.0354353	0.0275873	0.0266693	0.021994	0.0201839	0.0219784	0.0213556	0.0157325	0.0255891	0.0191961	0.0234439	0.019796	0.0288162	0.0259959	0.0331829	0.0375638	0.0241346	0.0399007	0.0280066	0.02616	0.0330586	0.0119149	0.00651592	0.00449239	0.00387941	0.00820452	0.0116255	0.0180073
que	0.00868254	0.00745762	0.0067833	0.00627666	0.00622013	0.00600605	0.00615119	0.00736825	0.00754229	0.00668625	0.00729933	0.00731676	0.00884959	0.00753276	0.0101922	0.00893154	0.00763963	0.0120563	0.0175729	0.0179228	0.0234433	0.0177803	0.0146311	0.0308081	0.0759206	0.0499646	0.0482192	0.0573296	0.0392807	0.0317991	0.0348181	0.033365	0.0285033	0.0235756	0.025842	0.0209357	0.0178819	0.0172663	0.0186358	0.0245842	0.0224503	0.0235215	0.0256194	0.0254339	0.0136686	0.00959377	0.00888314	0.0106126	0.00909142	0.0109125	0.012083	0.0190573
je	0.00483242	0.00540555	0.00616929	0.00670989	0.00744835	0.00762143	0.00808643	0.00848648	0.00863541	0.00603344	0.00420718	0.00356152	0.00343266	0.00555134	0.00465587	0.00500004	0.00465514	0.00497934	0.00649208	0.00677875	0.0100492	0.00881378	0.00899844	0.0147334	0.0437092	0.0274495	0.0319272	0.0384923	0.0270952	0.0379986	0.0397277	0.0286728	0.0224527	0.0274972	0.0316196	0.0283692	0.0295192	0.0274908	0.0271241	0.0339687	0.0511636	0.042728	0.0316432	0.0413127	0.0253907	0.018459	0.0121665	0.0333485	0.0196809	0.0179666	0.0212064	0.0204823
ne	0.00950373	0.00771623	0.00705311	0.00669142	0.00643257	0.00600333	0.00544629	0.00657144	0.0072485	0.00646172	0.00584911	0.00440287	0.00546114	0.00654494	0.00509346	0.0049553	0.00412682	0.00557226	0.00854196	0.00787778	0.00983088	0.00785643	0.00952074	0.0141019	0.0184209	0.0196375	0.0217594	0.0229905	0.0239357	0.0418812	0.0336857	0.0292443	0.0369961	0.0316596	0.0426989	0.0360753	0.0377573	0.0382279	0.0450876	0.04913	0.0396881	0.0505337	0.039169	0.0313469	0.0217569	0.0155034	0.0121934	0.0181449	0.0132648	0.0156559	0.0197236	0.0249676
veux	0.0324686	0.0213332	0.0175154	0.0108778	0.00658686	0.00389981	0.00395449	0.00428931	0.00704424	0.00886395	0.00960935	0.00887799	0.0100691	0.00807772	0.00851952	0.00826547	0.00714968	0.00926684	0.0122204	0.0115408	0.012856	0.013376	0.0123812	0.0152376	0.0198309	0.0185656	0.0231163	0.0197399	0.0197531	0.0329449	0.0308405	0.0277545	0.0438541	0.0289042	0.0386526	0.0317652	0.0342047	0.0293059	0.0370857	0.0364923	0.0265568	0.0342934	0.0217276	0.0154924	0.0126493	0.0160318	0.0117139	0.020677	0.0165758	0.0212085	0.0263546	0.0396272
pas	0.107899	0.0603144	0.0378812	0.0192302	0.00840272	0.00721426	0.00831965	0.00885747	0.0153138	0.0127593	0.016758	0.0123906	0.0131568	0.010171	0.0111574	0.0131365	0.00750735	0.0112103	0.0164858	0.0162407	0.0181678	0.0181555	0.0143872	0.0191959	0.0395128	0.0291309	0.0295626	0.0353208	0.0240105	0.0200271	0.03611	0.0333382	0.0270075	0.018393	0.0203164	0.0149616	0.0172052	0.011495	0.0127355	0.0112101	0.00626633	0.0082458	0.00529317	0.00594863	0.0057166	0.00838724	0.00776352	0.0139541	0.0143972	0.0153946	0.0157335	0.0282492
manger	0.0343929	0.0234592	0.0170662	0.0103118	0.00529355	0.00442749	0.00425254	0.00451957	0.00637771	0.00426406	0.00524838	0.00415407	0.00448975	0.00539993	0.00565384	0.008728	0.00554351	0.0102439	0.0178619	0.0172207	0.0205634	0.0222194	0.0146733	0.0217062	0.0469607	0.0366655	0.035404	0.0494916	0.0349891	0.0288947	0.0355837	0.0421216	0.0265967	0.0245567	0.0246116	0.0201823	0.0205322	0.0173972	0.0168079	0.0178061	0.0120085	0.0146832	0.0123915	0.0116962	0.0108248	0.0134405	0.0162502	0.0226202	0.0255511	0.0267018	0.0276949	0.0494645
dans	0.0514068	0.0344264	0.0255456	0.0160219	0.00865287	0.00606718	0.00388271	0.0042452	0.0058446	0.00366226	0.0047446	0.00385585	0.00427497	0.00543508	0.00568111	0.00876572	0.00560492	0.0100546	0.0194231	0.0189568	0.0229086	0.0260369	0.0156023	0.0264821	0.0588256	0.04592	0.0432205	0.0594717	0.0407551	0.0262648	0.0296391	0.028486	0.0162603	0.0165565	0.0158424	0.0131358	0.010454	0.00929024	0.00943586	0.0106186	0.00815698	0.0100409	0.00819745	0.0113948	0.00727451	0.0130862	0.0166177	0.0218977	0.0263559	0.029355	0.025512	0.050352
une	0.0505512	0.0328598	0.0251929	0.0118356	0.00585481	0.0058404	0.00602527	0.00576213	0.00635344	0.00487428	0.0043084	0.00332917	0.00406367	0.00452369	0.00436618	0.00563888	0.00472487	0.00630019	0.0153464	0.0132476	0.02049	0.0192242	0.0126425	0.0256993	0.0611848	0.0441673	0.0386314	0.0592529	0.0416694	0.0206112	0.0335652	0.0279517	0.0128332	0.0152719	0.0143085	0.0124801	0.0112459	0.00900561	0.00933142	0.0111123	0.0137482	0.0150503	0.0104248	0.017884	0.0120711	0.019968	0.0228168	0.0267001	0.0324682	0.0312049	0.0260809	0.0499053
même	0.0752164	0.0447922	0.0283807	0.0114723	0.0045201	0.00362119	0.00340368	0.00295984	0.00413326	0.00471375	0.00583265	0.0044871	0.00663911	0.00583882	0.00557754	0.00643012	0.00687112	0.0090512	0.0173925	0.0143234	0.0179396	0.0162102	0.0130048	0.0181839	0.0280621	0.0248882	0.0221236	0.0309437	0.0265509	0.019055	0.0185679	0.0248713	0.022214	0.0186278	0.0233954	0.0187367	0.0208659	0.0160803	0.0191662	0.0194703	0.0128187	0.0163393	0.00986303	0.00992031	0.00957496	0.0183026	0.0159291	0.0259677	0.0265397	0.0385062	0.0390804	0.092543
