 	o	f	u	n	d	u	i	b	v	ú	a	d	í	é	d	z	e	n	d	a	</S>
quelle	0.0088285	0.0112307	0.012702	0.0203563	0.016933	0.0213074	0.0127289	0.0123997	0.0143968	0.0163549	0.0149731	0.0181517	0.0258264	0.0386667	0.0695508	0.0676592	0.131483	0.160112	0.152053	0.112419	0.0618659
est	0.16664	0.166003	0.0852913	0.0471184	0.0274965	0.0217958	0.0172016	0.0204442	0.0303358	0.0439726	0.043644	0.0287255	0.0665466	0.0582962	0.0349474	0.0322818	0.0218225	0.0428795	0.00821489	0.00613044	0.0302119
la	0.0672335	0.0586072	0.0365393	0.0200698	0.0168971	0.0093963	0.0160374	0.0186754	0.0137866	0.0173096	0.0137747	0.0160219	0.0561693	0.0957437	0.0857508	0.102934	0.0779786	0.089856	0.0656911	0.0670967	0.0544308
personne	0.0770119	0.0784017	0.0574743	0.0428653	0.0332611	0.0304835	0.0341931	0.0619783	0.045264	0.0420686	0.0478135	0.0300535	0.0708121	0.082185	0.0897485	0.0452263	0.0251869	0.0347507	0.0204865	0.0158531	0.0348821
qui	0.0288694	0.0277391	0.0415354	0.0537448	0.0667567	0.0247855	0.0342908	0.0319699	0.0401975	0.108219	0.0992366	0.057682	0.0451684	0.0407821	0.0496901	0.0448914	0.0348325	0.0375844	0.0333394	0.0413381	0.0573473
a	0.0441684	0.0844381	0.113006	0.0641974	0.0492152	0.0231671	0.0256801	0.0358659	0.0507903	0.0496231	0.0461012	0.0348925	0.0495892	0.0316455	0.0373149	0.0409946	0.0343494	0.0475943	0.0421844	0.0473493	0.0478338
déraciné	0.125912	0.106163	0.0710054	0.0274555	0.0239886	0.0204169	0.0223374	0.0270298	0.0443752	0.049652	0.0379779	0.0287214	0.0263196	0.0285382	0.0381392	0.0386183	0.041064	0.0511028	0.0442271	0.0406295	0.106327
cet	0.242403	0.190988	0.122202	0.0412333	0.0253459	0.0110803	0.0108325	0.0113954	0.0181023	0.0378027	0.0244557	0.0413325	0.0377687	0.0213533	0.011788	0.0115071	0.0102318	0.0476144	0.00978947	0.0183714	0.0544017
arbre	0.321209	0.206463	0.0909788	0.0279	0.0218009	0.00824573	0.00508496	0.00657951	0.00945676	0.024669	0.0187342	0.032788	0.0237321	0.0224797	0.0134628	0.0107985	0.0122123	0.0350731	0.0166994	0.0277549	0.0638778
</S>	0.255768	0.166072	0.0659438	0.0144528	0.0102192	0.00543062	0.00438295	0.00526241	0.00924364	0.0170366	0.0163685	0.0288684	0.0263548	0.0279646	0.0244857	0.0223605	0.0278762	0.0529033	0.0345101	0.0513303	0.133166
