 	n	g	á	í	m	o	d	z	w	á	o	b	h	ω	r	ω	m	w	é	s	é	</S>
je	0.259211	0.2751	0.213514	0.111989	0.0518887	0.012774	0.00396607	0.00681665	0.00377412	0.00533682	0.00497971	0.00638189	0.0048721	0.00439876	0.00429888	0.00387278	0.00341974	0.00221092	0.00439673	0.00591535	0.00562143	0.00526124
m'	0.158344	0.14028	0.0949028	0.0746109	0.0338632	0.0133131	0.0225947	0.0672928	0.0998512	0.043357	0.0493849	0.0426758	0.02408	0.0134806	0.0122938	0.00877774	0.00709122	0.00430436	0.0153502	0.0282228	0.0257008	0.0202286
en	0.0208454	0.0325119	0.0117234	0.0247275	0.0255502	0.0607648	0.0698079	0.0368644	0.0538327	0.0476043	0.0660345	0.112631	0.0569866	0.0492307	0.0655999	0.0572909	0.048612	0.025668	0.0423987	0.0281505	0.0310249	0.0321393
vais	0.0370208	0.0247054	0.0162426	0.0231069	0.0288764	0.0727251	0.0798463	0.0498151	0.101019	0.0470651	0.0532825	0.0692681	0.0443492	0.0233379	0.0277233	0.0355448	0.0390115	0.0267123	0.0363157	0.0479681	0.0475534	0.0685107
prendre	0.0179079	0.0103974	0.0211367	0.0179215	0.0247369	0.0482999	0.0795915	0.0467173	0.0634801	0.042503	0.0461992	0.0692098	0.0499468	0.0361964	0.0364786	0.0382794	0.0369115	0.0429632	0.0397585	0.0509277	0.0632276	0.117209
un	0.0550517	0.0227045	0.0310244	0.0168067	0.013733	0.0276876	0.0423893	0.0341909	0.0596606	0.0441941	0.0659905	0.105327	0.0517436	0.0323501	0.02865	0.0330257	0.0318083	0.0381135	0.0369057	0.0483519	0.0584282	0.121863
bain	0.0162212	0.0152327	0.0227792	0.0313095	0.0371878	0.04351	0.0401091	0.0397944	0.0889815	0.0411989	0.0942555	0.118681	0.0658454	0.0350136	0.0373466	0.0211395	0.0311884	0.0152274	0.0309183	0.0436347	0.047731	0.0826942
de	0.0411244	0.0580068	0.0829469	0.0446327	0.0385637	0.0281759	0.025212	0.0202766	0.0350821	0.0256022	0.0331889	0.0542025	0.0588721	0.0513264	0.0462399	0.0483374	0.0496159	0.0246746	0.0498785	0.0605324	0.0554564	0.0680517
soleil	0.0407011	0.0426666	0.0251687	0.0212198	0.0210285	0.0247108	0.0255817	0.0216135	0.0192405	0.0117781	0.0297304	0.0481043	0.042762	0.0556198	0.0620236	0.0697882	0.0717703	0.0670323	0.0732426	0.0746562	0.0735937	0.0779675
</S>	0.0320037	0.0288638	0.0221092	0.0260688	0.0284486	0.0317369	0.0321465	0.0280631	0.0252778	0.0100057	0.030478	0.0477208	0.0382177	0.0422693	0.0465682	0.0736444	0.0559839	0.0758244	0.0660725	0.083786	0.0785903	0.0961203
