 	n	g	ó	o	á	b	v	ú	ú	s	u	m	w	á	n	a	n	d	é	e	</S>
la	0.0518703	0.101257	0.0441016	0.0186857	0.00824062	0.0134898	0.0117123	0.0102998	0.0155143	0.0360921	0.0559855	0.125351	0.123017	0.131766	0.102255	0.0398553	0.0481207	0.017292	0.0193315	0.0134997	0.0122631
mère	0.606972	0.107071	0.0605722	0.105775	0.0629027	0.0248274	0.0108309	0.00639756	0.00712971	0.000382224	0.000350725	0.000511508	0.00101645	0.00114793	0.00143256	0.000533983	0.000675219	0.00060323	0.000421571	0.000310244	0.0001356
a	0.0427762	0.0360166	0.0397763	0.0818456	0.0984634	0.0591227	0.0352805	0.0298629	0.0302556	0.0587639	0.0787633	0.0840217	0.100444	0.0470622	0.0288419	0.0239759	0.0266977	0.0217047	0.0258171	0.0342636	0.0162438
renvoyé	0.0232433	0.0191158	0.0174544	0.0252829	0.0662621	0.0405478	0.0269598	0.033798	0.0192396	0.0499491	0.0832122	0.131373	0.184923	0.0901032	0.0253363	0.0240615	0.0169643	0.0192182	0.0275554	0.0438538	0.031546
l'	0.0298226	0.0250244	0.038412	0.0406039	0.0382335	0.0262868	0.0191509	0.0172246	0.0199575	0.0135052	0.0233231	0.0393258	0.0641708	0.0788306	0.0999062	0.0734982	0.073056	0.0643253	0.0669032	0.0675457	0.0808935
enfant	0.0407128	0.0449898	0.0429393	0.0322602	0.0268202	0.0271429	0.0222751	0.0278547	0.0369319	0.0404599	0.0532826	0.0751978	0.0576914	0.0440551	0.0590228	0.046568	0.0363739	0.0350314	0.0486604	0.0656468	0.136083
à	0.0247631	0.0293027	0.0283142	0.0238519	0.0229906	0.0247562	0.0294643	0.0359027	0.0411835	0.0400132	0.045113	0.0457613	0.0279798	0.0295833	0.0540539	0.0452615	0.0771666	0.0825945	0.0859369	0.0903189	0.115688
la	0.0237518	0.0256846	0.0228121	0.0366144	0.0416749	0.033638	0.0240019	0.0191086	0.0189612	0.0224288	0.0163682	0.0144868	0.00909504	0.0143032	0.0429497	0.08667	0.0962101	0.117435	0.111747	0.0884691	0.13359
maison	0.0324039	0.0340937	0.0317584	0.0271938	0.0284469	0.0135406	0.00879857	0.00916888	0.00878218	0.00369091	0.00405357	0.00414961	0.00494448	0.00889781	0.0116898	0.024732	0.0931203	0.147794	0.16941	0.12771	0.20562
</S>	0.0276373	0.0270093	0.0268571	0.0272252	0.0374021	0.0204432	0.0156602	0.0155897	0.0133242	0.0186996	0.0192604	0.0215183	0.0413175	0.0522649	0.0604556	0.0879235	0.0947762	0.0951447	0.0866705	0.10151	0.109311
