 	m	o	r	o	y	e	é	d	z	e	l	á	a	y	a	á	m	ó	k	ó	ó	w	ó	á	p	a	s	i	m	é	b	ώ	ω	y	é	w	ε	s	έ	</S>
l'	0.0063696	0.00803711	0.00861067	0.00700436	0.00767737	0.00850455	0.0194088	0.0210676	0.0308381	0.0321347	0.0388344	0.0468353	0.0665966	0.0492769	0.065054	0.0373208	0.0426842	0.0387239	0.0292977	0.0247603	0.0175604	0.015448	0.0118719	0.0141503	0.0119581	0.00854127	0.0116271	0.00771092	0.0134617	0.00972204	0.0182181	0.0255698	0.0251398	0.0302316	0.0274562	0.0260596	0.0362489	0.0408831	0.0358735	0.0232307
homme	0.0296421	0.0505344	0.226291	0.297182	0.102398	0.0923796	0.0598563	0.0310689	0.0171545	0.00500497	0.00293899	0.00302495	0.003892	0.00242193	0.00446444	0.0061432	0.00281547	0.00747024	0.00496459	0.00786684	0.00378504	0.0024083	0.0018862	0.0016636	0.00140139	0.00248847	0.00177877	0.00155253	0.00268993	0.000849709	0.000770227	0.00555135	0.00604752	0.00279027	0.00272599	0.00136596	0.00116267	0.000679769	0.000339912	0.000548299
qui	0.0978858	0.092931	0.039277	0.026829	0.0241084	0.0190559	0.0181496	0.0148022	0.0431706	0.0171579	0.0150603	0.014659	0.0135384	0.00926994	0.0124965	0.00891498	0.00617109	0.0111984	0.0154414	0.044192	0.0328315	0.0254559	0.0241896	0.0267162	0.0271195	0.0370903	0.0206003	0.0311812	0.0148806	0.0160604	0.0215536	0.0434761	0.0210381	0.0328408	0.0253052	0.0199403	0.0142412	0.00883701	0.00905013	0.0032827
venait	0.0130604	0.0151511	0.0237421	0.0354248	0.0241415	0.0224247	0.0169635	0.0155989	0.0283276	0.0172231	0.00972574	0.0108898	0.00808917	0.00699564	0.00963363	0.0157886	0.0151497	0.0423269	0.04503	0.0580335	0.0684992	0.0436651	0.0682887	0.0521782	0.0361104	0.0311527	0.0265731	0.0208609	0.0533612	0.00857421	0.012641	0.0167651	0.0199246	0.0163941	0.0149271	0.010695	0.0116029	0.0106715	0.0156039	0.0277908
dans	0.0807156	0.0617536	0.0512044	0.0318105	0.0353049	0.0201327	0.0266241	0.0248594	0.0238625	0.0163196	0.0149299	0.0111916	0.0159711	0.00984202	0.0161774	0.0180092	0.0150964	0.0143263	0.0420475	0.0431683	0.055253	0.0379625	0.030976	0.0245514	0.0212717	0.0245102	0.0137923	0.0117335	0.0141365	0.00605733	0.0069306	0.00984267	0.00978574	0.0101801	0.0103951	0.0147186	0.0125789	0.0176089	0.0199595	0.0744086
cette	0.0243345	0.0194694	0.0238272	0.0258414	0.0245475	0.0206497	0.0261877	0.0192007	0.0178474	0.0144011	0.0135283	0.0116263	0.0142073	0.0140746	0.0203155	0.0233285	0.0260898	0.0475191	0.0483202	0.0336407	0.0628341	0.0238419	0.0340184	0.0184224	0.0164637	0.0118721	0.013901	0.0110255	0.0235013	0.00991489	0.0116783	0.0229178	0.0286469	0.0264519	0.0317621	0.0327519	0.0244175	0.0349636	0.0399724	0.0516856
route	0.0407472	0.0365302	0.0336614	0.0314645	0.0399192	0.0408573	0.0490475	0.0311802	0.0281811	0.0151368	0.0214918	0.0172372	0.0255133	0.0234085	0.0457111	0.0408928	0.0279742	0.0381806	0.0297694	0.0269499	0.0193231	0.0185549	0.0127263	0.0149551	0.0137347	0.0139814	0.0132672	0.011403	0.0175585	0.00964386	0.00939044	0.0150459	0.0160236	0.0160721	0.0170259	0.0150868	0.0121076	0.0196407	0.0196988	0.0709057
a	0.0629331	0.0365506	0.0327573	0.0348503	0.0463939	0.0515435	0.0658099	0.0509304	0.0692675	0.0559584	0.0451919	0.0299302	0.0293754	0.0253841	0.0243222	0.0264827	0.0179247	0.0168682	0.0311878	0.0152797	0.050125	0.0140495	0.0200688	0.0103243	0.00886262	0.00648189	0.00478484	0.00313162	0.00504989	0.00152387	0.00166858	0.00313501	0.00328704	0.0041461	0.00439194	0.0104226	0.00471591	0.0128883	0.0145814	0.0474191
bifurqué	0.0845004	0.0432645	0.0321563	0.026148	0.0183102	0.013629	0.0129797	0.00948981	0.0124795	0.00985062	0.00974	0.00979929	0.0104778	0.00969455	0.0105226	0.0112419	0.01177	0.016866	0.0220148	0.0210401	0.025666	0.0213462	0.0240615	0.0190444	0.0203329	0.0152095	0.0189174	0.014314	0.0270988	0.0144792	0.0178561	0.0247095	0.0327557	0.0336015	0.0326877	0.0502127	0.0281263	0.0518964	0.0476207	0.0840887
à	0.206682	0.101954	0.0631147	0.0457519	0.0383473	0.0335114	0.0185396	0.0109176	0.0142196	0.0112331	0.0114055	0.0109001	0.0169385	0.0106458	0.015265	0.0144887	0.0156743	0.0204222	0.0172734	0.00989021	0.02295	0.00893154	0.0137345	0.00826826	0.00942036	0.00835233	0.00952259	0.00654329	0.0110121	0.00574495	0.0055063	0.00908085	0.0143071	0.0155842	0.010589	0.022401	0.00925066	0.0252801	0.0198889	0.0764569
