 	i	b	a	a	l	í	í	m	i	y	a	á	s	á	p	o	o	d	í	í	d	í	e	d	z	w	a	a	n	i	</S>
l'	0.00747613	0.0106762	0.0069406	0.00535508	0.00691221	0.00612805	0.0136668	0.0127105	0.0212864	0.039249	0.0490542	0.0469391	0.073279	0.052471	0.0874823	0.0675559	0.0498661	0.0797995	0.0492762	0.0234246	0.0311984	0.0207354	0.027527	0.0182839	0.0215233	0.0268717	0.0335906	0.0269133	0.0346258	0.0265066	0.0226753
homme	0.0844051	0.115964	0.23122	0.17997	0.180189	0.0991532	0.0152957	0.0102086	0.0034651	0.00353498	0.00162671	0.00118272	0.00413422	0.00259574	0.00667357	0.00130535	0.00288292	0.00418735	0.0047445	0.0104167	0.0025733	0.00735178	0.00253133	0.00498815	0.00477008	0.00210432	0.00382522	0.00255866	0.00333062	0.00173981	0.00107148
qui	0.0354582	0.0234293	0.0368077	0.0182783	0.0224954	0.0318542	0.0395465	0.0321866	0.0342553	0.0973474	0.0550238	0.0582242	0.0581426	0.0342537	0.0533298	0.0315669	0.0180875	0.0394711	0.0632635	0.0551126	0.0247599	0.0191226	0.0193536	0.0105216	0.0141361	0.0220111	0.0161195	0.0122609	0.0111335	0.00869357	0.00375308
est	0.0147772	0.0281138	0.0664382	0.0508373	0.0312662	0.0366718	0.0323164	0.0484709	0.065297	0.0644008	0.0453631	0.0206413	0.0447063	0.0201984	0.0150584	0.00988238	0.0182544	0.0212107	0.015507	0.0299794	0.0195458	0.0229045	0.023117	0.0200404	0.0197038	0.0159972	0.0237286	0.0165731	0.0422125	0.06525	0.0515359
arri	0.017822	0.0161449	0.0170719	0.0199675	0.017456	0.0174633	0.0124336	0.0187463	0.0191425	0.0209975	0.0206435	0.0227894	0.0380353	0.031399	0.0355901	0.0207003	0.0265633	0.0370801	0.0369279	0.0348867	0.0514339	0.0506496	0.0533101	0.0397561	0.0441267	0.0295057	0.0519704	0.0513915	0.053032	0.0513661	0.0415968
vé	0.068914	0.0423565	0.0469364	0.0459158	0.0283537	0.0246715	0.0163872	0.0193149	0.0119541	0.0131484	0.0204185	0.0211658	0.0236601	0.0383147	0.0219987	0.0418156	0.0359868	0.0330937	0.0340883	0.01679	0.0535082	0.050408	0.0589538	0.0291701	0.03366	0.00659573	0.02079	0.0109285	0.0364323	0.0368607	0.057408
dans	0.0616404	0.0402472	0.0384907	0.0401598	0.0312431	0.0290551	0.0266434	0.0327682	0.0307236	0.0273162	0.0301158	0.0180069	0.0314596	0.0319683	0.0168838	0.0329517	0.0178803	0.0232688	0.0238738	0.0169904	0.0519211	0.0391951	0.0343618	0.0177595	0.0216149	0.00785776	0.0137885	0.00915398	0.048554	0.0646742	0.0894321
le	0.0477161	0.0308509	0.0343612	0.031073	0.0311469	0.0310209	0.0246471	0.0272026	0.0140559	0.0119261	0.0185747	0.00839212	0.0184859	0.0203807	0.0109502	0.00892653	0.0127249	0.0161239	0.0109084	0.0244215	0.0166406	0.040422	0.0360942	0.0458141	0.0494349	0.0148834	0.0560966	0.0344286	0.0744722	0.0797845	0.118039
village	0.115852	0.0698942	0.0582542	0.0378183	0.0229446	0.0141789	0.0109746	0.0104651	0.00794029	0.00851027	0.00751794	0.00221474	0.0111601	0.0102513	0.00408548	0.00789055	0.0067432	0.00684831	0.00454795	0.00918205	0.00912111	0.015773	0.0145829	0.0168168	0.0188179	0.00782378	0.0259831	0.0197664	0.100288	0.141172	0.202581
est	0.121686	0.0962153	0.085723	0.0579061	0.0438867	0.0341805	0.0256848	0.0199801	0.00745927	0.00705978	0.0112943	0.00621037	0.013266	0.0199442	0.00927024	0.0116867	0.0268164	0.0260295	0.00919701	0.014592	0.0162817	0.0297376	0.0254673	0.0240913	0.0256084	0.0124146	0.0216775	0.0233785	0.0255302	0.0375209	0.110204
un	0.0749304	0.052479	0.0534974	0.0297404	0.0174606	0.00978837	0.00719975	0.00684755	0.00517152	0.00577395	0.00698645	0.00359122	0.0114368	0.0125869	0.0050572	0.00655863	0.00784767	0.0142314	0.0138509	0.0109393	0.016782	0.0366472	0.0198505	0.032198	0.0340315	0.00377332	0.0435182	0.0199064	0.11302	0.116788	0.207509
brigand	0.0726142	0.0400819	0.0515882	0.0314471	0.0132617	0.00981358	0.00928438	0.00838062	0.00669025	0.0086374	0.00981976	0.00343714	0.0151821	0.0153003	0.00411269	0.00797443	0.00720697	0.0132998	0.0122428	0.0107127	0.0169399	0.0427892	0.0230605	0.0397208	0.0429539	0.00521054	0.0561229	0.0255321	0.115681	0.104188	0.176714
</S>	0.0356093	0.0237383	0.0327989	0.0228775	0.0172295	0.0186318	0.0193622	0.0171042	0.0149228	0.0130136	0.0138389	0.00659495	0.0159218	0.0152935	0.00697027	0.0102996	0.0140933	0.0197932	0.0119495	0.0268569	0.020539	0.0508662	0.0378413	0.0565384	0.0762784	0.0241732	0.0460876	0.0341421	0.0607229	0.0808218	0.155089
