 	k	ó	n	y	i	y	é	é	s	ó	m	b	í	n	g	á	é	t	s	ω	é	d	z	e	i	p	f	u	l	u	p	f	u	s	u	</S>
tout	0.0111825	0.016415	0.0132753	0.0198092	0.0208008	0.0286063	0.0350635	0.0238077	0.0205954	0.0245381	0.031193	0.0455918	0.0558585	0.0569697	0.0496344	0.0260004	0.0366707	0.0358037	0.0338703	0.0260055	0.02947	0.0173186	0.0154435	0.0215651	0.0180554	0.0149276	0.0261689	0.0178462	0.0259596	0.0240131	0.0270087	0.0245386	0.0306924	0.0340621	0.0383716	0.0228669
le	0.0864833	0.0654363	0.0618189	0.0954415	0.0839053	0.114923	0.0445855	0.0273722	0.016595	0.0203933	0.0208454	0.0204192	0.0167258	0.0143163	0.0121581	0.0105112	0.00745097	0.0137518	0.0269477	0.0183403	0.0135011	0.0150225	0.0189488	0.0113	0.0195798	0.016655	0.0216027	0.0186659	0.0179833	0.0164219	0.0106567	0.00916274	0.0119641	0.00775926	0.00570405	0.00665085
bois	0.0324062	0.0409831	0.0481034	0.067684	0.0561592	0.101673	0.0888667	0.0525743	0.021713	0.0203231	0.0284029	0.0248493	0.0464253	0.0418699	0.0441705	0.0358204	0.01748	0.0155264	0.0181095	0.0125712	0.00985192	0.00869941	0.0113928	0.00771233	0.00841864	0.00986837	0.00720294	0.00958093	0.0106305	0.0147859	0.0168594	0.0106835	0.0118528	0.0152217	0.0161751	0.0153525
de	0.0603424	0.0430534	0.0378078	0.0333802	0.0327864	0.0402826	0.0516712	0.049907	0.0506854	0.0582253	0.0679691	0.0677718	0.0577088	0.025486	0.0157353	0.0063328	0.00659246	0.0127052	0.0220999	0.0184073	0.0118862	0.0160584	0.0161837	0.014994	0.0118602	0.0169477	0.0143401	0.0339632	0.0196783	0.0156718	0.0176271	0.0102915	0.00894023	0.00629072	0.00760848	0.0187078
chauffe	0.0599905	0.0590913	0.0557152	0.0688651	0.0756819	0.101805	0.0785317	0.0559923	0.0500088	0.0332217	0.0395579	0.0181542	0.0190371	0.0111334	0.010224	0.00658778	0.00660829	0.00866306	0.00974936	0.00615652	0.00892291	0.00805282	0.0158227	0.0132014	0.00945078	0.00942643	0.00879523	0.00921776	0.00851342	0.00973095	0.00789495	0.00934444	0.0124254	0.0215438	0.0365196	0.0363622
que	0.0384622	0.0345036	0.0363886	0.0327951	0.033622	0.0340678	0.0321466	0.0285149	0.0330217	0.0339582	0.0425586	0.0468211	0.0268396	0.016886	0.01526	0.0174221	0.0145108	0.0191047	0.0370819	0.0327367	0.0487426	0.0553078	0.058129	0.0257096	0.0302262	0.0259359	0.016742	0.0220818	0.00981032	0.0118981	0.0103655	0.0125039	0.0105927	0.0130802	0.0139179	0.0282541
j'	0.0242459	0.0180761	0.0189238	0.0220095	0.031023	0.0359601	0.0442352	0.0458993	0.0475341	0.0399387	0.0415677	0.0362902	0.030067	0.0250171	0.0238679	0.0356885	0.014825	0.01757	0.0262711	0.0176318	0.0287035	0.0336585	0.0327471	0.024729	0.0277487	0.0270968	0.0245569	0.0253711	0.0166971	0.0170281	0.0163993	0.0220132	0.0174962	0.0241283	0.0241713	0.0408129
ai	0.0276904	0.0212208	0.020397	0.0233519	0.0293635	0.0352745	0.0286405	0.0184546	0.0125348	0.0137445	0.0123533	0.0125667	0.0164775	0.0165238	0.0149326	0.0179895	0.0206609	0.0272919	0.0321129	0.0286919	0.0494006	0.0513735	0.0435617	0.0320828	0.0332023	0.0280716	0.0300746	0.0330462	0.0296877	0.029642	0.029287	0.0373291	0.0318264	0.0340364	0.0324457	0.0446589
acheté	0.0989789	0.044814	0.0310142	0.0257547	0.0213278	0.0130482	0.00835019	0.00731353	0.00585152	0.00848972	0.00884489	0.00873195	0.0129922	0.011582	0.0118663	0.0174017	0.0210506	0.0280838	0.0448908	0.0361405	0.0543399	0.0660659	0.0520741	0.0456106	0.0371338	0.0243791	0.0365611	0.0246268	0.0177789	0.0142508	0.0213068	0.0156259	0.0223586	0.021274	0.024181	0.0559052
est	0.145817	0.0681726	0.0489626	0.0351355	0.0309871	0.019418	0.00991832	0.00863369	0.00738663	0.0096325	0.00911402	0.0103358	0.0129177	0.00890895	0.00953744	0.0154885	0.0155622	0.0237084	0.0271348	0.0258006	0.0354305	0.0325248	0.0265889	0.0242027	0.0178061	0.0122062	0.025629	0.0189956	0.0171212	0.0134126	0.0182658	0.020842	0.0239202	0.03362	0.0395431	0.097319
