 	m	í	b	h	ώ	ω	l	á	l	e	n	d	z	ω	m	b	i	n	g	a	n	g	a	á	l	a	a	n	á	l	a	w	a	ó	t	s	ω	</S>
le	0.013475	0.0146484	0.0151805	0.0202966	0.0120227	0.0286727	0.0196302	0.045696	0.0445343	0.0574695	0.0498344	0.0654039	0.0357008	0.050219	0.0354393	0.0305454	0.0265283	0.0221968	0.0237042	0.019404	0.0131955	0.0190904	0.0146726	0.0274839	0.0181342	0.0133934	0.0263248	0.0343117	0.022095	0.0284775	0.02179	0.0191257	0.0132626	0.022421	0.0197687	0.016845	0.017838	0.0211679
féticheur	0.00932528	0.0198651	0.0358585	0.108664	0.108145	0.206228	0.0348574	0.0367981	0.0447506	0.0452384	0.0239539	0.0721919	0.0158828	0.0338683	0.0354505	0.0485371	0.0234541	0.00415581	0.00603117	0.00807514	0.00451739	0.0134654	0.00885163	0.00501082	0.00646538	0.00209126	0.00663546	0.00455168	0.0061983	0.00881066	0.00398229	0.00123406	0.00238903	0.00199867	0.000696373	0.000704646	0.000561719	0.00050458
lui	0.0526901	0.0513837	0.0472907	0.0500775	0.035242	0.0323353	0.0264074	0.0253902	0.0378117	0.0280562	0.0454264	0.0480343	0.0568596	0.0599639	0.0514248	0.0248168	0.0201713	0.0289995	0.0124412	0.0152431	0.014444	0.0112956	0.0141206	0.0166335	0.0276826	0.0242529	0.0235746	0.0157053	0.0117634	0.0162445	0.00640914	0.00202494	0.00755463	0.0105126	0.00618543	0.0149505	0.0150399	0.0115403
avait	0.0435053	0.0837341	0.0699604	0.0572973	0.0498677	0.0482909	0.0332768	0.0286048	0.0390515	0.030277	0.0325984	0.0243456	0.0289324	0.0202359	0.0236877	0.0172867	0.0289585	0.0498006	0.0197162	0.0251571	0.0208668	0.0119613	0.024967	0.0284753	0.0175846	0.0228228	0.0175553	0.023782	0.0137404	0.0104815	0.00912673	0.00797557	0.00380319	0.00598538	0.00519313	0.00584222	0.00533757	0.00991393
tout	0.0340607	0.0271399	0.0166714	0.0153142	0.0158154	0.0160334	0.0160579	0.0141324	0.017689	0.0187417	0.0282167	0.0319474	0.0389113	0.0377672	0.0397483	0.0330288	0.0418431	0.0579644	0.0666244	0.0606378	0.0596637	0.0273065	0.0596821	0.0397648	0.0257846	0.0286004	0.0134246	0.0150683	0.0139835	0.00559085	0.0116474	0.00916914	0.00699692	0.00845452	0.00882918	0.00809921	0.0105985	0.0189906
expliqué	0.0457737	0.0388087	0.0340778	0.0201444	0.0232407	0.0261054	0.0370552	0.0289111	0.033389	0.0298628	0.0244457	0.0330609	0.0386152	0.0556605	0.0586701	0.0383855	0.0341885	0.0280487	0.0268302	0.0346493	0.0146178	0.0167194	0.025383	0.0115597	0.0182055	0.0155708	0.0140568	0.0179508	0.0164735	0.0156113	0.0201639	0.0166458	0.0154911	0.0168229	0.0164022	0.016207	0.0177056	0.0244897
à	0.106963	0.037103	0.0254663	0.0172884	0.0170259	0.0177908	0.0190611	0.0212525	0.0257387	0.020371	0.0159139	0.0215337	0.0182615	0.0182808	0.0206677	0.0166439	0.0194949	0.0176282	0.0104786	0.0204773	0.039715	0.0322814	0.0316968	0.0208385	0.036088	0.0280694	0.0286994	0.0301328	0.0412637	0.0225928	0.0277101	0.0221047	0.0230348	0.0203158	0.0197165	0.021109	0.0242951	0.0428949
propos	0.0409487	0.0311163	0.0265685	0.0128115	0.0101578	0.0118935	0.0207445	0.0248299	0.0208525	0.0142891	0.0143367	0.0111871	0.014952	0.0124142	0.0151346	0.0151767	0.0189253	0.0234753	0.0239295	0.0303026	0.0346066	0.0389351	0.0495961	0.0250106	0.0382333	0.0265391	0.0233167	0.0204959	0.0241678	0.0431808	0.024563	0.0242368	0.0219342	0.0197021	0.0272172	0.0353714	0.0561534	0.0726937
du	0.0285621	0.0217268	0.0311714	0.0307041	0.0334576	0.0374352	0.0536656	0.049266	0.0520679	0.0461294	0.0285099	0.0307364	0.0259657	0.0402064	0.0377714	0.0350927	0.0365068	0.0492125	0.0480886	0.0439753	0.0320639	0.0304642	0.0252295	0.0100922	0.00769214	0.00565179	0.00590757	0.00623352	0.007343	0.0118574	0.00502723	0.0034874	0.00529457	0.00777657	0.00879113	0.0102645	0.016305	0.0402666
pouvoir	0.0941625	0.038806	0.0290975	0.0156959	0.0114956	0.0100868	0.0100595	0.0115587	0.0126066	0.0139887	0.0152529	0.00965727	0.0120127	0.00796324	0.00862695	0.0123233	0.0205546	0.0253898	0.0275675	0.0491279	0.0656983	0.0591118	0.0452127	0.0326938	0.0324933	0.0266111	0.026379	0.0192366	0.0216293	0.0157184	0.0102291	0.005292	0.0104657	0.0122847	0.0149316	0.0300282	0.0539665	0.0819839
mystique	0.0931956	0.0430883	0.0240873	0.0130991	0.0110247	0.0114643	0.0102048	0.00822037	0.00848526	0.00776859	0.00802056	0.00548045	0.0079162	0.0050196	0.00629629	0.00599294	0.0117377	0.0262421	0.0177071	0.0197182	0.0520389	0.0275907	0.0343306	0.0329337	0.0405587	0.0236589	0.0201695	0.0246426	0.0276282	0.016438	0.0142366	0.00752225	0.0119843	0.0147808	0.0296024	0.0425677	0.0785193	0.156027
d'	0.0298539	0.0275489	0.0223959	0.0195541	0.019976	0.0103591	0.0114845	0.00623078	0.00859423	0.00464518	0.00489714	0.00298956	0.00355664	0.00284123	0.00256133	0.00281416	0.0065549	0.0196433	0.0264322	0.0112407	0.0210582	0.0167499	0.0187142	0.0146554	0.0856111	0.038402	0.0433227	0.0848227	0.0845247	0.0361262	0.0516843	0.020397	0.0236424	0.0195014	0.0284928	0.0469966	0.0544308	0.066694
être	0.224577	0.0921261	0.0337828	0.0176954	0.0122046	0.0122668	0.0133605	0.0144874	0.0150197	0.0158565	0.0193643	0.00970711	0.0117979	0.00749047	0.00845218	0.0113295	0.020543	0.0162196	0.0157451	0.0277858	0.0319645	0.02537	0.0188065	0.0204712	0.0211222	0.011923	0.0166208	0.0115038	0.0101825	0.0112114	0.0069062	0.0041645	0.00808133	0.00702564	0.0112586	0.0246977	0.0602105	0.0986681
invisible	0.134926	0.0454637	0.0267096	0.019428	0.017583	0.0164202	0.0077909	0.00703647	0.00800747	0.00946504	0.0126651	0.00966093	0.0191121	0.0116839	0.0110582	0.0114324	0.0140826	0.0118997	0.0129511	0.0172773	0.021347	0.0224761	0.0226315	0.016538	0.0146817	0.0135611	0.0122553	0.0129663	0.0119725	0.0152183	0.00935254	0.00480342	0.00958238	0.0108184	0.0277684	0.050801	0.108999	0.189573
</S>	0.0558189	0.0355588	0.0289517	0.0178881	0.0127562	0.0102654	0.0110497	0.0100745	0.0125921	0.0101578	0.0105722	0.00622487	0.010154	0.0044677	0.00468313	0.00381501	0.00907629	0.0357182	0.0278824	0.0161533	0.029596	0.0248758	0.0279696	0.0249071	0.0742354	0.025224	0.0300255	0.0465392	0.0507361	0.0188846	0.0347119	0.0232312	0.0224622	0.0228556	0.031351	0.0356406	0.04106	0.101834
