 	m	w	á	n	a	o	y	ú	r	u	w	á	á	a	d	i	l	w	ó	m	a	l	w	ó	m	a	y	é	e	k	y	á	n	y	i	n	g	a	l	a	n	g	ó	o	y	a	w	a	</S>
quand	0.00373301	0.00380454	0.00763184	0.00203389	0.0162834	0.00354171	0.00236582	0.00312896	0.00222687	0.00817572	0.00475896	0.0207683	0.023951	0.0385235	0.0161257	0.0373087	0.0419577	0.0550164	0.0819478	0.0817909	0.0852366	0.0639952	0.0423654	0.0159245	0.0144706	0.00671147	0.0132896	0.0126289	0.021479	0.0088434	0.00995946	0.00580803	0.00924476	0.00772369	0.00618778	0.0102084	0.0110629	0.00959279	0.00860902	0.00752229	0.0129826	0.0208607	0.014871	0.0161083	0.0133365	0.0219207	0.0137766	0.0297345	0.0304708
une	0.124196	0.0427273	0.0164257	0.0515822	0.0313896	0.045486	0.0620944	0.0173314	0.0172662	0.0756521	0.0153696	0.023462	0.0167283	0.0220543	0.0403619	0.0646583	0.0392275	0.0948103	0.0518365	0.0199627	0.0260379	0.015224	0.0145646	0.00682517	0.0148991	0.00242518	0.00394111	0.00168233	0.00334851	0.00110344	0.00234959	0.000567666	0.000894456	0.0012966	0.0010976	0.00121034	0.00151556	0.00105089	0.00138839	0.000733957	0.00116902	0.00180434	0.0035556	0.00288716	0.00282798	0.00400439	0.00246273	0.00314222	0.00336751
fille	0.049964	0.0265268	0.065253	0.0199526	0.0454045	0.0452975	0.0426613	0.0164036	0.0275795	0.0226187	0.0560107	0.00934915	0.0179115	0.0211066	0.0146371	0.0120684	0.0212283	0.0231547	0.0162056	0.0144535	0.0104519	0.00638492	0.00670507	0.00494445	0.00625118	0.00631902	0.00263898	0.00230962	0.00395651	0.00286567	0.00752419	0.00423886	0.0049701	0.014541	0.0147987	0.0230942	0.01461	0.0135135	0.0309895	0.0102831	0.0195672	0.0284197	0.0496684	0.0444593	0.0207221	0.0319471	0.0151743	0.0198817	0.0109824
est	0.0331453	0.0211033	0.00832583	0.0115823	0.0112982	0.0198212	0.0227956	0.0244202	0.0141184	0.0360044	0.0207197	0.0204897	0.0107028	0.015301	0.0113102	0.0154376	0.0213544	0.0401964	0.0154484	0.0187228	0.0164497	0.0425517	0.030612	0.0314728	0.0307045	0.0257087	0.027828	0.0252252	0.0163192	0.0219443	0.0210957	0.0193142	0.0192139	0.0215144	0.0254239	0.0228687	0.0237429	0.030676	0.0143478	0.0205936	0.0184633	0.0127688	0.0137656	0.00877805	0.00972775	0.00799669	0.00800689	0.00912356	0.0314642
agitée	0.0219008	0.00781596	0.0100007	0.0152881	0.0100998	0.0136275	0.0155029	0.0166503	0.0113192	0.022489	0.0245727	0.0212172	0.0165217	0.015085	0.0160445	0.0140903	0.0134351	0.0186386	0.0155742	0.0158613	0.0197191	0.020816	0.0228929	0.014936	0.0290123	0.025536	0.0304714	0.0246735	0.0142029	0.0238706	0.0396762	0.0270349	0.0410066	0.0418045	0.0259522	0.0184878	0.0283176	0.030852	0.0258796	0.0252765	0.0299191	0.0194326	0.0138698	0.0219899	0.00641846	0.00855621	0.0133961	0.0145089	0.0257554
c'	0.00751038	0.00933537	0.0120767	0.010994	0.00667585	0.00536794	0.00528724	0.00523967	0.00962052	0.0107241	0.0244542	0.00697451	0.00874393	0.0133837	0.00833225	0.00763038	0.0116212	0.0142836	0.00862813	0.0151681	0.0117131	0.0153043	0.0208698	0.0197856	0.0259217	0.0196287	0.0272202	0.0252958	0.0205216	0.0249637	0.0306453	0.0237767	0.0314402	0.0294689	0.0364974	0.0434152	0.0560599	0.0572803	0.0340307	0.0553643	0.0556791	0.0316685	0.015352	0.0252895	0.00415976	0.00711336	0.00888655	0.0122567	0.0283395
est	0.0121051	0.0117635	0.0125653	0.00968744	0.00839356	0.00824043	0.0085159	0.0151943	0.0261284	0.00870615	0.00794038	0.00660157	0.00617062	0.00914684	0.018744	0.00839056	0.00876567	0.00911126	0.00784758	0.0187346	0.00950482	0.0170727	0.0253194	0.0251254	0.027737	0.0478442	0.0344063	0.0368328	0.0241813	0.031573	0.0283506	0.0270164	0.0220838	0.0282466	0.0376996	0.0364861	0.0378039	0.0457366	0.0392761	0.0431204	0.038161	0.019695	0.0162427	0.0126551	0.00797226	0.00373053	0.00730634	0.00955994	0.036507
triste	0.0746308	0.0278502	0.017307	0.0144168	0.0168225	0.0130138	0.0135408	0.00831669	0.00821642	0.00790316	0.0118318	0.00613212	0.00723982	0.0102413	0.0103393	0.0109586	0.0139094	0.013615	0.00955399	0.0142552	0.0192724	0.0165721	0.0171761	0.0173776	0.0197407	0.0303031	0.0187129	0.0244712	0.0251071	0.0368911	0.0403061	0.0244884	0.0269552	0.026342	0.0238139	0.0161185	0.0208872	0.0183783	0.0146317	0.0317097	0.0227922	0.0262382	0.0172452	0.0285079	0.0127902	0.0183914	0.0299088	0.027075	0.0377011
pour	0.0324074	0.0246113	0.0234087	0.0262012	0.0238578	0.0246393	0.0238238	0.0191437	0.0202902	0.0241741	0.0296572	0.0125219	0.00920786	0.0209077	0.0110159	0.0142477	0.0180117	0.0267611	0.0144776	0.01195	0.00779297	0.0267602	0.0240626	0.0269052	0.0341167	0.0313396	0.0245847	0.0283298	0.0380584	0.0329175	0.0403614	0.0194193	0.0162049	0.012535	0.0212993	0.0164895	0.0217443	0.0195689	0.0121749	0.02035	0.0174843	0.0144257	0.0107242	0.00887628	0.00741852	0.00660431	0.00799947	0.00819427	0.0319418
sa	0.0282329	0.0167614	0.0174042	0.0120081	0.0139167	0.0158252	0.01482	0.00767413	0.00715416	0.00902961	0.0110701	0.00537958	0.00213758	0.00665779	0.00494537	0.00549144	0.0054803	0.00892002	0.00377649	0.00529148	0.00381454	0.0119009	0.00916922	0.0108947	0.00991295	0.0131753	0.0122443	0.0146674	0.0124412	0.0193102	0.0168378	0.0139488	0.0141073	0.0144727	0.023037	0.0247958	0.0375204	0.0424049	0.0307765	0.0443805	0.0390135	0.0461927	0.0456953	0.0438697	0.0493825	0.0256676	0.0546798	0.0464977	0.0672123
