 	o	b	a	l	e	y	e	é	d	z	e	l	á	a	y	a	á	m	o	k	o	ó	w	ó	á	y	á	b	h	i	m	é	b	ώ	ω	y	é	l	ó	m	i	</S>
le	0.00697183	0.00903517	0.0162576	0.0118145	0.0137048	0.0206502	0.0253901	0.0181137	0.0275665	0.0223713	0.0277529	0.0326616	0.0307795	0.0457021	0.0402058	0.0407047	0.0453109	0.0467255	0.0572855	0.0194024	0.0160538	0.0135157	0.0121951	0.0135026	0.0140338	0.0120254	0.0115461	0.015576	0.0212724	0.024592	0.0227854	0.0237748	0.0234161	0.0249568	0.0230672	0.0240272	0.0263967	0.0242841	0.0269551	0.0229546	0.0245361	0.0201259
récolteur	0.00722326	0.0192771	0.0411804	0.103226	0.128427	0.0962755	0.113293	0.0841085	0.0972936	0.0620562	0.0289906	0.0328741	0.0249033	0.0369354	0.0125012	0.0203573	0.0163229	0.0208204	0.0134304	0.00775447	0.00500812	0.00379466	0.000549993	0.00110873	0.000832934	0.000837108	0.00087783	0.000551104	0.000631148	0.00115603	0.000365542	0.000692264	0.00213869	0.000738231	0.0011028	0.000419142	0.0014883	0.00255672	0.00232813	0.00234707	0.00178087	0.00144363
de	0.0735359	0.0621419	0.0438169	0.0288198	0.0143266	0.0154863	0.0126628	0.0142277	0.00875613	0.00750197	0.00780663	0.00848204	0.0113431	0.0101663	0.0115915	0.0200459	0.0164383	0.0234264	0.0259409	0.0306161	0.0476574	0.0416487	0.0358604	0.0422708	0.0399608	0.0321356	0.0322993	0.0268963	0.0227187	0.0188201	0.0259687	0.0203055	0.0218244	0.0122433	0.0263197	0.0111664	0.00830351	0.0114602	0.0139273	0.0128361	0.0115717	0.0366721
vin	0.0541052	0.0682988	0.101223	0.0972893	0.0716897	0.0489517	0.0362687	0.0292882	0.0217238	0.0192497	0.0143863	0.0158273	0.010592	0.0130166	0.0115948	0.0136201	0.0132743	0.0205261	0.0162918	0.0139519	0.0217973	0.0231307	0.0125443	0.0296932	0.0330697	0.0180968	0.0156851	0.0160396	0.0082393	0.00746457	0.0048149	0.00541262	0.0051083	0.00325708	0.00468354	0.00295617	0.00465712	0.00721653	0.0103535	0.0144265	0.0156644	0.0445197
qui	0.039088	0.0231837	0.0226278	0.0182112	0.010622	0.0136794	0.00986727	0.00874305	0.00652808	0.00564504	0.00483698	0.00453503	0.00424802	0.00404003	0.00442149	0.00683669	0.0086786	0.0150542	0.015569	0.0145948	0.0218114	0.0393278	0.0436114	0.0633215	0.056604	0.064005	0.0905993	0.0446387	0.0352778	0.0372148	0.0232296	0.0214315	0.0189885	0.0240261	0.0184666	0.0278646	0.0176703	0.0233223	0.0263558	0.0174705	0.0139712	0.0297808
venait	0.0313862	0.0206126	0.0209448	0.0206777	0.0192936	0.0167882	0.0107162	0.0112671	0.0109247	0.00935092	0.00989012	0.0118558	0.0104091	0.0100378	0.0124566	0.0162158	0.0150333	0.0228161	0.0206596	0.015164	0.0197573	0.0276416	0.0219314	0.0322774	0.0361674	0.0375741	0.0583992	0.0395541	0.0274384	0.0294095	0.015796	0.0167358	0.0231771	0.0130829	0.0146741	0.0155448	0.0232881	0.030995	0.0395344	0.0499877	0.0434357	0.0670978
dans	0.0541219	0.0259239	0.0201034	0.017245	0.0122536	0.0107937	0.00839434	0.00781667	0.0072165	0.00793555	0.00714013	0.00729475	0.00810175	0.00898465	0.0138263	0.0156646	0.0251716	0.0411939	0.0427228	0.0296009	0.0303463	0.0369809	0.0334113	0.0583841	0.0525012	0.037537	0.0356346	0.030815	0.0176719	0.0159007	0.0135605	0.0131008	0.0189477	0.013606	0.0194673	0.0119287	0.0186519	0.0234925	0.0281733	0.0393573	0.0229494	0.0560756
ce	0.0426873	0.0331078	0.0331638	0.0313974	0.0344133	0.0297156	0.025083	0.0216807	0.0193415	0.019181	0.0141073	0.0127457	0.0107334	0.0118444	0.0204819	0.0186124	0.0282665	0.0463572	0.0446826	0.0255822	0.0221567	0.022796	0.0120418	0.034855	0.0530286	0.0357356	0.0255849	0.0283393	0.011685	0.0116864	0.00690499	0.00894786	0.0102795	0.00808489	0.0101523	0.00422528	0.00743246	0.0112465	0.0154342	0.0329935	0.026306	0.0768982
chemin	0.0955512	0.0429327	0.0372109	0.0318585	0.0243446	0.0156976	0.0161196	0.013787	0.013338	0.0142569	0.0109222	0.0143198	0.012936	0.0124461	0.0168771	0.0193985	0.0217483	0.0367687	0.047686	0.0400691	0.0290511	0.0204294	0.0102883	0.0162987	0.0202702	0.0170067	0.028707	0.0145401	0.01191	0.0175162	0.00596758	0.0105705	0.00996988	0.00573853	0.0102405	0.00379231	0.00751147	0.00937083	0.0164169	0.0291362	0.0335101	0.133489
a	0.0840299	0.0327289	0.0262776	0.0242142	0.0259026	0.0255557	0.0235466	0.021008	0.0176407	0.0141868	0.00993553	0.00729784	0.00630525	0.00454961	0.00603382	0.00722462	0.00649775	0.00824354	0.00991816	0.0130674	0.0175182	0.0252025	0.0156348	0.034442	0.0619616	0.0378308	0.0315371	0.0416036	0.0322372	0.0296363	0.0262809	0.0225482	0.0241897	0.0133651	0.0192601	0.00882394	0.0126996	0.01401	0.017366	0.0296559	0.0407685	0.0692634
bifurqué	0.154714	0.0474958	0.0345973	0.0299436	0.0253643	0.0192255	0.0183443	0.0164956	0.0125644	0.0106178	0.00959812	0.0071414	0.00658993	0.00522917	0.00657364	0.00664156	0.00662333	0.00905442	0.011999	0.0101043	0.0100136	0.00902353	0.00532352	0.0335494	0.0466826	0.0220559	0.0208192	0.0305813	0.020994	0.0252634	0.0199532	0.0225629	0.0175884	0.0158378	0.0243588	0.00984062	0.0113695	0.014663	0.0233735	0.0423345	0.0467162	0.0781779
