 	e	k	i	n	d	í	l	í	y	é	l	é	e	p	i	á	a	n	y	ω	m	b	ώ	a	y	í	í	</S>
avec	0.0085539	0.0113828	0.00779757	0.00887921	0.0098571	0.00687773	0.00884553	0.0190532	0.0560115	0.104621	0.100723	0.0887618	0.0705544	0.0400964	0.0266168	0.0359185	0.0315853	0.0328346	0.0295184	0.0192917	0.0197508	0.0244459	0.0293251	0.0447101	0.0412236	0.0480958	0.0449831	0.0296859
cette	0.124187	0.0720274	0.0568002	0.0655848	0.0158687	0.00843985	0.0105339	0.0131616	0.0181295	0.063749	0.0382487	0.0477301	0.0579668	0.0340142	0.0180684	0.0395486	0.0605601	0.0659816	0.0458924	0.0374293	0.0344534	0.0184559	0.0233321	0.007381	0.00369678	0.00509853	0.00588663	0.00777309
manière	0.0294805	0.01711	0.0204933	0.0207442	0.0218489	0.0229762	0.020096	0.0233279	0.026781	0.0190636	0.0301245	0.0235297	0.0301281	0.018259	0.0247065	0.0438348	0.0326002	0.0599425	0.111656	0.0826372	0.107065	0.0723996	0.0474285	0.0305417	0.0197814	0.0224566	0.0133417	0.00764531
de	0.0856304	0.0874243	0.0934592	0.0632865	0.0264791	0.0516482	0.02253	0.0187059	0.0122125	0.0110466	0.0134437	0.00927648	0.0185629	0.0193698	0.0246816	0.0389445	0.0314572	0.0390151	0.0500535	0.0484989	0.0475087	0.0211722	0.018996	0.0182873	0.0246173	0.0243804	0.0290717	0.05024
pêcher	0.0407194	0.0298	0.0320998	0.0324951	0.0480996	0.0504947	0.0631551	0.0450516	0.0331823	0.0303657	0.0336048	0.0326035	0.0429708	0.0356497	0.0186389	0.0353168	0.0273699	0.031333	0.0412027	0.0418051	0.0372289	0.0292083	0.0249439	0.0325076	0.0202514	0.0305304	0.0205907	0.0587802
au	0.0251937	0.0261201	0.0308308	0.034123	0.0364642	0.0343772	0.0354405	0.0304483	0.03105	0.0323243	0.0340855	0.01747	0.0291456	0.0219732	0.0193595	0.0167832	0.0160425	0.016233	0.0261527	0.0351124	0.0374453	0.0408755	0.0372008	0.0520341	0.0511064	0.0524186	0.0532182	0.126971
harpon	0.0499626	0.0507078	0.0674709	0.035144	0.0270591	0.0236889	0.0199339	0.0205356	0.0187294	0.0199987	0.0158259	0.0180618	0.0144005	0.0148209	0.0108865	0.00877459	0.00840397	0.00916935	0.0125673	0.0234303	0.0227166	0.0445366	0.0529002	0.0570723	0.0700297	0.0705026	0.0724667	0.140203
on	0.0420438	0.0438764	0.0633833	0.0447223	0.0493664	0.0525771	0.0471851	0.0394699	0.0295552	0.0271582	0.0171952	0.0146928	0.0111583	0.0125291	0.00952067	0.00983376	0.00989552	0.0118774	0.016612	0.026879	0.0238159	0.0315483	0.0317522	0.044188	0.0441293	0.0526215	0.0557303	0.136683
aura	0.220295	0.0973428	0.0525179	0.0266287	0.0117767	0.00709289	0.0071479	0.00603044	0.00513531	0.00770297	0.00438565	0.00845939	0.00782713	0.0103208	0.00808716	0.00906692	0.0114949	0.0147745	0.0231564	0.036211	0.0293239	0.0440475	0.0429056	0.0536182	0.0420904	0.0551428	0.0569118	0.100505
beaucoup	0.0922175	0.0542721	0.0327862	0.0231328	0.0174262	0.0137194	0.0115666	0.00753561	0.00695808	0.00968487	0.00823294	0.0120943	0.0141074	0.0254743	0.0287012	0.0338596	0.0382193	0.0414218	0.0473546	0.0562341	0.0398456	0.0439676	0.0385338	0.0528009	0.0524694	0.0543564	0.0653666	0.0776611
de	0.070458	0.048834	0.0305023	0.01512	0.00764418	0.00495433	0.006479	0.00649694	0.0059441	0.0100674	0.00658054	0.0115787	0.00985273	0.0118241	0.0093338	0.0148135	0.0162772	0.0197549	0.0227031	0.0283893	0.0268545	0.0515692	0.0550498	0.087	0.0966574	0.0891943	0.0932134	0.142853
protoptère	0.0707373	0.0558746	0.0356383	0.0235403	0.0124906	0.00563069	0.00589378	0.00556745	0.00513693	0.00714581	0.00571533	0.0112469	0.00955968	0.012097	0.0114878	0.0167229	0.0153891	0.0206649	0.0382695	0.0476957	0.05878	0.0833273	0.0677167	0.0712124	0.0659535	0.0667627	0.0680477	0.101695
s	0.0497072	0.0406567	0.0383759	0.0330304	0.031664	0.0306304	0.0306448	0.0188627	0.0152567	0.0163727	0.0131386	0.0140066	0.0132483	0.0139642	0.0141908	0.0188222	0.018557	0.0298968	0.0420529	0.0389075	0.0424644	0.0434658	0.0404678	0.0538621	0.0594674	0.062723	0.0700891	0.105474
</S>	0.0675773	0.0515354	0.0415685	0.0315732	0.0270379	0.0273735	0.0315988	0.0219655	0.0173997	0.02212	0.0160819	0.0180137	0.0178448	0.0187533	0.0166568	0.0200099	0.0197549	0.0250996	0.0285238	0.0279344	0.0248315	0.0285404	0.0290098	0.0492465	0.0598477	0.0611193	0.0723766	0.126606
