 	i	s	i	m	b	a	b	á	a	p	á	á	m	ó	s	ω	n	g	ώ	</S>
on	0.0388995	0.0455643	0.0505561	0.0505152	0.0573768	0.0667517	0.0858924	0.0867149	0.0637962	0.0720397	0.091465	0.0447374	0.0385864	0.0504455	0.0341068	0.032621	0.0286262	0.0235815	0.0208953	0.0168281
fabrique	0.0344137	0.0394557	0.043819	0.0358942	0.029607	0.0319123	0.0309559	0.0471231	0.0862765	0.154707	0.147543	0.107185	0.106074	0.0522069	0.0174342	0.015628	0.00697073	0.00729617	0.0032686	0.00222914
le	0.0547196	0.0397541	0.029441	0.0492283	0.03844	0.0506797	0.0858364	0.0719002	0.062484	0.0492334	0.0389652	0.0431665	0.0499155	0.0578075	0.0539716	0.0412348	0.054902	0.0515744	0.0569292	0.0198168
tam-tam	0.0637786	0.0979702	0.131784	0.11739	0.0927057	0.0646248	0.052223	0.0570018	0.0593495	0.0278677	0.0341641	0.0317011	0.0263711	0.0222566	0.0194532	0.0141372	0.0155535	0.0316656	0.0177387	0.0222636
avec	0.118573	0.0869504	0.079046	0.0821735	0.0414001	0.0126043	0.0143613	0.0173993	0.0140861	0.0107951	0.00928584	0.0103025	0.0137442	0.0156962	0.022025	0.0317046	0.0266167	0.041803	0.113964	0.237469
le	0.0473676	0.0376615	0.0305682	0.0351767	0.0345058	0.0400671	0.0360613	0.0454702	0.0481822	0.0417686	0.0627846	0.0409839	0.0483231	0.0525993	0.0437411	0.048316	0.0476324	0.0598566	0.0813272	0.117606
bois	0.0563331	0.045398	0.0345642	0.0438952	0.0304372	0.0339695	0.0366755	0.0473745	0.0439249	0.0448719	0.0523289	0.0517856	0.0715275	0.0447284	0.0418758	0.0422731	0.0416737	0.042225	0.0647082	0.12943
de	0.043205	0.0320461	0.0249974	0.0328447	0.0282085	0.036697	0.038478	0.046512	0.0446759	0.0375518	0.0445444	0.0453598	0.0587515	0.0630751	0.0800181	0.0664587	0.0560765	0.0558442	0.0638389	0.100817
l'	0.102119	0.0648318	0.0480749	0.0472178	0.022357	0.0187298	0.0268147	0.0289373	0.0264673	0.0210203	0.02694	0.0294849	0.0355944	0.0372617	0.0514116	0.0685555	0.0826163	0.0933153	0.0727676	0.0954826
arbre	0.104176	0.0791557	0.0590994	0.0537514	0.0201225	0.0150947	0.013491	0.0155065	0.0120355	0.0116942	0.0187838	0.0232993	0.0373322	0.0338667	0.0569749	0.0788942	0.0918885	0.101925	0.0764848	0.0964236
osongo	0.0808017	0.0510868	0.0384543	0.0245624	0.00796604	0.0092044	0.0119989	0.015398	0.0159517	0.0197885	0.0269843	0.02168	0.0317547	0.0416184	0.0519558	0.0735519	0.0672285	0.103469	0.106234	0.20031
</S>	0.0662501	0.0534325	0.0484067	0.0304885	0.0112316	0.0143622	0.0096321	0.0118414	0.0177127	0.0248653	0.0343089	0.0263496	0.0308935	0.0300516	0.0404993	0.0679801	0.087856	0.120814	0.112502	0.160522
