 	n	g	á	i	s	á	a	o	k	a	n	á	a	t	á	m	b	í	ó	n	g	a	é	k	a	á	</S>
je	0.141752	0.178343	0.143689	0.078456	0.0348854	0.0433086	0.0403355	0.0316395	0.0244699	0.0158852	0.0160788	0.0184619	0.0250468	0.0223163	0.0220017	0.0179601	0.0115177	0.00907529	0.0108734	0.0121759	0.0137834	0.013797	0.0149714	0.0155417	0.0150816	0.0154807	0.0130724
n'	0.0914452	0.0392836	0.0359395	0.0497901	0.0355774	0.0502074	0.0552451	0.0485722	0.0467966	0.0339778	0.0433042	0.0802105	0.0674612	0.0607366	0.0645593	0.0399809	0.0236008	0.0161023	0.00843969	0.0119883	0.0134768	0.0175553	0.0101833	0.00871494	0.00815606	0.0140387	0.0246562
ai	0.121748	0.0800418	0.02609	0.0491553	0.0493964	0.0391659	0.0367234	0.029845	0.0395631	0.0544906	0.0428794	0.0352174	0.0441906	0.0381927	0.0455644	0.061104	0.0214955	0.0238168	0.0107302	0.0154463	0.0145227	0.0188369	0.0174091	0.0171831	0.0155908	0.029257	0.0223435
jamais	0.151684	0.0775268	0.0289503	0.0400087	0.0150167	0.0158377	0.0191502	0.0132001	0.0127922	0.0118396	0.0093197	0.0137988	0.0288965	0.0494326	0.0400901	0.0284786	0.0340322	0.0270409	0.0293123	0.0303186	0.035548	0.0276999	0.0394247	0.0584876	0.0592166	0.0553732	0.0475234
foulé	0.0250218	0.00618394	0.00435824	0.0192635	0.023635	0.0234304	0.0244003	0.0220481	0.0187344	0.0200864	0.0193898	0.01747	0.0206144	0.0213164	0.0245343	0.0328282	0.0605275	0.0468251	0.0620204	0.0659047	0.0595415	0.0440841	0.0490667	0.0679026	0.0839559	0.0599413	0.0769151
le	0.017046	0.00709657	0.00800307	0.0197503	0.0275914	0.0244763	0.0289801	0.0258606	0.0265812	0.0252719	0.0340777	0.0265805	0.0274834	0.0283074	0.0392868	0.0367087	0.048025	0.0658147	0.0660184	0.0636135	0.0484829	0.0392737	0.0365167	0.0189554	0.0320763	0.0551376	0.122984
sol	0.0139058	0.0112626	0.0166069	0.0239883	0.0202652	0.0138727	0.0166993	0.0151195	0.0192906	0.0185643	0.0323605	0.0225445	0.0180772	0.0173932	0.0245519	0.0213112	0.019455	0.0178947	0.0148806	0.0112632	0.0100395	0.0282614	0.0355074	0.0685093	0.0732976	0.14491	0.270168
de	0.0381984	0.0228465	0.0259776	0.0258885	0.0320432	0.034496	0.0627994	0.05499	0.0570379	0.0467323	0.0460774	0.0212344	0.0174977	0.0157924	0.016622	0.0189374	0.0353281	0.044438	0.047564	0.0520168	0.0331481	0.0258915	0.0301605	0.0256022	0.0320989	0.0601207	0.07646
ngaé	0.0344616	0.0234428	0.0208649	0.023499	0.0230041	0.0207517	0.0182934	0.0143578	0.0134416	0.0130509	0.0131405	0.012246	0.0136745	0.012095	0.0133061	0.0130736	0.0209828	0.0270073	0.0447023	0.0660243	0.0657637	0.0727914	0.0795844	0.0814134	0.0842278	0.0857967	0.0890023
</S>	0.0404842	0.017284	0.0129268	0.0285845	0.0302171	0.0301995	0.0349838	0.0294916	0.0265618	0.0250693	0.0196236	0.0130316	0.0113519	0.0109274	0.011434	0.0137172	0.024083	0.0264584	0.039724	0.0612988	0.0560084	0.0488668	0.0570408	0.0688533	0.0724063	0.0990772	0.0902945
