 	n	z	a	m	b	é	a	d	í	m	o	r	o	y	a	á	b	ω	n	g	ó	m	y	έ	r	i	m	í	í	b	á	l	a	m	í	</S>
dieu	0.0184643	0.0164237	0.0132584	0.0260158	0.0218769	0.0129983	0.0104862	0.0125032	0.0146729	0.0382581	0.0428105	0.100493	0.0793202	0.0752227	0.0497678	0.039416	0.0261833	0.0201453	0.0192696	0.0173929	0.0190313	0.013503	0.0142527	0.0174503	0.0197828	0.0162361	0.0181014	0.0214562	0.0206739	0.0230506	0.0293176	0.0295467	0.0291054	0.0246363	0.0227793	0.0260972
est	0.0777586	0.0923596	0.0659565	0.0906665	0.0781216	0.0271196	0.0148411	0.0185211	0.00968766	0.0286222	0.0230949	0.0256619	0.0296652	0.0322259	0.0249261	0.014725	0.0108595	0.00515092	0.00679345	0.00542714	0.00724108	0.0172172	0.0298575	0.0320053	0.0327849	0.0467109	0.0385109	0.026935	0.0159318	0.0100188	0.0100467	0.00826999	0.00745996	0.00717252	0.00836496	0.0192879
le	0.0340094	0.0443711	0.0520046	0.0437561	0.0456541	0.0482018	0.0552829	0.0683695	0.0797469	0.0445535	0.0352311	0.0361298	0.0477265	0.0365118	0.0294295	0.0223341	0.0114201	0.00899469	0.0109068	0.00890814	0.00921437	0.0146937	0.0127889	0.0161966	0.011179	0.0144994	0.0166274	0.0206483	0.0253703	0.0251943	0.0204479	0.0154998	0.00944278	0.0107361	0.00845079	0.00546781
créateur	0.0415204	0.0454003	0.03706	0.0413589	0.0362663	0.054799	0.0358381	0.0363397	0.0357454	0.0239145	0.0205131	0.034667	0.0484429	0.0304595	0.0297171	0.0140457	0.00864453	0.0043479	0.0134421	0.00790079	0.00904393	0.0256792	0.0266875	0.0525507	0.0490067	0.0381445	0.0452966	0.0324343	0.0219312	0.0155619	0.0168588	0.013825	0.0111932	0.0145453	0.0126348	0.0141831
de	0.00924143	0.0100189	0.0186631	0.0212456	0.0271437	0.0238598	0.0246496	0.0269073	0.0294157	0.0309402	0.0246838	0.0207829	0.0161846	0.016933	0.0201383	0.020531	0.0255381	0.0382053	0.0490944	0.03624	0.0630355	0.0636266	0.0657601	0.0526081	0.035475	0.0194748	0.0162507	0.0137961	0.0165779	0.0167601	0.0192363	0.0154341	0.00916696	0.0350609	0.0287287	0.0385914
ces	0.0179914	0.0295209	0.0423646	0.0468992	0.0490794	0.0464302	0.048236	0.0493473	0.0341804	0.0402901	0.0373383	0.0314636	0.0436054	0.0590198	0.038339	0.0311018	0.0237425	0.017525	0.0238515	0.0206148	0.0208128	0.0231863	0.0215764	0.0166222	0.0122648	0.0117162	0.0067198	0.00692572	0.00652994	0.0117774	0.0131233	0.0123493	0.0147688	0.0207584	0.0300067	0.0399207
étoiles	0.0612456	0.0517025	0.0530806	0.0472377	0.037854	0.0260434	0.0190295	0.0202057	0.0196386	0.0198292	0.0200724	0.019196	0.0209567	0.0243655	0.0271832	0.0176841	0.0232337	0.0286848	0.0320567	0.0361205	0.0301022	0.0202543	0.0165737	0.0105474	0.00785106	0.00683526	0.00443714	0.00726612	0.00624694	0.0194492	0.0260426	0.0284817	0.0225733	0.0488321	0.0604377	0.0786488
qui	0.0452704	0.0356958	0.0443503	0.0404949	0.0311172	0.0205617	0.0129326	0.0119165	0.0143247	0.0123631	0.0144844	0.0134217	0.0171183	0.0197684	0.0279383	0.0131868	0.0254694	0.0478681	0.0499766	0.0524373	0.0667053	0.0575732	0.0360239	0.0306189	0.0329258	0.0163621	0.016145	0.0197485	0.0172527	0.0227393	0.0221895	0.0156527	0.0117938	0.0245119	0.023216	0.0358451
luisent	0.0654576	0.0494017	0.0468521	0.0370465	0.0171257	0.010773	0.00631082	0.0070805	0.011571	0.00740323	0.00858313	0.00504876	0.00573822	0.00588674	0.00832833	0.00851957	0.0156662	0.0271043	0.0384421	0.0501564	0.0443834	0.0410241	0.053144	0.0487086	0.0547348	0.0601735	0.0338701	0.0310917	0.0203878	0.0303983	0.0248277	0.0192288	0.0157638	0.0236703	0.0186687	0.0474284
</S>	0.0611556	0.0414533	0.0284047	0.0168373	0.00693639	0.00400996	0.00285148	0.00439883	0.0048535	0.00544893	0.00682205	0.00518268	0.00605504	0.00566465	0.00732573	0.00776121	0.014844	0.0198303	0.0363848	0.0484602	0.0397698	0.0398687	0.0412463	0.0355203	0.0327653	0.0219471	0.0154033	0.0174154	0.0101886	0.0230358	0.03998	0.0445755	0.0410705	0.0762564	0.0663379	0.119939
