 	b	á	n	a	á	m	i	b	í	n	d	á	p	f	ú	l	ú	m	í	p	f	ú	r	a	l	i	n	y	ε	n	y	έ	</S>
les	0.0529725	0.0524105	0.0452581	0.0109689	0.0168241	0.00937945	0.0110488	0.0211208	0.020908	0.0290191	0.0301061	0.0316843	0.0413877	0.0578924	0.0646932	0.0986567	0.0585944	0.0374533	0.021958	0.0215004	0.0216966	0.0199723	0.0259657	0.0211485	0.0240391	0.0195958	0.0216905	0.0210374	0.0166785	0.0235762	0.019932	0.0143589	0.0164716
enfants	0.104319	0.0757486	0.0785204	0.0682564	0.106236	0.0558024	0.0530507	0.0298945	0.0354224	0.0343036	0.0328727	0.0202269	0.0206098	0.0191403	0.0135167	0.0110485	0.0177453	0.0131819	0.0204871	0.0201466	0.0132618	0.0109997	0.0115485	0.00889066	0.0104466	0.0172767	0.0183393	0.0228177	0.0176821	0.0147925	0.012007	0.00737405	0.00403285
ont	0.0529404	0.0194914	0.0199306	0.0273083	0.0254954	0.0475478	0.0429258	0.032104	0.0411386	0.0437695	0.0510777	0.0604011	0.04163	0.0263008	0.0228183	0.0213213	0.0224273	0.020455	0.0219732	0.0197729	0.0196009	0.0200533	0.0198657	0.0217356	0.0179345	0.0261778	0.0350408	0.043061	0.0464986	0.0390798	0.0265308	0.0132805	0.0103111
piétiné	0.00938386	0.00845968	0.0125281	0.0136728	0.0123819	0.0130547	0.0133683	0.0114217	0.01034	0.0140004	0.0237986	0.027331	0.0364013	0.0306949	0.0256369	0.0286633	0.0296359	0.045437	0.0644449	0.0361455	0.0408081	0.03599	0.0332057	0.040764	0.0510448	0.0505922	0.0533938	0.0493472	0.0627825	0.0492341	0.0291677	0.0177796	0.0190894
l'	0.0386732	0.0202466	0.0234833	0.0232133	0.023439	0.0294801	0.0324316	0.0296748	0.0313023	0.0327931	0.03025	0.0370008	0.0410302	0.0391838	0.0426419	0.0366042	0.0416909	0.0352761	0.0428226	0.0297269	0.0293227	0.0211894	0.0164816	0.0139976	0.0170046	0.0203738	0.0204	0.0186258	0.0245379	0.0249104	0.0303987	0.0412167	0.0605761
herbe	0.0316286	0.0276471	0.0289908	0.027864	0.0295084	0.0412242	0.0378887	0.031564	0.0313177	0.0234134	0.0233437	0.0309647	0.0266208	0.0184482	0.0136968	0.0107847	0.0108057	0.0125488	0.0230398	0.0203405	0.0254232	0.02973	0.0294511	0.0310889	0.0366075	0.0392599	0.0382694	0.0378982	0.0357896	0.0349101	0.0410711	0.0470834	0.0717771
en	0.022937	0.0227213	0.0218778	0.0228655	0.025139	0.0304752	0.0282674	0.024353	0.0239274	0.0185691	0.0198453	0.0259204	0.0200967	0.0178801	0.0149817	0.0128663	0.0166553	0.0229382	0.0409451	0.0315028	0.0481136	0.0524565	0.0382853	0.0369987	0.0319938	0.0504008	0.0409106	0.0278778	0.0361528	0.0195704	0.0234363	0.0539987	0.0750403
cherchant	0.04457	0.0384097	0.0417226	0.035996	0.0370876	0.0475199	0.0476336	0.0406581	0.0317844	0.0265931	0.0242894	0.0357279	0.041104	0.0328454	0.0229091	0.0298443	0.0299283	0.0318629	0.0274925	0.0318222	0.0259205	0.028402	0.0279301	0.017111	0.0160096	0.0214482	0.01878	0.0146066	0.0163827	0.0133882	0.0158353	0.025178	0.0592071
les	0.0236135	0.0151288	0.0190964	0.0183982	0.0175348	0.0336565	0.0450048	0.0344019	0.0295842	0.0211987	0.0280855	0.0355937	0.0195831	0.0145713	0.0122394	0.013468	0.0133493	0.0229275	0.0341331	0.0242638	0.0269319	0.0209279	0.0214062	0.0154613	0.026059	0.0278258	0.0292884	0.0224617	0.0260032	0.0218962	0.0438192	0.0641619	0.177925
criquets	0.111262	0.080767	0.0835976	0.0644657	0.0551574	0.0531656	0.0393314	0.0171579	0.016529	0.0151762	0.00757762	0.00883081	0.00703086	0.00741379	0.0105357	0.0134485	0.0177131	0.0203846	0.0245725	0.0241356	0.0164517	0.0204267	0.0229337	0.0168616	0.0190392	0.0257784	0.0242355	0.0227425	0.023203	0.0206108	0.0223903	0.0366293	0.0504441
</S>	0.106513	0.0583459	0.045113	0.0351168	0.0324222	0.03984	0.0423741	0.0369565	0.034282	0.0192816	0.0160015	0.0158521	0.0143048	0.00961553	0.0070561	0.00883987	0.00963093	0.00857426	0.0119446	0.0105603	0.0104373	0.0101132	0.0153078	0.00811351	0.0164988	0.0236348	0.023696	0.0193434	0.0292627	0.0280475	0.0395486	0.0714348	0.141936
