 	w	a	á	m	i	p	a	n	y	á	ε	k	ω	t	i	y	á	w	a	m	ó	i	k	í	</S>
il	0.253057	0.273067	0.251668	0.132	0.00927789	0.00553652	0.0090438	0.0040308	0.00306209	0.00244505	0.00190302	0.00365216	0.00396784	0.00311935	0.00484799	0.00461603	0.00297792	0.00451491	0.00356223	0.00381728	0.00359242	0.00444798	0.00477345	0.00394114	0.00307824
a	0.0223648	0.00815867	0.00714582	0.0223862	0.0633789	0.0637034	0.0277316	0.0640085	0.054703	0.0295587	0.082723	0.0762507	0.0578385	0.0366935	0.0529577	0.0468728	0.0498319	0.0484805	0.0386066	0.0500557	0.0348556	0.0185208	0.00872457	0.012109	0.0223396
accroché	0.0172687	0.0119121	0.0134034	0.0131775	0.0264418	0.0336119	0.0389665	0.0498336	0.0513976	0.0864683	0.0641356	0.0633517	0.069313	0.0440843	0.0483566	0.039154	0.0469068	0.0447221	0.0359404	0.0280091	0.0284475	0.0353591	0.034295	0.0383895	0.0370539
son	0.0055861	0.00571053	0.00615323	0.0105105	0.0256325	0.0307436	0.0248675	0.0345688	0.0405026	0.0462094	0.0610741	0.0583536	0.0345303	0.0434529	0.038216	0.0452308	0.0624952	0.0500267	0.0574241	0.0393933	0.0492971	0.0524374	0.0504979	0.0529904	0.0740954
chapeau	0.0176916	0.0130342	0.0182746	0.0232491	0.027495	0.0230583	0.0259301	0.0262126	0.0349768	0.0442167	0.0424	0.0456928	0.0692552	0.095911	0.06154	0.0480017	0.0507372	0.036793	0.0364738	0.0383455	0.0355019	0.035141	0.0346305	0.0397467	0.0756909
au	0.0227354	0.0128789	0.0107442	0.0120573	0.0189847	0.0159291	0.0185462	0.0203771	0.0301149	0.0315598	0.0281709	0.0355508	0.0487905	0.0622229	0.0595074	0.0578231	0.101351	0.0634734	0.0495082	0.0509557	0.0389623	0.0346841	0.0518495	0.0576343	0.065588
bout	0.0353759	0.0207554	0.0219586	0.0201699	0.022048	0.0198469	0.0219094	0.022425	0.0275934	0.0289713	0.0264187	0.0293943	0.0462102	0.0536655	0.0515621	0.046685	0.0710671	0.0467873	0.0495542	0.0560321	0.0577218	0.0236473	0.0551544	0.0684945	0.0765518
du	0.0236462	0.0240891	0.0226584	0.0255763	0.0296083	0.029086	0.0306567	0.0337714	0.0380119	0.0384048	0.037323	0.0398361	0.0543672	0.059609	0.0470035	0.031891	0.03264	0.0273822	0.0316573	0.0391921	0.0472163	0.0689539	0.0656534	0.0603713	0.0613945
piquet	0.0217049	0.0217584	0.0219404	0.0218512	0.021826	0.0216304	0.0149849	0.020631	0.0171762	0.0223193	0.0218268	0.019237	0.0219858	0.0188708	0.0243733	0.0342309	0.0482599	0.0581967	0.0716353	0.0764783	0.0773531	0.0797123	0.0805518	0.0802985	0.0811669
</S>	0.012513	0.0194139	0.0298281	0.0361846	0.0365569	0.0344734	0.0356519	0.0366858	0.0379824	0.0394186	0.0393776	0.0391426	0.0375646	0.0381524	0.0278704	0.0252867	0.0286686	0.0217683	0.040359	0.0651128	0.0773442	0.0563103	0.0483938	0.0533134	0.0826267
