 	o	l	ώ	b	h	i	b	ó	l	á	a	k	i	r	á	a	s	w	é	</S>
le	0.0070022	0.0109477	0.00936934	0.00759784	0.00546348	0.00833885	0.045471	0.058011	0.0491304	0.048589	0.0546549	0.0782358	0.0924587	0.0908003	0.106904	0.0875922	0.0848257	0.0778009	0.0539904	0.0228162
pêcheur	0.0277431	0.086379	0.0909177	0.0444357	0.0348066	0.0282425	0.0694348	0.110344	0.114242	0.0353486	0.0422248	0.0359724	0.0481384	0.0476545	0.0520946	0.0341303	0.0494735	0.00986781	0.0247523	0.0137977
est	0.0800242	0.0569763	0.0441906	0.0326046	0.0494912	0.0615286	0.135345	0.0934865	0.0490228	0.0495439	0.0360249	0.0617537	0.0658559	0.0404228	0.0422326	0.0320851	0.021546	0.0188119	0.0181615	0.0108915
en	0.0783957	0.0713412	0.0740369	0.0633707	0.0738849	0.0598725	0.0344728	0.029731	0.0331005	0.0274473	0.0439851	0.0603518	0.062574	0.0391808	0.0478372	0.0393072	0.028789	0.0319513	0.0528714	0.0474985
train	0.142568	0.0760329	0.0652285	0.0467817	0.0455093	0.051188	0.0593504	0.0649581	0.0359158	0.0289637	0.0247571	0.0199091	0.0271485	0.0413491	0.0364144	0.0441663	0.046892	0.0522629	0.0434976	0.047107
de	0.0372814	0.0554209	0.0491011	0.0579768	0.0521353	0.0568154	0.0756791	0.0514241	0.0430938	0.0683589	0.0652151	0.076724	0.0733126	0.038901	0.021205	0.0183665	0.012433	0.0217019	0.0201495	0.104705
vendre	0.060238	0.0569606	0.0522938	0.0441628	0.0543708	0.0685427	0.0857525	0.0767292	0.0773931	0.0660446	0.0431395	0.0325203	0.0402426	0.0392712	0.0552498	0.0315852	0.0163039	0.0201337	0.0276349	0.0514308
du	0.145399	0.103855	0.0757001	0.0652023	0.0499147	0.0415803	0.0465236	0.0414899	0.0353133	0.0239721	0.0280038	0.0184505	0.0147037	0.0175419	0.0158058	0.0194801	0.0455298	0.0367719	0.0587079	0.116055
poisson	0.0567587	0.0632945	0.0695651	0.0809284	0.0737223	0.0304562	0.0183831	0.0183259	0.0198819	0.0155409	0.0141022	0.011025	0.0128874	0.0271715	0.0289165	0.047036	0.0808816	0.0584635	0.0861731	0.186486
</S>	0.178364	0.134126	0.0933942	0.0586452	0.0291754	0.0177631	0.0122128	0.013758	0.00934272	0.00829908	0.0064449	0.00520134	0.00593254	0.00909506	0.0096815	0.0145112	0.0467342	0.0326392	0.0605084	0.254172
