 	w	a	a	d	í	n	d	ε	l	i	k	a	á	y	é	e	t	ω	ώ	l	a	o	d	í	n	g	á	</S>
il	0.193148	0.564106	0.119845	0.0188905	0.0111344	0.0107929	0.00584338	0.00190597	0.00290169	0.00410334	0.00674789	0.0060795	0.00525326	0.00762926	0.0035286	0.00270565	0.00319421	0.00316272	0.00306361	0.00314354	0.00324874	0.00285579	0.00305579	0.00307193	0.00316571	0.00287479	0.00285929	0.00168833
a	0.0407311	0.0341976	0.0671942	0.03223	0.0765249	0.0547687	0.0636237	0.131664	0.0935445	0.0929061	0.05168	0.0491262	0.0336289	0.022181	0.0199284	0.0209055	0.0235369	0.0241792	0.0102944	0.00544594	0.00212106	0.00342901	0.00513764	0.00508683	0.00645782	0.0100253	0.00811583	0.0113351
une	0.0758342	0.0454145	0.0453046	0.0670608	0.0759824	0.0767619	0.0685709	0.0950055	0.0384335	0.0240893	0.0173304	0.0251051	0.0208253	0.0189622	0.0187489	0.0206343	0.0194494	0.0189017	0.0203635	0.0182065	0.0253496	0.016525	0.0273975	0.024483	0.0240129	0.027328	0.0261295	0.0177896
barbe	0.0089232	0.00840962	0.00899845	0.0106138	0.0122492	0.0109508	0.0128583	0.0221955	0.021919	0.0476314	0.0261542	0.0930084	0.0756711	0.0812994	0.0687964	0.0366533	0.0576473	0.0439768	0.0558804	0.0585909	0.0604242	0.0428846	0.0455365	0.0171703	0.015752	0.0164791	0.016336	0.0229903
rare	0.00776304	0.0068346	0.00732642	0.00584908	0.00543585	0.00537426	0.00641086	0.00764502	0.010282	0.0157527	0.0109328	0.0156098	0.0190385	0.0353248	0.0370442	0.0571688	0.0637742	0.0646724	0.0592906	0.0732501	0.0601599	0.0851415	0.0449003	0.0447211	0.0580433	0.0680601	0.0514465	0.0727473
elle	0.0369249	0.0248119	0.0300437	0.0328533	0.0271031	0.0205978	0.0244651	0.0226716	0.0176163	0.0152912	0.0152607	0.0181703	0.0218842	0.0255071	0.024144	0.0267856	0.035774	0.0309579	0.0454894	0.0509084	0.0389902	0.0573455	0.0481203	0.0509004	0.0583447	0.067468	0.0593128	0.0722574
ne	0.0337688	0.0253529	0.0416733	0.0259718	0.0188863	0.0153603	0.00936263	0.0126868	0.00780165	0.00919935	0.00602482	0.0150598	0.0273989	0.0321727	0.0273271	0.0282118	0.0411686	0.0377546	0.0469711	0.0545424	0.0542615	0.0591288	0.0587958	0.0596694	0.060422	0.0634455	0.0628068	0.0647746
pousse	0.0332855	0.0217891	0.0326669	0.0245312	0.0196033	0.0181086	0.0139695	0.0165988	0.0115342	0.0142452	0.00950158	0.0205168	0.0246137	0.0354291	0.0278056	0.023464	0.0262371	0.0213803	0.0391419	0.0456091	0.0553724	0.0619113	0.0579439	0.064202	0.0639705	0.0734331	0.0693725	0.0737625
pas	0.0235744	0.0247573	0.0330312	0.0377357	0.0297181	0.0197994	0.00675652	0.00877775	0.00632836	0.010222	0.00676506	0.0240372	0.0430043	0.10713	0.0459642	0.0397363	0.0455692	0.0330003	0.0286312	0.0292742	0.030871	0.0313048	0.0395707	0.037952	0.0468842	0.071567	0.0686368	0.0694004
vite	0.0209047	0.0159324	0.0203861	0.0268592	0.0215618	0.0174108	0.00929231	0.00848808	0.00739706	0.00789334	0.00592311	0.00818711	0.0207276	0.0356985	0.0206495	0.0195299	0.0214845	0.0116652	0.0209727	0.0440293	0.0536653	0.0774869	0.0800444	0.0898749	0.0717722	0.0867398	0.0858669	0.0895562
</S>	0.0224421	0.0164941	0.0182318	0.0168994	0.0161834	0.0148048	0.00934273	0.0154199	0.0159594	0.0114061	0.00846721	0.0142279	0.0393725	0.0495841	0.0555336	0.0580248	0.058926	0.0446987	0.0427559	0.0594764	0.044838	0.0610815	0.0469429	0.0469089	0.0424843	0.0453788	0.0492306	0.0748843
