 	n	g	á	l	a	m	o	ó	p	i	á	i	t	s	a	t	s	á	a	s	á	w	ó	m	á	</S>
j'	0.233433	0.141572	0.100784	0.0729407	0.0286825	0.0193124	0.0113485	0.0185176	0.0233652	0.0241937	0.0149551	0.0198123	0.0331319	0.0295215	0.0342721	0.0207151	0.0174313	0.0175901	0.0178857	0.0156016	0.0151836	0.0179095	0.0182551	0.0190194	0.0188642	0.0157021
ai	0.0893089	0.0422756	0.0432493	0.0499306	0.0389469	0.0311585	0.0415933	0.0597149	0.133577	0.0727513	0.0917752	0.0262489	0.0249128	0.0179811	0.0178222	0.0100015	0.0129977	0.0106245	0.014818	0.0118617	0.0196052	0.0227054	0.0120759	0.0172668	0.00805082	0.0787461
déjà	0.0275906	0.0356933	0.0404443	0.0402832	0.0540506	0.0294404	0.0148877	0.0108923	0.0204824	0.0392319	0.0474317	0.0485998	0.0636209	0.0933269	0.0529187	0.0281663	0.0282776	0.0301101	0.0317233	0.0449386	0.0414306	0.0402214	0.0355005	0.0459067	0.0350103	0.0198198
attrapé	0.0148341	0.00759223	0.00722808	0.00789202	0.0172085	0.0198323	0.0203503	0.0255786	0.0560009	0.0835576	0.0519169	0.0564574	0.0679437	0.0795645	0.0786344	0.0488915	0.041068	0.0399092	0.0310162	0.0305366	0.0325803	0.0311008	0.0254074	0.0307759	0.038442	0.0556806
le	0.0231109	0.0131869	0.0117021	0.0141431	0.0206919	0.0251103	0.0169976	0.0141838	0.0218444	0.028597	0.0307993	0.0441982	0.0486578	0.0679568	0.0791554	0.0655342	0.0595979	0.0599337	0.048176	0.0337231	0.0348956	0.0261464	0.0364048	0.0462296	0.0492319	0.0797914
poisson	0.0104973	0.0102274	0.011188	0.0111115	0.0123389	0.020021	0.0200657	0.0262899	0.0425061	0.0476325	0.050222	0.0456177	0.0417741	0.0492461	0.0470153	0.0408793	0.0360606	0.0396253	0.0341551	0.0337121	0.0314771	0.0298202	0.0604385	0.0546845	0.0764543	0.11694
papillon	0.0154485	0.0148662	0.0150639	0.0154188	0.0156312	0.0172871	0.0178126	0.0136527	0.0174424	0.0228101	0.0260544	0.0308708	0.0311871	0.0478716	0.0625236	0.0643697	0.0622637	0.0598014	0.0576425	0.0454822	0.0480559	0.0414294	0.0595969	0.0589224	0.0616801	0.0768146
dans	0.0460316	0.0419768	0.0403737	0.0403856	0.0401238	0.0484799	0.0468548	0.0363845	0.04179	0.0469492	0.0433143	0.0389392	0.0181113	0.0168129	0.0264719	0.0341568	0.0324132	0.0319361	0.0315585	0.0288575	0.0269138	0.0228301	0.0355558	0.0433547	0.0407467	0.0986774
le	0.0268999	0.0232479	0.0184121	0.024331	0.0234544	0.0221131	0.0361472	0.0266318	0.0247323	0.0222212	0.0198138	0.0191454	0.0150102	0.0151676	0.0221052	0.0292661	0.0287731	0.0330556	0.0414101	0.0552751	0.0661359	0.0827275	0.0656946	0.0720122	0.0876028	0.0986139
ruisseau	0.0278643	0.0264689	0.024245	0.0268103	0.0226856	0.0153212	0.0113753	0.0131501	0.0174999	0.0161923	0.0122965	0.0102323	0.0115859	0.0157558	0.0267355	0.0319464	0.0347168	0.0376849	0.0458267	0.0460737	0.0546999	0.0688122	0.0944137	0.0998282	0.0747247	0.133054
vouma	0.027619	0.0128045	0.0094045	0.0133506	0.0192775	0.0215986	0.0176303	0.0224779	0.0334329	0.0249388	0.0158174	0.0126583	0.00859305	0.0108545	0.0227578	0.0259472	0.0302122	0.0345661	0.0424798	0.0468725	0.0589386	0.0881735	0.0820488	0.0746104	0.0952155	0.14772
</S>	0.0311219	0.0176482	0.0150719	0.020833	0.0283804	0.0340745	0.0223281	0.0216801	0.0322937	0.0149071	0.00978559	0.00708949	0.00422007	0.00563216	0.012917	0.0181601	0.0291822	0.0342115	0.0541791	0.06543	0.0692002	0.0607439	0.0670729	0.0907603	0.0970925	0.135984
