 	e	k	a	l	í	í	l	í	y	é	é	k	a	l	í	í	w	a	n	d	é	e	y	é	e	s	ε	r	έ	w	á	r	e	w	a	á	d	z	e	p	ó	s	á	o	s	á	l	a	k	a	á	</S>
la	0.00751588	0.00777026	0.00751338	0.00911249	0.0144677	0.0113546	0.00663553	0.00588222	0.0166244	0.023924	0.0352463	0.0650731	0.0616476	0.0432375	0.0536834	0.0614601	0.0185763	0.0347111	0.085038	0.0548131	0.0292857	0.0203573	0.0210277	0.0241614	0.0101677	0.00953228	0.0074131	0.00578	0.00525201	0.00750196	0.00492098	0.00438762	0.00584948	0.00451952	0.00486512	0.00394509	0.00376401	0.00664801	0.00820708	0.00532704	0.00849465	0.00976517	0.00782306	0.00977757	0.0105997	0.0161502	0.0211642	0.0204698	0.0172413	0.0157892	0.0266251	0.0189
manière	0.00906921	0.0122999	0.0234704	0.0358933	0.0295348	0.0355227	0.0354536	0.031733	0.0419779	0.0915891	0.0885357	0.0990336	0.0700431	0.0627165	0.0320436	0.025527	0.0271994	0.0404427	0.0776977	0.0279912	0.0191988	0.0152457	0.0137131	0.0037057	0.00578147	0.00219457	0.001186	0.000754212	0.000326232	0.00194914	0.000972218	0.000366789	0.00031211	0.00152252	0.000469921	0.000355654	0.000760327	0.00101223	0.0014297	0.00123484	0.00124735	0.000831708	0.000952512	0.00640509	0.00117388	0.00205152	0.00831954	0.00193032	0.00263445	0.00169283	0.00173603	0.000759321
dont	0.134035	0.0512761	0.044651	0.0370917	0.0232212	0.0244706	0.0165526	0.00872013	0.00585459	0.0076461	0.0089237	0.0103309	0.0256981	0.0287558	0.043257	0.0223537	0.041831	0.0431027	0.0414905	0.0244127	0.0275808	0.0170211	0.00859599	0.00776526	0.00828566	0.00645144	0.00914653	0.00774022	0.00936882	0.031556	0.0121024	0.0108107	0.00825412	0.0132169	0.0110099	0.00659648	0.00761368	0.0114845	0.00838275	0.00785051	0.00866655	0.0140693	0.0122058	0.0223347	0.00702623	0.019379	0.0119426	0.00463383	0.00621218	0.00575204	0.00735075	0.00591825
il	0.0389297	0.0652752	0.0475783	0.0199304	0.0189077	0.0154367	0.010739	0.00767928	0.00852679	0.0129022	0.0110199	0.0128343	0.014301	0.00876874	0.0155414	0.0162669	0.00768311	0.0229559	0.0739473	0.0336616	0.0363564	0.0124798	0.019745	0.0140239	0.0194004	0.0188733	0.0177094	0.0203241	0.0192344	0.0280319	0.022098	0.0141409	0.0165318	0.021985	0.0296808	0.0109238	0.0176862	0.0158012	0.0170934	0.0113555	0.0114012	0.00836127	0.00893541	0.0184011	0.00952746	0.0142741	0.00667252	0.00703353	0.00554171	0.00532106	0.0163778	0.041792
est	0.0490873	0.0381397	0.0387646	0.0471528	0.0560083	0.0595172	0.0462534	0.0285132	0.0280344	0.0178835	0.0205574	0.015289	0.0115435	0.0226762	0.0254703	0.0142451	0.00974689	0.0214412	0.0140633	0.0144901	0.0192453	0.0157613	0.0120268	0.00798362	0.0220961	0.0115066	0.0146581	0.0150259	0.0150972	0.0244856	0.0184025	0.0166692	0.0112346	0.0105899	0.0334093	0.0192437	0.0183071	0.014309	0.00774287	0.00748033	0.00843649	0.0065787	0.00601873	0.0123161	0.00568635	0.0137544	0.00570479	0.00481241	0.00587115	0.00676964	0.00985236	0.0200466
rentré	0.0277566	0.026452	0.0410937	0.062411	0.0711699	0.0674841	0.0506884	0.0323204	0.0371577	0.0328894	0.0309565	0.0250949	0.0205808	0.0522604	0.0329093	0.0156938	0.00847756	0.00818818	0.00942774	0.00850115	0.00710511	0.00911013	0.00559918	0.00278695	0.00860401	0.00539388	0.00816612	0.00947761	0.0119744	0.0132521	0.0145031	0.0100782	0.0100969	0.00632874	0.0132089	0.00698944	0.00869664	0.00701207	0.00556449	0.00533187	0.00544407	0.00820831	0.010883	0.0196767	0.00885525	0.0097149	0.0212235	0.0105228	0.0114969	0.0135897	0.019872	0.0297197
montre	0.035228	0.0240019	0.0244872	0.0223793	0.0249459	0.0294062	0.046665	0.0335374	0.0263503	0.012147	0.0134984	0.0152614	0.0134741	0.0130834	0.00884354	0.00868072	0.00434713	0.00477319	0.0112109	0.00964052	0.00983611	0.0149606	0.0124846	0.0121628	0.0204201	0.0147658	0.0259223	0.0274294	0.0332896	0.0233461	0.0358738	0.021046	0.0308883	0.0167419	0.0198355	0.0089652	0.00708641	0.0161974	0.00877583	0.0113263	0.0109795	0.0096574	0.00950474	0.0115589	0.0161774	0.010581	0.0251825	0.0218678	0.0170035	0.0252436	0.036467	0.0524608
qu'	0.0893649	0.0533316	0.0303769	0.031979	0.0254294	0.0287277	0.0447965	0.0372995	0.0248044	0.0151073	0.0153723	0.0160929	0.0103614	0.0101472	0.0063402	0.00657565	0.00576218	0.00681162	0.00726495	0.00818917	0.013455	0.00916692	0.00815276	0.0104387	0.0142923	0.0141899	0.0195443	0.0199877	0.0212363	0.0322578	0.023629	0.0136783	0.0192831	0.0200352	0.021103	0.0105682	0.00855614	0.0155169	0.0125556	0.0105559	0.0103628	0.0113549	0.00930787	0.0136117	0.0217788	0.00961393	0.0141153	0.0100839	0.010593	0.0204707	0.0203322	0.0560368
il	0.0346223	0.0338711	0.0411646	0.0380714	0.0337912	0.0322082	0.0244368	0.0261732	0.0181853	0.0154181	0.0129872	0.010497	0.00571276	0.00568847	0.00338163	0.00293852	0.00308716	0.00492778	0.00460199	0.00609238	0.0117963	0.00616237	0.00644845	0.0145193	0.0130468	0.0228531	0.032519	0.0284169	0.0361057	0.0316911	0.0319113	0.0239147	0.0297041	0.0158491	0.014924	0.0176687	0.010451	0.0117362	0.0157021	0.014268	0.0175356	0.0157768	0.0136423	0.0147337	0.0213488	0.0068852	0.0146868	0.00795455	0.00884035	0.0163445	0.0252114	0.0894948
m'	0.0353673	0.0326472	0.0377529	0.0221358	0.00897963	0.00550276	0.00378822	0.00315971	0.00522152	0.00420976	0.00439973	0.00313784	0.00336835	0.00501837	0.00614916	0.00516334	0.00300837	0.00476538	0.00454754	0.00475145	0.0082996	0.00736514	0.00697729	0.0078639	0.0160478	0.0183116	0.0204185	0.0313451	0.0387498	0.0218134	0.0335927	0.0253288	0.0501175	0.0226367	0.0259806	0.0191976	0.0155346	0.0202457	0.0196323	0.0376252	0.04543	0.0301635	0.0359821	0.0246851	0.0333231	0.0117862	0.0296764	0.0132752	0.0126384	0.0168405	0.0390439	0.0569977
