 	w	a	á	f	u	r	u	o	k	o	n	d	z	i	a	m	b	ó	s	i	á	t	á	á	n	i	m	ó	b	ώ	s	i	</S>
il	0.0654206	0.0806258	0.127046	0.133803	0.170748	0.170528	0.100903	0.0564499	0.0258559	0.0197506	0.00878062	0.0118806	0.0059456	0.00211621	0.000960288	0.00203223	0.00208271	0.00120096	0.000780984	0.000740457	0.00110632	0.00114701	0.00100991	0.000961433	0.00110836	0.00114612	0.00117232	0.00113449	0.000956452	0.000783828	0.000693649	0.000539423	0.000589868
a	0.0349037	0.0188829	0.0210604	0.0304156	0.00931299	0.0147503	0.0169581	0.0177629	0.0345853	0.0490352	0.0335343	0.040379	0.0537186	0.049538	0.0471053	0.107674	0.0751418	0.0896008	0.0428955	0.0233539	0.0116819	0.0112064	0.0113368	0.0174155	0.0165265	0.0180129	0.025147	0.0229673	0.0141691	0.0106471	0.00787754	0.00882673	0.0135764
payé	0.0153624	0.0171688	0.0188048	0.0130475	0.019107	0.0252924	0.0340554	0.0324298	0.0387503	0.0629825	0.0429628	0.0340297	0.0581103	0.0570115	0.0487836	0.0640357	0.066219	0.056746	0.0250594	0.0210144	0.0171275	0.0190059	0.0261928	0.0188678	0.024053	0.0169783	0.020464	0.0177869	0.014964	0.0149056	0.0173462	0.0192663	0.0220686
cinq	0.00989375	0.0132585	0.0200049	0.00971781	0.0133998	0.0221895	0.0171834	0.0177274	0.0233347	0.0226782	0.0209375	0.0367034	0.0237117	0.018522	0.0157455	0.00988635	0.00830684	0.0174264	0.0281375	0.064734	0.0720154	0.0538045	0.054134	0.0497041	0.0426938	0.0421176	0.0201063	0.021046	0.0371821	0.0390613	0.0278109	0.0367298	0.0900949
cabris	0.00860489	0.0109403	0.016535	0.00825003	0.0103854	0.0150925	0.0122221	0.012567	0.0148786	0.0166803	0.011355	0.0165904	0.020932	0.0200716	0.0211214	0.0337282	0.0394283	0.0419895	0.0603893	0.0704241	0.0701107	0.054604	0.0609618	0.0515654	0.0485673	0.0541417	0.0368431	0.0258726	0.0232228	0.0200422	0.0196318	0.0241469	0.0481037
au	0.00752805	0.00940809	0.0111676	0.0100925	0.00655228	0.00676157	0.00727179	0.00677517	0.00678075	0.00798742	0.00686047	0.00691031	0.00718496	0.00778468	0.0103639	0.0199377	0.0284846	0.0325954	0.0489753	0.035049	0.0335486	0.0335863	0.0438542	0.0553773	0.0577668	0.0720739	0.0683607	0.0593861	0.059221	0.056952	0.0580162	0.0579785	0.0594069
chef	0.00986029	0.0112303	0.0126286	0.0113558	0.00887675	0.0106818	0.0141792	0.0135328	0.0127388	0.016274	0.0120008	0.00942274	0.0111566	0.0113003	0.0198961	0.0259401	0.0506338	0.0730195	0.114848	0.0721487	0.0508354	0.045758	0.0463118	0.0515821	0.0477844	0.0552465	0.0360412	0.0343925	0.0204574	0.0195084	0.0225324	0.0230623	0.0247631
pour	0.0295142	0.0303869	0.026394	0.0283423	0.0269796	0.0257489	0.0319217	0.0296813	0.0301906	0.033004	0.0292835	0.0223929	0.022066	0.0198317	0.019238	0.0194014	0.0198875	0.0206286	0.0234747	0.0254461	0.0241418	0.0298862	0.0281772	0.0295462	0.0258198	0.0281071	0.0276615	0.0405303	0.0378062	0.0304211	0.047119	0.0475608	0.0894085
l'	0.0152585	0.0152219	0.0151944	0.0153819	0.0155596	0.0158392	0.0161988	0.0156671	0.0176205	0.0185074	0.0167237	0.0201081	0.0226211	0.0228982	0.0202989	0.0241807	0.0201824	0.0304559	0.0316855	0.0376613	0.0261068	0.0298646	0.0309949	0.0353784	0.0356843	0.0421719	0.0450642	0.0433677	0.0463678	0.0584383	0.060555	0.0869797	0.0517611
adultère	0.0243974	0.0201304	0.0246193	0.0166708	0.0146463	0.0168857	0.0133321	0.0127294	0.013949	0.0200618	0.0183325	0.0149452	0.0177083	0.011182	0.0220034	0.0279754	0.0330242	0.0282881	0.0239154	0.0249746	0.0220223	0.0286357	0.0298984	0.0379919	0.0368445	0.0398597	0.0341894	0.0328844	0.0434994	0.0526482	0.0571158	0.0916636	0.0929756
</S>	0.0220792	0.0212573	0.0210246	0.0209948	0.0206253	0.0209173	0.0205699	0.0205924	0.0207619	0.0207416	0.0202168	0.0208988	0.0208787	0.0207527	0.0220775	0.0189203	0.0211008	0.030549	0.0360133	0.0458198	0.0372709	0.0332324	0.0357123	0.0360279	0.0376519	0.0465067	0.0340963	0.0245341	0.027125	0.0382705	0.0430562	0.06577	0.073954
