 	w	a	á	d	z	e	l	á	a	b	v	u	r	á	a	s	w	é	m	á	k	a	b	h	e	b	a	á	á	k	i	r	a	</S>
il	0.193782	0.194342	0.149334	0.101055	0.150953	0.0381125	0.0296897	0.0164464	0.0098297	0.0021414	0.00374354	0.00393595	0.00470175	0.00369095	0.00372052	0.00565246	0.00596119	0.00646062	0.00737444	0.00698966	0.00628739	0.00326383	0.00276077	0.00297156	0.00431914	0.00462584	0.00336906	0.00349702	0.00525016	0.00572271	0.00610792	0.00590268	0.00466312	0.00334315
était	0.0444393	0.0375612	0.0195244	0.0338389	0.0505747	0.0361635	0.0421245	0.0529534	0.0656655	0.0695251	0.0935043	0.0577737	0.0323602	0.0235639	0.0221249	0.0269148	0.0128955	0.0119553	0.0112168	0.0104341	0.0146111	0.00697233	0.0165974	0.0290144	0.0273986	0.0222445	0.033404	0.0185582	0.0225701	0.0178343	0.00734521	0.00775923	0.00872214	0.0118547
en	0.016498	0.0261376	0.0243691	0.0298988	0.0266257	0.0302804	0.0315309	0.0358084	0.0265838	0.0248191	0.0330273	0.0374039	0.0325747	0.0383329	0.032372	0.0316823	0.025812	0.0511068	0.0420805	0.0458779	0.0354456	0.0299655	0.0306528	0.0207913	0.0224797	0.0262229	0.0227747	0.0187184	0.0192807	0.0244481	0.0170268	0.0286607	0.0297143	0.0309964
train	0.00554508	0.0105466	0.0101544	0.0126657	0.0105505	0.0117833	0.00872865	0.0101959	0.0166029	0.0122969	0.0139682	0.0199365	0.0304524	0.0402095	0.0396134	0.0361248	0.0382698	0.0340389	0.0505477	0.0580861	0.0602702	0.0443213	0.0641646	0.0497904	0.0395055	0.0435687	0.0353148	0.0283805	0.0196244	0.0150486	0.0149818	0.0320587	0.0472479	0.0354054
d'	0.0158493	0.0197605	0.0181155	0.0182077	0.0188275	0.0130442	0.00422689	0.00596908	0.00858639	0.0141249	0.0139113	0.0208155	0.0357491	0.0655409	0.0773737	0.0682167	0.0742544	0.0365689	0.0411463	0.0337045	0.0313495	0.0328757	0.0129006	0.0312838	0.0243302	0.0278072	0.0197963	0.0212627	0.0175179	0.020888	0.0110005	0.0172792	0.0457976	0.0819174
entasser	0.00811649	0.00600015	0.00371871	0.00367284	0.00861018	0.00758638	0.00786216	0.0107125	0.0141464	0.0169785	0.0219798	0.027594	0.0314791	0.0395887	0.0447246	0.0415432	0.0341936	0.0597083	0.0381289	0.0478303	0.0664824	0.0429544	0.0459068	0.0352644	0.0338924	0.0414573	0.0330936	0.0330102	0.0332117	0.0296386	0.0206823	0.0350405	0.0352145	0.039976
les	0.0255891	0.0142364	0.0151388	0.0194727	0.027718	0.0295523	0.0274515	0.0434731	0.0277954	0.0388148	0.0409053	0.0409042	0.026197	0.0278825	0.0332418	0.0252849	0.0368442	0.0626404	0.0320517	0.0482731	0.0174189	0.0325652	0.0187534	0.0209793	0.0200391	0.0189982	0.0186608	0.0197347	0.0209834	0.0205536	0.0228274	0.0207487	0.028103	0.0761674
poissons	0.0182072	0.0212472	0.0162851	0.0162649	0.0181603	0.021763	0.0252717	0.0181831	0.0196121	0.00999598	0.012303	0.0119711	0.0108679	0.0150913	0.0165092	0.0174484	0.0163119	0.0262257	0.0201353	0.029599	0.0169655	0.0412298	0.0156689	0.0390237	0.0441049	0.0557879	0.0368252	0.0600265	0.0235946	0.0515745	0.0365414	0.0467617	0.0731167	0.0973254
pour	0.0348118	0.0429489	0.0340642	0.0404345	0.0461046	0.0529473	0.0536308	0.0441892	0.0488438	0.0266795	0.0302947	0.0265932	0.0110642	0.0126016	0.00885561	0.00743201	0.00848872	0.0186342	0.0083211	0.0114913	0.00476933	0.023955	0.012518	0.0190017	0.0265847	0.0289522	0.0217594	0.0259309	0.0224303	0.0248585	0.0323469	0.030452	0.0486878	0.109322
les	0.02383	0.0277306	0.0277172	0.040871	0.0428721	0.0367726	0.0275453	0.0247945	0.0219485	0.0247577	0.02193	0.0266227	0.0201211	0.0280041	0.018914	0.0180915	0.0219707	0.0317769	0.0323771	0.0333798	0.0113079	0.0311034	0.0128978	0.0208683	0.0236061	0.0249105	0.0205594	0.0271943	0.0238276	0.0484346	0.0274091	0.0316261	0.0452676	0.0989596
vendre	0.0108411	0.0162127	0.0127136	0.0168671	0.0126762	0.0168374	0.0132678	0.00925227	0.00993701	0.00748205	0.00727003	0.00710163	0.00708392	0.00984228	0.0111445	0.0168885	0.0154982	0.0161426	0.0196487	0.0243537	0.0242922	0.0329146	0.0251233	0.0385048	0.0370706	0.047246	0.042818	0.0742201	0.0387873	0.0755043	0.0448722	0.0721465	0.0823063	0.103132
</S>	0.0197731	0.0285769	0.028368	0.0326522	0.0290818	0.0249628	0.0232466	0.0173217	0.0169745	0.0210788	0.0172605	0.0234613	0.0179072	0.0210803	0.0223019	0.0231342	0.0225961	0.0226024	0.0258418	0.0290527	0.0253283	0.0282526	0.0218736	0.0282151	0.0337775	0.0359267	0.0314595	0.037575	0.0302243	0.0429139	0.0328712	0.0496222	0.0569435	0.0777419
