 	b	a	r	e	á	d	í	k	ω	n	g	ω	l	ω	t	s	í	n	a	e	b	e	m	b	e	y	á	m	w	ε	n	έ	é	d	z	e	l	e	m	b	v	ú	n	y	u	k	a	á	</S>
les	0.114589	0.177075	0.0380622	0.0186578	0.0323253	0.0355573	0.0405092	0.038475	0.0366274	0.0356469	0.0359512	0.0346094	0.0342423	0.0357109	0.029395	0.0173549	0.007712	0.00516846	0.00682452	0.00732293	0.00340449	0.00226407	0.00357315	0.00340331	0.00338623	0.0032902	0.0034347	0.00313324	0.00341566	0.00308158	0.00302702	0.00285416	0.00368092	0.00355065	0.00421369	0.00498538	0.00459883	0.0057925	0.00439997	0.00665908	0.00744554	0.0103561	0.0143754	0.0209142	0.019808	0.017651	0.0192408	0.0184398	0.0138034
gens	0.0478258	0.0429457	0.0618209	0.102339	0.0716153	0.123336	0.0769096	0.0403665	0.0238204	0.0241467	0.0175563	0.0234656	0.0177724	0.0114687	0.00837386	0.00897608	0.014456	0.0150378	0.00818801	0.00306092	0.00364032	0.00224749	0.00123502	0.00437915	0.00418596	0.00333128	0.00428586	0.00862238	0.003798	0.00190686	0.00531725	0.00367682	0.00593552	0.00902962	0.00873546	0.0126967	0.013588	0.0126489	0.00784943	0.0129959	0.0161394	0.0106114	0.0144673	0.0166007	0.0313304	0.0160681	0.00924821	0.00851579	0.00343072
sont	0.0222829	0.019534	0.032301	0.020828	0.0241649	0.0277754	0.0597491	0.0594957	0.035561	0.0486939	0.0602954	0.0549957	0.048921	0.0334964	0.0208648	0.0137474	0.00795267	0.00600517	0.00669844	0.0127547	0.0156734	0.0150179	0.0169128	0.0103876	0.00929074	0.00757998	0.00685679	0.00622621	0.00739415	0.0122451	0.0122467	0.0198137	0.0142443	0.01417	0.0109689	0.0115027	0.0107228	0.0112401	0.00950713	0.00756406	0.0124565	0.00838729	0.0232774	0.032662	0.0339498	0.018707	0.0113052	0.00822711	0.00534518
déçus	0.00602348	0.00950236	0.0206208	0.0214108	0.0225789	0.0264304	0.030861	0.0299378	0.0265323	0.0405933	0.0308201	0.0311373	0.0222183	0.0194149	0.0184969	0.0165272	0.0292542	0.0322395	0.0220327	0.0193654	0.0215908	0.0139965	0.0122339	0.0148437	0.00940383	0.0138578	0.0103661	0.00750371	0.00826786	0.00952761	0.0143499	0.0117002	0.0137839	0.0144271	0.0199799	0.0231747	0.0242429	0.0200758	0.0199459	0.0268646	0.0258763	0.0240032	0.0370047	0.0339041	0.0193845	0.0158539	0.0202351	0.0163295	0.0212744
du	0.0149801	0.0125771	0.0154739	0.0169529	0.0161856	0.0150771	0.0218523	0.0212342	0.0187996	0.0173451	0.0199832	0.0192186	0.023701	0.0197858	0.0219883	0.0222554	0.0231993	0.0195482	0.0233046	0.0134463	0.01807	0.016589	0.020112	0.0150243	0.0169581	0.0174752	0.0165965	0.0170681	0.0127402	0.0184745	0.0138395	0.0209005	0.014183	0.0164572	0.0178164	0.0234566	0.0241029	0.0313113	0.0298225	0.0351293	0.0369702	0.0477149	0.0180798	0.0225115	0.0163766	0.014031	0.0206908	0.0236093	0.0269803
fait	0.0139647	0.0149131	0.0134396	0.0119893	0.0132777	0.0125253	0.0254414	0.0181208	0.0196284	0.0171192	0.0219897	0.019198	0.0250543	0.0178249	0.0212759	0.0197571	0.0245656	0.0341163	0.0245433	0.0135051	0.0133148	0.018659	0.0132919	0.0195514	0.0200224	0.0182466	0.0178109	0.0265543	0.0118496	0.00880928	0.0105858	0.0156755	0.0150149	0.0245988	0.0326323	0.0449343	0.0403269	0.0479226	0.0310906	0.030049	0.024389	0.0235791	0.0162294	0.0144232	0.0121576	0.00819634	0.0120116	0.0163929	0.0294302
qu'	0.00523864	0.0049649	0.00608885	0.00875918	0.0114744	0.0162393	0.0187285	0.0145665	0.0175064	0.0172296	0.0180229	0.0146811	0.0212902	0.0165661	0.0179353	0.0162659	0.0248385	0.024469	0.0245744	0.0201437	0.0300862	0.0248632	0.02702	0.0235268	0.0234769	0.0284664	0.0273762	0.0243586	0.0236999	0.0164757	0.0188079	0.0266688	0.0277207	0.0332253	0.0325529	0.0414861	0.0423456	0.0337758	0.0446587	0.0259022	0.0155152	0.016504	0.00885678	0.00843845	0.00591668	0.00576303	0.0114834	0.0109843	0.0204609
il	0.00928494	0.00519977	0.00934065	0.0116594	0.0119934	0.0160611	0.0223587	0.0209596	0.0191639	0.013721	0.0147905	0.011794	0.0106343	0.00813348	0.00675757	0.0076116	0.0166098	0.0167346	0.0162627	0.0127364	0.0289863	0.0275396	0.0354789	0.0294504	0.0279541	0.0344529	0.0345826	0.0338558	0.0409288	0.029206	0.0321911	0.0265424	0.0262711	0.0323873	0.0179186	0.0160573	0.0215749	0.0155616	0.0213189	0.0170252	0.0224134	0.0193355	0.0156111	0.0193455	0.0199149	0.0210673	0.0252557	0.0269849	0.0189802
n'	0.0560972	0.0266876	0.0237902	0.0144348	0.011793	0.0094115	0.00842967	0.00767832	0.00602528	0.00533472	0.00670906	0.00808886	0.00969392	0.0106196	0.0112225	0.0230296	0.027867	0.0333685	0.0274416	0.0200167	0.0217684	0.0201744	0.0150131	0.0226723	0.0200599	0.0209327	0.0216118	0.0232068	0.0174894	0.0100778	0.0179978	0.0166351	0.0223915	0.0253259	0.0276714	0.0305027	0.0291384	0.0295248	0.0279325	0.0297458	0.0288996	0.025836	0.0206976	0.0120749	0.0100668	0.0121373	0.0220986	0.0198388	0.0507383
y	0.0598835	0.0256954	0.0240473	0.016237	0.0138302	0.0156629	0.0131794	0.00939538	0.00716203	0.00614333	0.00810958	0.00832468	0.00929386	0.00769101	0.0074112	0.0156063	0.0244237	0.0249357	0.0176202	0.021924	0.0244007	0.0253832	0.0222701	0.0254406	0.0235078	0.0260075	0.0255499	0.0269966	0.0267767	0.0187889	0.026716	0.0189971	0.0240282	0.0238179	0.0195024	0.0188654	0.0184976	0.0151464	0.0158946	0.0215431	0.0297329	0.020578	0.0322582	0.0153684	0.0109105	0.0134424	0.0234424	0.0231944	0.0463655
