 	k	á	a	l	e	d	í	l	i	k	a	b	h	e	s	á	b	i	a	</S>
il	0.0367771	0.0497507	0.0747906	0.0557422	0.0444894	0.0218467	0.0182534	0.0187446	0.0326553	0.0456899	0.0559223	0.0707409	0.0969283	0.0849863	0.054803	0.0637508	0.0551171	0.043367	0.0418304	0.0338142
faut	0.166168	0.139131	0.0864614	0.144093	0.145709	0.0917214	0.0268861	0.0262037	0.0210176	0.0172044	0.0144387	0.0114906	0.00683998	0.00350326	0.00248742	0.00970234	0.00815631	0.0137508	0.0240868	0.0409483
manifester	0.058286	0.0413085	0.0372875	0.0373075	0.0206471	0.019052	0.0347518	0.0405954	0.0376367	0.043719	0.0595602	0.0699665	0.0840666	0.0530765	0.0556085	0.0855017	0.064759	0.0678299	0.0481314	0.0409083
de	0.0860405	0.0687143	0.0577735	0.0709061	0.062283	0.0505575	0.0408261	0.0328421	0.0244803	0.0199739	0.0161204	0.0170034	0.0183451	0.030565	0.0380435	0.0662292	0.0754273	0.0668569	0.0778545	0.0791575
la	0.0264856	0.022411	0.0220246	0.0193281	0.0330433	0.019894	0.0260138	0.0251757	0.0291323	0.0441662	0.0534772	0.052382	0.053059	0.0528166	0.050676	0.0691705	0.102578	0.125023	0.079109	0.094034
libéralité	0.0411294	0.0284741	0.0205179	0.0274032	0.0397974	0.0387502	0.0790185	0.0797792	0.0896762	0.141022	0.13298	0.0511403	0.051999	0.0310658	0.023043	0.0207506	0.0261805	0.0264358	0.0146337	0.0362031
envers	0.0826213	0.0472893	0.0378352	0.0432129	0.0536574	0.0598457	0.0503588	0.0374785	0.0285199	0.0278134	0.0250591	0.0321863	0.020348	0.0146668	0.0108508	0.018889	0.0384817	0.0622628	0.0718439	0.236779
les	0.0741815	0.0472559	0.0411863	0.0453983	0.0564767	0.0486096	0.0522382	0.0447294	0.0453975	0.0466984	0.039507	0.0301273	0.0150051	0.00579959	0.00346769	0.0134651	0.040038	0.0562711	0.0635798	0.230568
autres	0.117261	0.0818344	0.0713145	0.0754097	0.100312	0.0682537	0.0340315	0.0338142	0.0179809	0.0193451	0.0117904	0.0105773	0.00697771	0.00921442	0.00873949	0.0185729	0.0408917	0.0596674	0.0715936	0.142419
</S>	0.149372	0.0903428	0.0677083	0.0619073	0.0609471	0.0509181	0.0292419	0.0217503	0.0153802	0.0125994	0.00877815	0.00919763	0.00711465	0.00899514	0.00741143	0.0135082	0.0357854	0.0622044	0.085576	0.201261
