 	m	w	á	n	a	w	ó	b	ó	l	á	a	t	ú	m	ú	n	á	e	b	h	ó	a	</S>
cet	0.00796764	0.0324851	0.00919193	0.00919879	0.00552531	0.0143549	0.00798743	0.00919675	0.0120249	0.0273866	0.122905	0.0495967	0.138611	0.0670035	0.047506	0.0445012	0.0456044	0.0471722	0.0445923	0.057289	0.0505077	0.0493964	0.0503088	0.0496866
enfant	0.102519	0.316749	0.0711802	0.107415	0.0655333	0.0401202	0.0249605	0.0686345	0.0461482	0.0315552	0.0163744	0.0255851	0.0155766	0.00806207	0.00640023	0.00630578	0.00506634	0.00789395	0.00682029	0.008094	0.00591977	0.00754551	0.0042781	0.0012638
est	0.0227995	0.0457024	0.0260677	0.042527	0.0978271	0.0355849	0.114832	0.078745	0.0777723	0.0824938	0.0185811	0.0444957	0.0270276	0.0303623	0.0359588	0.0368071	0.038624	0.0327254	0.0299592	0.0199366	0.0182772	0.0141574	0.014688	0.0140476
en	0.0308412	0.0208145	0.0164339	0.0308717	0.0308611	0.0242734	0.0473198	0.0368338	0.0418416	0.0637481	0.0444955	0.0753174	0.0553253	0.0306729	0.0289814	0.0347557	0.0427366	0.0428124	0.0468453	0.0419314	0.044695	0.0506341	0.0515558	0.0654021
train	0.0385826	0.0360027	0.0351897	0.0500373	0.0302659	0.0175762	0.0206302	0.018868	0.0270053	0.0371732	0.0276764	0.0495399	0.0349098	0.0436037	0.0454193	0.0362067	0.0507078	0.0423144	0.053683	0.0447888	0.0583082	0.0631537	0.0477029	0.0906541
de	0.091673	0.0702361	0.0252742	0.0720951	0.0424859	0.0201303	0.0312436	0.0213451	0.0285286	0.0394138	0.0121576	0.0170382	0.012209	0.0148219	0.0188532	0.0184634	0.0287473	0.0235264	0.0254214	0.0226468	0.0390605	0.0537145	0.0490723	0.221842
provoquer	0.0321255	0.0251788	0.0191879	0.0321126	0.0446498	0.0535316	0.0901423	0.0963764	0.12246	0.126521	0.0792659	0.0537977	0.0567038	0.0257865	0.0178006	0.0248726	0.0170862	0.0155181	0.0123979	0.00887485	0.00430593	0.00920215	0.0133661	0.0187363
le	0.0694599	0.0423588	0.0475725	0.0459704	0.0308516	0.0477444	0.0410475	0.0319056	0.045193	0.0365459	0.036798	0.0288544	0.0297798	0.0218853	0.0235875	0.0259654	0.0260576	0.0432698	0.0470525	0.0394824	0.0237278	0.0420257	0.0553394	0.117525
fou	0.0320656	0.02812	0.0275459	0.0391801	0.0297113	0.0247038	0.0296767	0.0228806	0.0242601	0.0223121	0.0316696	0.018886	0.0225018	0.022824	0.0273723	0.0329713	0.0381889	0.0486177	0.0568653	0.0445385	0.0417905	0.0549044	0.0562517	0.222162
</S>	0.117606	0.0506149	0.0596945	0.0548103	0.0416611	0.0458885	0.0288521	0.0337158	0.029846	0.0175553	0.026645	0.026317	0.0202763	0.0329516	0.0323951	0.0217577	0.0238044	0.0226335	0.0227611	0.0322701	0.0254204	0.0382506	0.0608484	0.133424
