 	b	a	l	a	b	á	l	a	b	v	ú	ó	d	í	y	o	o	y	o	o	m	í	b	h	ε	ε	d	í	m	b	é	á	l	a	l	í	n	g	a	</S>
cette	0.0216194	0.0203086	0.0313613	0.0293991	0.0311234	0.00978298	0.00874911	0.0196588	0.0305976	0.103262	0.0197247	0.0407216	0.0499934	0.0991021	0.0272994	0.0247024	0.0224117	0.0173498	0.0167154	0.0123178	0.0113354	0.013857	0.0144588	0.0113695	0.0156322	0.0168979	0.0103124	0.0157892	0.0135434	0.0139039	0.0135637	0.0147437	0.0173979	0.0204213	0.0227942	0.0228388	0.0332198	0.0386398	0.0258264	0.0172545
rue	0.0567892	0.163972	0.148138	0.251298	0.0987618	0.0708522	0.0280768	0.0180006	0.00969898	0.0106855	0.0150831	0.00947716	0.00681472	0.00357718	0.00424077	0.00388407	0.00520929	0.00382879	0.00195555	0.00228143	0.00168652	0.00279289	0.00364285	0.00362153	0.00709762	0.00611482	0.00279355	0.00464158	0.00738314	0.00818361	0.00610725	0.0111916	0.00954988	0.00463326	0.00322787	0.00128864	0.00129913	0.000984136	0.00073164	0.000402738
est	0.0992173	0.0415056	0.0194081	0.0289086	0.0281756	0.0280294	0.0313004	0.0188056	0.0431472	0.0171003	0.0149867	0.0173166	0.0164971	0.0138351	0.0286836	0.025362	0.0272266	0.0196879	0.0227391	0.0181776	0.0146464	0.0202528	0.0187989	0.0288588	0.0249132	0.0241742	0.0150621	0.017849	0.013248	0.0346965	0.0251624	0.0398851	0.0275496	0.0328943	0.0247535	0.0209081	0.0184372	0.0174882	0.0147015	0.0056099
animée	0.0140024	0.0116882	0.00832746	0.00940592	0.0116123	0.0105196	0.0106393	0.0169459	0.0299704	0.0206634	0.0300118	0.0295041	0.0186472	0.0181761	0.0144788	0.0174236	0.0133046	0.0177425	0.0214038	0.0203721	0.0310767	0.0274399	0.0227011	0.0478225	0.0407748	0.0473952	0.0436431	0.0493777	0.0457501	0.0348607	0.0335425	0.0264596	0.0282698	0.0320369	0.0247341	0.0203662	0.0236424	0.0175842	0.0340285	0.0236546
de	0.0248819	0.0230954	0.0134651	0.0123275	0.0128159	0.0151044	0.0162879	0.0197561	0.0203528	0.0233653	0.0341303	0.0207563	0.0272434	0.0126976	0.0220195	0.0131502	0.0112466	0.0162469	0.0173713	0.038377	0.0290358	0.031524	0.035348	0.0275749	0.0229299	0.0267719	0.0491667	0.031892	0.0368212	0.0283931	0.0304882	0.0246851	0.0243526	0.024826	0.0344887	0.0237347	0.025579	0.0288834	0.0260325	0.0427813
ce	0.0147537	0.0147702	0.0128083	0.0171796	0.0197722	0.0209936	0.021099	0.0294898	0.0216821	0.0259666	0.033533	0.0213148	0.0213575	0.0188322	0.0140095	0.0172485	0.0113524	0.0176446	0.0232286	0.0278586	0.0299625	0.0439203	0.0392073	0.0424783	0.0264778	0.025269	0.0340357	0.0281705	0.02757	0.0195107	0.0207126	0.0222209	0.0232528	0.0290551	0.0343273	0.030355	0.032999	0.0266376	0.0271599	0.0317828
côté	0.00643979	0.00552585	0.00485793	0.00724489	0.00686431	0.0134289	0.0151214	0.0180343	0.0154287	0.0296883	0.0228231	0.0176618	0.0164395	0.00727519	0.016828	0.0118815	0.0097801	0.0153633	0.0262779	0.0328367	0.0317607	0.0365996	0.0397131	0.0337181	0.0362409	0.0398944	0.0477565	0.0445805	0.0448322	0.0406452	0.0349606	0.0314331	0.0241223	0.0220944	0.0313929	0.0270123	0.0256419	0.024862	0.0268329	0.0561049
à	0.0063271	0.00610334	0.00594155	0.00730086	0.00724594	0.0134679	0.0155044	0.0200852	0.0189828	0.0320102	0.0303403	0.0180848	0.020781	0.0106587	0.0187456	0.01464	0.0129241	0.0151592	0.017895	0.0224974	0.0191126	0.022575	0.0259452	0.021737	0.0204489	0.0229561	0.0425841	0.0328828	0.0502975	0.0444152	0.0450947	0.0449689	0.0349248	0.0279622	0.0381762	0.0370292	0.0320556	0.0315187	0.0296657	0.0609541
cause	0.0272189	0.019604	0.0141198	0.0154107	0.0115795	0.0091442	0.00898085	0.00693119	0.00953395	0.00955366	0.0150868	0.0122664	0.0139301	0.0151457	0.0178233	0.0134991	0.0184593	0.0167116	0.0197066	0.0201518	0.0161622	0.021232	0.0266885	0.0200695	0.0211087	0.0300423	0.0542402	0.0428986	0.0536719	0.030856	0.0301117	0.0234262	0.025004	0.0245339	0.0339318	0.0408055	0.0378081	0.046795	0.0576117	0.0681447
de	0.018251	0.0113401	0.00701767	0.00566632	0.00388558	0.00333962	0.00306155	0.00241792	0.00390039	0.00366164	0.00380337	0.00380124	0.00368647	0.00494454	0.00651422	0.00532715	0.00618391	0.00643424	0.00886051	0.011227	0.0114146	0.0190182	0.0310378	0.0308627	0.0344135	0.0499525	0.100089	0.0887412	0.0911249	0.0663084	0.0645652	0.0378592	0.0300305	0.0316498	0.0281819	0.0300035	0.0300309	0.0304003	0.0311041	0.0398876
