 	a	y	ú	r	u	b	á	á	d	u	m	u	n	u	m	ó	l	ó	m	i	</S>
ces	0.167137	0.0740537	0.0649766	0.0195421	0.0219664	0.0195793	0.0339808	0.0659246	0.0471914	0.0728145	0.047526	0.0536419	0.049686	0.0518788	0.0268438	0.0315362	0.0350409	0.0509248	0.0215495	0.0226748	0.021531
femmes	0.0330982	0.048582	0.0626636	0.0866835	0.114041	0.147328	0.114465	0.0866401	0.0900678	0.0554434	0.020248	0.0158943	0.0186671	0.015848	0.00830161	0.008135	0.00959914	0.0251364	0.0145569	0.0151314	0.00946906
se	0.0218392	0.0184	0.029363	0.0363533	0.0356108	0.0407701	0.0560439	0.0611427	0.0853714	0.0803006	0.0651889	0.0839321	0.0898345	0.0882838	0.0567084	0.0525931	0.025988	0.0301216	0.0141614	0.0110873	0.016906
sont	0.0136333	0.0205655	0.0414167	0.0506929	0.0588038	0.060904	0.0374639	0.0472734	0.0554917	0.0488325	0.0624074	0.0551127	0.0447918	0.051731	0.0786361	0.098405	0.0589585	0.0326028	0.0228197	0.0307344	0.0287227
disputées	0.0291212	0.0344753	0.0430757	0.0746153	0.0714302	0.051149	0.0337612	0.0388925	0.0513807	0.0392827	0.040508	0.0324163	0.0284427	0.0366606	0.0371207	0.045965	0.0587821	0.0646116	0.0586037	0.0563645	0.073341
au	0.0225535	0.0216889	0.0298324	0.0300721	0.0283281	0.0218066	0.0205026	0.0236953	0.0316907	0.0438509	0.0235668	0.0283504	0.0220165	0.0238404	0.0449212	0.0769071	0.0783745	0.103694	0.0968944	0.0930639	0.13435
sujet	0.0282296	0.0366546	0.0445926	0.0412129	0.0302974	0.0169391	0.0181501	0.0186529	0.0283651	0.0352555	0.0236373	0.0190872	0.0162059	0.0228029	0.0462498	0.0577707	0.0511001	0.100508	0.116919	0.0948126	0.152557
d'	0.0176644	0.0228524	0.0260381	0.0285128	0.0276774	0.0249696	0.0177913	0.013553	0.0188771	0.0271138	0.0229491	0.0105176	0.0176581	0.0336254	0.0601657	0.0770564	0.116291	0.134111	0.102225	0.0651186	0.135232
un	0.0320567	0.0416973	0.0388782	0.0276718	0.0240109	0.0154014	0.0128924	0.00667364	0.0087634	0.00597571	0.0109031	0.00915053	0.00924427	0.0239153	0.052473	0.0747185	0.076927	0.109645	0.134002	0.144702	0.140299
mari	0.0284846	0.0263535	0.0251342	0.0193545	0.0175364	0.00915956	0.0060703	0.00440692	0.0070487	0.0132041	0.0131676	0.0115555	0.0104979	0.0392957	0.0368331	0.0571153	0.0905421	0.11891	0.15951	0.148267	0.157552
</S>	0.0733666	0.0587785	0.0555813	0.0439952	0.0430762	0.0303956	0.0259497	0.0148533	0.0109343	0.0163165	0.0205597	0.0125082	0.0148527	0.0156336	0.0313586	0.0371082	0.0245947	0.0523445	0.101646	0.14913	0.167016
