 	w	a	á	k	á	n	y	í	i	d	z	w	a	l	á	n	g	y	ε	l	έ	n	d	z	á	á	a	d	i	m	b	ώ	n	g	ω	k	a	á	</S>
il	0.0987608	0.116222	0.135962	0.334203	0.0674122	0.0522772	0.0488393	0.0360681	0.0235224	0.00391548	0.00214267	0.00241273	0.00216043	0.00329546	0.00310062	0.00333454	0.00493612	0.00331867	0.00359138	0.00324426	0.00338781	0.00358557	0.00251894	0.00260376	0.00320073	0.00302168	0.00319956	0.0029306	0.00192924	0.0015086	0.00297428	0.00295533	0.00288078	0.00314342	0.0032937	0.00294167	0.00228202	0.00164464	0.00127798
voudrait	0.0290029	0.0108031	0.00792606	0.0284074	0.0379446	0.0276761	0.0200957	0.077165	0.0503096	0.0905988	0.0781408	0.0345092	0.0474955	0.0430973	0.0328031	0.0260012	0.0443405	0.0333346	0.0381351	0.0315119	0.0379869	0.0232511	0.0149948	0.0266687	0.0122041	0.0112756	0.00685764	0.0115176	0.0126214	0.010572	0.00734763	0.00462584	0.00469969	0.00351058	0.00369972	0.00669516	0.00437947	0.00291805	0.00487558
partir	0.0181708	0.0159616	0.0135587	0.0132913	0.0145295	0.013903	0.0122886	0.0154665	0.0134285	0.0162514	0.0163307	0.0102731	0.00750508	0.0101423	0.0193589	0.022093	0.0288831	0.0462315	0.0608353	0.0688146	0.0631211	0.0316814	0.0356688	0.0325632	0.0299481	0.0312654	0.0324028	0.0469374	0.0420368	0.0264729	0.0212907	0.026677	0.0245383	0.0245271	0.0173423	0.0137094	0.0166547	0.025971	0.0198739
à	0.0167925	0.0181411	0.0166232	0.0168887	0.0197907	0.0185766	0.0108924	0.0138091	0.00789944	0.00816251	0.0086317	0.00829006	0.0098834	0.0115207	0.0158752	0.0211375	0.0196787	0.0256487	0.025853	0.0257191	0.0245367	0.025479	0.0301942	0.0328231	0.048231	0.0525273	0.0475647	0.0483894	0.0623458	0.0559261	0.0385757	0.0357106	0.0277658	0.0234984	0.0121993	0.019247	0.0237133	0.0254618	0.0459964
brazaville	0.00751569	0.00565166	0.00504017	0.00566354	0.00619165	0.00621123	0.0052122	0.00780831	0.00547948	0.0121695	0.0200971	0.0151174	0.0166651	0.0161351	0.0148437	0.0126718	0.0144405	0.0225429	0.0240918	0.0239339	0.0285344	0.0275452	0.0385331	0.0396044	0.0453914	0.0429446	0.048673	0.0559876	0.0580734	0.0467571	0.0324244	0.0386869	0.0360173	0.0273828	0.0318578	0.0366348	0.0305067	0.0316134	0.055349
mais	0.00867076	0.00651468	0.00422162	0.00460014	0.00507883	0.0071502	0.00754964	0.0093088	0.00800367	0.0146821	0.0170635	0.0100692	0.00914094	0.00775869	0.00937667	0.00817471	0.0121208	0.0100576	0.0144908	0.0111091	0.021345	0.0149663	0.0447918	0.0511964	0.0282721	0.0342865	0.0408258	0.0574826	0.047621	0.0568321	0.0589174	0.0593292	0.060796	0.0327765	0.0347708	0.0300181	0.0226146	0.047666	0.0703494
il	0.00906526	0.00657263	0.00315213	0.00340678	0.002818	0.00365234	0.00516321	0.00699859	0.00874156	0.0116689	0.0151227	0.010681	0.011565	0.011323	0.0114496	0.0115086	0.00862679	0.0111824	0.0123778	0.0160697	0.0177789	0.0134773	0.0429082	0.0581533	0.0294178	0.0397322	0.0404505	0.0536665	0.0530237	0.0570612	0.0482132	0.0475696	0.0457084	0.0303738	0.0371244	0.039221	0.0381725	0.0497187	0.0770829
n'	0.0153163	0.0136588	0.010073	0.0114653	0.0078603	0.00996386	0.00771751	0.0146228	0.0134705	0.0220563	0.0258821	0.0141439	0.0157791	0.0119693	0.0132797	0.0126238	0.00998736	0.00935456	0.0120177	0.0131585	0.0150868	0.0135886	0.0219188	0.0270034	0.0206146	0.021755	0.0264081	0.0296929	0.0300904	0.0426706	0.0454812	0.0499391	0.0528427	0.0547909	0.0512095	0.0535039	0.055557	0.0560392	0.0674066
a	0.0316984	0.0187909	0.00988494	0.0131427	0.013349	0.0176996	0.0145855	0.0308377	0.0188031	0.032968	0.0258421	0.0130976	0.0154148	0.00817688	0.00937113	0.0094865	0.00510894	0.00600084	0.0112499	0.0125283	0.012948	0.0112354	0.0195311	0.0239126	0.0165706	0.0203065	0.0252779	0.0247788	0.0343939	0.0611202	0.0599266	0.0608463	0.0613252	0.0494622	0.0284802	0.0250629	0.0346624	0.043838	0.0682843
pas	0.0313479	0.0215293	0.0119866	0.0154834	0.0214856	0.0155815	0.0199113	0.0232007	0.0157801	0.0218501	0.0117428	0.0108108	0.0115924	0.00852111	0.0102314	0.00809051	0.00875147	0.016178	0.0228644	0.015823	0.0222867	0.019077	0.0258759	0.031771	0.0249676	0.0337653	0.0295678	0.0368822	0.0478943	0.048229	0.0286637	0.026395	0.0361385	0.0412737	0.0350412	0.0380018	0.0452505	0.0492295	0.056927
d'	0.0204901	0.0122276	0.0113595	0.0108795	0.0126809	0.0146925	0.0155685	0.0207354	0.0123986	0.0161356	0.014659	0.0116663	0.011205	0.00813765	0.00870381	0.00751751	0.00587271	0.00625432	0.00882248	0.00771556	0.00921207	0.00928311	0.013069	0.0162507	0.0175651	0.0208131	0.0203969	0.020332	0.022762	0.0349333	0.0380941	0.0421967	0.0476608	0.0565826	0.0647459	0.0835365	0.103907	0.0781686	0.0627684
