 	k	y	é	m	a	y	e	e	d	í	l	o	b	e	n	g	i	w	ó	a	d	i	k	á	m	b	i	</S>
ce	0.0141778	0.0120314	0.0142619	0.0103747	0.0221845	0.0257587	0.026506	0.0427358	0.0415316	0.0376157	0.0402701	0.0617778	0.0818891	0.088504	0.118759	0.0522155	0.035172	0.0212253	0.0273404	0.0216526	0.0319309	0.019505	0.0371176	0.027878	0.0239633	0.0262401	0.0194467	0.0179347
singe	0.0917788	0.063327	0.089329	0.1265	0.0713703	0.0938059	0.0647411	0.0716516	0.045337	0.050682	0.0525987	0.0447139	0.0292784	0.0102292	0.00971674	0.00296278	0.00386651	0.000993928	0.020208	0.0059102	0.0128979	0.00615778	0.0132318	0.00300685	0.00441286	0.00262626	0.00403527	0.00463025
que	0.060831	0.0463978	0.0533626	0.031315	0.0329947	0.0409222	0.0274856	0.0218368	0.0292511	0.0243626	0.0223331	0.0251673	0.0209616	0.0109387	0.0218861	0.0548108	0.0312907	0.0210362	0.0588061	0.0302128	0.0369875	0.0371291	0.0789224	0.0438021	0.048783	0.0438057	0.0295288	0.0148387
le	0.0302691	0.0231634	0.0356706	0.0376712	0.0282298	0.0291123	0.0239509	0.0197943	0.0237403	0.0262512	0.0326884	0.0507941	0.0456051	0.0347764	0.0984386	0.0239794	0.0404518	0.018466	0.0216927	0.0268207	0.034605	0.0429375	0.0304048	0.0523729	0.05692	0.042101	0.0280378	0.0410549
chasseur	0.0413645	0.0359715	0.0353846	0.0372741	0.0356896	0.0303072	0.0236432	0.0209932	0.0227384	0.0252537	0.0233576	0.021477	0.0211813	0.0175462	0.0289359	0.0189135	0.032536	0.0246737	0.0405909	0.0239331	0.0487469	0.107341	0.0400375	0.0434483	0.0453249	0.0380062	0.0412373	0.074093
a	0.139456	0.0736244	0.0541799	0.0534446	0.0479265	0.035724	0.0305959	0.0318187	0.0312576	0.0234727	0.014436	0.0116623	0.0140919	0.00941293	0.0185867	0.0113994	0.0211158	0.0251221	0.0188488	0.0203531	0.0240446	0.0365554	0.0351586	0.0263533	0.0320068	0.0362535	0.0433125	0.0797857
en	0.152137	0.0624273	0.0425741	0.0459744	0.0522736	0.0536518	0.0527916	0.0436794	0.0346902	0.022765	0.0124721	0.0103623	0.0128066	0.0136792	0.0180389	0.0114765	0.0111546	0.0157499	0.0144681	0.00831545	0.0207319	0.03698	0.0344308	0.0346396	0.0400055	0.0345143	0.036075	0.0711345
mains	0.167635	0.111458	0.088078	0.0784812	0.0753384	0.046579	0.0190364	0.0204783	0.0242544	0.0293151	0.0228385	0.0232936	0.020506	0.0220684	0.014216	0.00271871	0.00351542	0.00236197	0.00305632	0.00140917	0.0020933	0.00312004	0.00289917	0.00521822	0.0117386	0.00860992	0.0455151	0.144167
est	0.346358	0.126533	0.0667633	0.0452586	0.0309437	0.0226662	0.0204034	0.0279166	0.0249324	0.0350846	0.0254709	0.0232396	0.018243	0.024551	0.0147497	0.00294181	0.00404831	0.00219304	0.00430874	0.00151655	0.00294378	0.00642385	0.00700745	0.011141	0.0140908	0.0124238	0.0263441	0.0515028
un	0.115947	0.0778404	0.076529	0.0619977	0.0319439	0.0237128	0.0196367	0.0190562	0.0211363	0.0337442	0.0425497	0.0316108	0.0307275	0.0444188	0.0496896	0.0126936	0.0195834	0.00570653	0.0304229	0.00411516	0.0111894	0.0184004	0.0222456	0.0187545	0.0347796	0.0278646	0.0451661	0.0685373
mangabey	0.120276	0.0799514	0.0696761	0.067229	0.0416438	0.0326175	0.027986	0.0231602	0.0236123	0.0257403	0.0361394	0.0313104	0.0278764	0.0287052	0.0310869	0.00452508	0.0100987	0.0027124	0.0183232	0.00408272	0.00578832	0.0108917	0.018566	0.0157528	0.0369638	0.0280749	0.0635012	0.113709
noir	0.0697396	0.0419242	0.0513445	0.054353	0.0504948	0.0519438	0.0411188	0.0266555	0.0210135	0.0211706	0.0208338	0.0161011	0.0158564	0.0164283	0.00832897	0.00271305	0.00599249	0.00386917	0.00890486	0.00806635	0.0170993	0.0211567	0.0236429	0.0292107	0.0476299	0.0403713	0.109969	0.174067
</S>	0.0923045	0.059319	0.0530326	0.0486826	0.0430157	0.0343185	0.0160423	0.0105053	0.00980294	0.00922694	0.0094416	0.00985039	0.00813766	0.00653962	0.0060281	0.00245408	0.00335843	0.00518751	0.00733616	0.00816443	0.0147643	0.0195943	0.0331331	0.0490889	0.0669477	0.0731385	0.11568	0.184905
