 	w	a	á	b	h	i	á	a	m	b	a	n	d	a	o	d	z	á	a	k	a	á	m	ó	n	ω	ω	b	v	ú	a	</S>
il	0.181554	0.324439	0.149081	0.123307	0.0605019	0.0398811	0.0107623	0.00235357	0.00290437	0.00260787	0.00214457	0.00184042	0.00391621	0.0060686	0.00761702	0.00660234	0.00734964	0.00470164	0.00528283	0.00474161	0.00536738	0.00461315	0.00502846	0.00491914	0.00503939	0.00443506	0.0041947	0.00417114	0.00403628	0.00378275	0.00384315	0.0029124
ne	0.0190386	0.0146779	0.0291638	0.0208551	0.0424367	0.0744838	0.0639442	0.069683	0.112177	0.0685961	0.077173	0.0539643	0.0195147	0.0167518	0.0106225	0.0093084	0.00348148	0.00430784	0.00788706	0.0148916	0.0123491	0.0232059	0.0445694	0.0487329	0.0265791	0.0216214	0.0380438	0.0183252	0.0105121	0.00638378	0.0093586	0.00735957
mange	0.00815903	0.0128367	0.00785508	0.00857013	0.0116667	0.0215275	0.0350405	0.0661733	0.0983057	0.105813	0.152777	0.136859	0.0466294	0.0291472	0.0207397	0.0156741	0.0131271	0.015455	0.0217543	0.0280598	0.021635	0.00999548	0.00978911	0.00753764	0.0071665	0.00693969	0.0096789	0.0103374	0.0100859	0.00935003	0.0152287	0.0260853
plus	0.0232491	0.02578	0.0230222	0.0188084	0.0185085	0.0196313	0.0112117	0.0079034	0.00778836	0.0136213	0.0227638	0.0172161	0.0204291	0.0298125	0.0516742	0.047987	0.0670708	0.083141	0.0544685	0.0447856	0.0464977	0.0373837	0.0342798	0.02885	0.0304636	0.0272915	0.0282413	0.0349043	0.0297097	0.032192	0.0307526	0.0305613
les	0.00793415	0.0083466	0.00957219	0.00562797	0.00796483	0.0116637	0.0192988	0.0243026	0.026711	0.0230465	0.0262551	0.0344396	0.0262615	0.0295592	0.0258888	0.0433453	0.0471899	0.0647919	0.054073	0.0476769	0.045953	0.0403327	0.0345017	0.0214168	0.0225123	0.0238307	0.0316858	0.0557863	0.0399676	0.0402384	0.0414523	0.0583731
baguettes	0.0193862	0.0167732	0.0139103	0.0100196	0.0141669	0.0260743	0.026915	0.0239715	0.0313007	0.0320813	0.0147611	0.0380784	0.026347	0.0219889	0.0131002	0.0122173	0.0167421	0.0169391	0.0293173	0.0282613	0.0204261	0.0291259	0.0273983	0.0243518	0.027297	0.0303353	0.041585	0.0369411	0.0346332	0.0474881	0.0770537	0.171013
de	0.013545	0.0116761	0.00781683	0.00957876	0.0157654	0.0147941	0.0175244	0.0165616	0.0203107	0.0241134	0.0121013	0.0165303	0.0161057	0.0121611	0.0102644	0.0110976	0.0274073	0.0240569	0.042232	0.0442625	0.0436097	0.0488478	0.0499111	0.0503258	0.0435546	0.0405505	0.0481367	0.0475743	0.0478233	0.0588117	0.0717646	0.0811845
man	0.0131025	0.0185389	0.00941772	0.00943176	0.0131049	0.0130335	0.0175047	0.0139254	0.0104682	0.00803999	0.00443313	0.00605096	0.00716731	0.00520162	0.00437918	0.00567162	0.0108748	0.0122127	0.0192903	0.0208724	0.017815	0.0361545	0.0371673	0.0553197	0.0720022	0.0742573	0.065424	0.0554958	0.0700408	0.0814655	0.0916282	0.120508
ioc	0.0212024	0.024254	0.0204413	0.0197465	0.0205014	0.0199564	0.0191598	0.0163152	0.0128898	0.00962811	0.00903578	0.00829091	0.00844176	0.00844104	0.00855531	0.00961832	0.0140865	0.0165464	0.0188175	0.0194251	0.0211792	0.0231545	0.0246971	0.0294014	0.0375134	0.041607	0.0436522	0.0600569	0.0865308	0.0775798	0.0832763	0.165998
à	0.0194935	0.0205997	0.020104	0.0201688	0.0167944	0.0179468	0.0120899	0.0108602	0.0124973	0.0109932	0.0132813	0.0117813	0.0104508	0.00982518	0.0116487	0.0135299	0.0185792	0.0295301	0.0216737	0.0210562	0.018874	0.0183643	0.019469	0.0240995	0.0366864	0.0428022	0.061091	0.0786684	0.0915494	0.0822393	0.060268	0.142984
