 	a	l	ó	n	g	ó	m	á	n	y	a	m	a	á	m	i	k	a	n	g	á	m	á	s	á	n	d	z	ú	n	g	u	</S>
le	0.189307	0.0416758	0.0161293	0.0146766	0.00959562	0.0137589	0.0190768	0.028179	0.0420862	0.0506763	0.0581762	0.0388058	0.0227123	0.021709	0.0202698	0.0163521	0.0310021	0.0215294	0.0292085	0.0324736	0.0241784	0.0192003	0.0189252	0.0225965	0.0144415	0.0195731	0.0225812	0.0149245	0.022209	0.01395	0.0302564	0.0278023	0.0319617
sang	0.0112358	0.0113966	0.0319213	0.0891078	0.119751	0.0700933	0.0432865	0.0325828	0.0321451	0.0468827	0.0359344	0.0314035	0.0227821	0.0170515	0.00708482	0.0162286	0.0216178	0.0242438	0.0206918	0.0235633	0.019687	0.031335	0.0252801	0.038041	0.043889	0.0436916	0.0319728	0.0209708	0.0192061	0.00518613	0.00714335	0.00181224	0.00277998
de	0.0315947	0.041085	0.0299993	0.0209154	0.0186813	0.0228947	0.034405	0.0333596	0.0342526	0.0286542	0.0204771	0.0266942	0.0174002	0.012995	0.0100522	0.0228243	0.0301758	0.0586078	0.0853622	0.0536575	0.0555636	0.0576991	0.0342858	0.0221411	0.0383187	0.0249785	0.0236539	0.0159566	0.0269853	0.0174623	0.0191124	0.0165512	0.0132033
la	0.0315534	0.0430121	0.0521673	0.0539326	0.0884974	0.0416904	0.0415676	0.0413995	0.0408276	0.0459085	0.0401274	0.0430034	0.043665	0.0216319	0.0138682	0.0242104	0.0223769	0.0199051	0.0152485	0.0166568	0.0198791	0.0118844	0.00609814	0.0058917	0.00859	0.00807598	0.0149955	0.00830356	0.0217491	0.0204209	0.0365821	0.0385543	0.0577253
viande	0.0584589	0.0430735	0.0500149	0.0498588	0.0538132	0.0353844	0.0247976	0.0262021	0.0266877	0.0222606	0.0242706	0.0249168	0.0210758	0.0142366	0.019842	0.0178065	0.0239568	0.0135531	0.0164068	0.0112109	0.00890044	0.0148258	0.0104413	0.0204986	0.0187382	0.027565	0.0271815	0.0478462	0.0403055	0.0400639	0.0484455	0.0423132	0.0750473
s'	0.0703595	0.0260826	0.02427	0.0213437	0.0163249	0.0134614	0.0153721	0.0149356	0.0138588	0.019287	0.0309957	0.0344627	0.0471977	0.0438618	0.0405563	0.0483919	0.0228922	0.0196965	0.0135429	0.0127345	0.0199651	0.0205699	0.0108987	0.0134649	0.019289	0.0196221	0.022072	0.0182632	0.0282817	0.0408203	0.0421197	0.0599404	0.135065
est	0.0377127	0.0238204	0.0295941	0.0286441	0.0239862	0.0177	0.018984	0.0163022	0.0148584	0.0166395	0.0209281	0.0283283	0.0409878	0.0533298	0.0561329	0.077929	0.0524732	0.0449595	0.0351541	0.0222757	0.0273498	0.0244593	0.0164112	0.0125229	0.0167091	0.0163288	0.0199218	0.0103935	0.0192245	0.0175927	0.0321033	0.0295	0.0967429
coagulé	0.0343584	0.0290808	0.0279433	0.0259104	0.02208	0.0154358	0.0100755	0.0064441	0.00543218	0.00663659	0.00775673	0.00534262	0.0091928	0.0150725	0.0188722	0.0359601	0.0466711	0.0367029	0.0446201	0.0491346	0.0542016	0.0417579	0.0313282	0.0270109	0.0243689	0.0246962	0.0191746	0.0290244	0.0250886	0.0378803	0.0313614	0.0798922	0.121492
dans	0.0444641	0.0289899	0.0265616	0.0285681	0.0266463	0.0209318	0.020409	0.0141469	0.00896189	0.00770589	0.0101628	0.0159842	0.0238938	0.0240666	0.0383715	0.0611157	0.0311167	0.0288588	0.0269901	0.0237987	0.0334664	0.0273523	0.0218073	0.0235968	0.0207901	0.021927	0.0215279	0.023753	0.0202465	0.0453647	0.0331705	0.079087	0.116166
la	0.0311369	0.0255656	0.0265818	0.0273687	0.028219	0.0235017	0.0114283	0.00777684	0.0070265	0.00729495	0.00716341	0.0051712	0.00782121	0.0114965	0.016268	0.0287915	0.0271288	0.0261161	0.0280813	0.0222438	0.0315613	0.0315029	0.0247789	0.0416787	0.0314201	0.036426	0.03681	0.0535584	0.0311783	0.0553561	0.045374	0.0982259	0.105947
marmite	0.018639	0.015629	0.0153478	0.0151839	0.022243	0.00706883	0.00464736	0.00335101	0.00284978	0.00265942	0.0026179	0.00222716	0.00273555	0.00498769	0.00785467	0.0109073	0.0110313	0.0107908	0.0122412	0.0148721	0.0329331	0.0355289	0.0354674	0.07085	0.0558422	0.0587873	0.0388817	0.0831389	0.049926	0.0731611	0.0556237	0.109419	0.112556
</S>	0.0295777	0.031718	0.035443	0.0476179	0.0470736	0.028108	0.0239264	0.016201	0.0100011	0.00736072	0.00794681	0.00585761	0.0089497	0.011927	0.0115357	0.0208243	0.0182564	0.0135332	0.0167538	0.0143881	0.0312845	0.0194368	0.015166	0.0219342	0.0179089	0.0138423	0.0122874	0.0187194	0.0121457	0.0511649	0.0390822	0.134867	0.205161
