 	l	y	o	ó	b	í	i	b	h	o	n	á	á	m	ó	p	ó	s	á	b	e	a	</S>
les	0.0562979	0.029499	0.0155495	0.0129083	0.0144634	0.0194032	0.0477127	0.075514	0.0490971	0.0627609	0.0651204	0.072401	0.0692714	0.054557	0.0505021	0.0516151	0.03686	0.0348855	0.0432511	0.0501819	0.0359305	0.0293438	0.0228741
pauvres	0.0566095	0.0427497	0.0672933	0.041529	0.0752008	0.0253481	0.0447608	0.09912	0.0994379	0.0957918	0.0461318	0.0348621	0.0303228	0.0306762	0.0449938	0.0643315	0.0337612	0.0180693	0.0198519	0.0154682	0.00635478	0.00389215	0.00344346
se	0.0292444	0.0280804	0.0195084	0.0296366	0.0272987	0.0271209	0.0546843	0.0733669	0.100034	0.0813757	0.0762254	0.0766721	0.0443659	0.0421584	0.0416546	0.0665891	0.0380344	0.0343748	0.0234534	0.0218483	0.0304977	0.0166458	0.0171297
lancent	0.033885	0.0384232	0.0529376	0.0793607	0.0868795	0.0743872	0.0984932	0.0830271	0.0619127	0.0421254	0.0334298	0.0286849	0.0186849	0.0238089	0.0337622	0.0339843	0.0259184	0.0258384	0.0224093	0.0280034	0.0253932	0.0211477	0.0275032
dans	0.0247591	0.0238423	0.0405438	0.0448149	0.0515621	0.0482092	0.0464395	0.0485703	0.0481071	0.0285596	0.0242307	0.0196234	0.0231009	0.0313153	0.035919	0.0342952	0.0405892	0.0534521	0.0501689	0.0536043	0.0665473	0.0749976	0.0867482
le	0.0336183	0.0362266	0.0594351	0.0626878	0.0563548	0.0441062	0.0482893	0.0474407	0.0569867	0.0499055	0.0412029	0.0446808	0.0302846	0.0358073	0.0273331	0.0266099	0.0236236	0.027777	0.0351895	0.0385392	0.0481996	0.0620844	0.0636173
monde	0.0223453	0.0218922	0.0230523	0.0217441	0.0188036	0.0185684	0.0158952	0.0148827	0.0184511	0.0187536	0.0183914	0.0197015	0.0347472	0.0728523	0.0820538	0.0674282	0.0660171	0.0634054	0.0641398	0.0671902	0.0673936	0.0741639	0.108127
des	0.0244488	0.0297902	0.0331087	0.0338618	0.0371027	0.0375781	0.0308788	0.0269341	0.0316291	0.0331394	0.028336	0.0161314	0.0226925	0.0343265	0.0391471	0.02946	0.03166	0.0453922	0.0394679	0.0459895	0.0594894	0.0766155	0.21282
fétiches	0.0347208	0.0673955	0.0760225	0.0737667	0.0582751	0.0281883	0.0224519	0.0156877	0.0165827	0.0235827	0.02727	0.0237393	0.0236821	0.0384358	0.047935	0.0357979	0.0397299	0.046661	0.044284	0.0528931	0.0510545	0.0614841	0.0903593
à	0.0408512	0.0359192	0.0272641	0.0247905	0.0213758	0.00868046	0.00520548	0.00356188	0.00353016	0.00433068	0.00647315	0.00523673	0.00933788	0.0226771	0.0289021	0.0445115	0.053173	0.091756	0.0903739	0.0962718	0.0998593	0.126143	0.149775
cause	0.0526501	0.0390716	0.0294391	0.0257953	0.0170323	0.00522625	0.00322175	0.00236146	0.00222618	0.00308248	0.00631997	0.0066738	0.0139052	0.0292083	0.0366968	0.0487959	0.0536811	0.0799793	0.0800091	0.107813	0.098632	0.124124	0.134054
de	0.0353408	0.033613	0.0275723	0.0264827	0.0253592	0.018756	0.0142451	0.00961791	0.0102389	0.0133054	0.0174198	0.0172249	0.0217906	0.0310275	0.0392198	0.064382	0.0611614	0.0970197	0.0747419	0.0657362	0.0930553	0.0774196	0.12527
leur	0.0526907	0.0400326	0.0328522	0.0342049	0.0214878	0.00824839	0.00662324	0.00556189	0.00590716	0.00677095	0.0137193	0.0138116	0.0211596	0.033668	0.0399137	0.0458897	0.048736	0.0696598	0.0648908	0.0964402	0.0915869	0.113179	0.132966
cupidité	0.054174	0.0301241	0.0221708	0.0198915	0.0113041	0.00538759	0.00530383	0.00578254	0.00518859	0.0064762	0.0106537	0.0122031	0.0231164	0.0366979	0.0480779	0.0605648	0.0515229	0.0500643	0.0542212	0.0693863	0.0614857	0.150613	0.205589
</S>	0.0426414	0.0512208	0.0437165	0.0465373	0.0305241	0.0187329	0.0180511	0.0126178	0.0107564	0.0167668	0.0278172	0.0277114	0.0334441	0.0276073	0.0169375	0.0246297	0.0238148	0.0617308	0.0604404	0.0630787	0.090531	0.0938658	0.156826
