 	l	e	n	g	a	n	d	z	á	l	á	n	g	á	í	m	i	b	é	n	y	á	l	a	o	m	b	ó	n	o	</S>
mes	0.00555047	0.00473511	0.00426071	0.00385781	0.0118698	0.00498739	0.0036335	0.00486719	0.00736208	0.0173957	0.0373438	0.140306	0.0955347	0.117305	0.0944101	0.0814371	0.0544579	0.0657246	0.0575204	0.0308828	0.0406086	0.0262511	0.0250032	0.0200667	0.01024	0.00786207	0.00582654	0.00650599	0.00464846	0.00396912	0.00557644
parents	0.0504094	0.0306463	0.0303188	0.0285401	0.10794	0.0595733	0.0461367	0.0689986	0.0282494	0.0442595	0.0412513	0.0762811	0.049992	0.0552466	0.0674723	0.067643	0.0347281	0.0172108	0.0110609	0.0155055	0.0114911	0.0112021	0.00943928	0.00751959	0.00629007	0.00620961	0.00472107	0.00400118	0.00374464	0.00192446	0.00199345
paternels	0.051754	0.0335855	0.0236339	0.0404883	0.0439426	0.0441567	0.0627465	0.0784371	0.132708	0.120838	0.067022	0.0252074	0.0217716	0.0209257	0.0188811	0.0207822	0.0169495	0.0120382	0.00924936	0.00957795	0.0126907	0.020723	0.0201293	0.0169913	0.0167488	0.0141678	0.00886161	0.00906783	0.00729831	0.00985094	0.00877456
se	0.0338838	0.0437265	0.0321344	0.0488782	0.031233	0.0333858	0.0332885	0.0385609	0.0342602	0.0373496	0.0353501	0.0312682	0.0428062	0.0406247	0.0394389	0.0287625	0.0241853	0.0273319	0.0273513	0.0344289	0.0233916	0.0224897	0.025171	0.0194612	0.0221856	0.0200763	0.0255484	0.0304524	0.029056	0.0377549	0.046164
sont	0.0356416	0.0334576	0.0205618	0.0208142	0.0180271	0.0151768	0.0232776	0.0233375	0.0603918	0.0728291	0.0411371	0.0355627	0.0226568	0.0271777	0.0240414	0.0286292	0.0411527	0.0465881	0.0490574	0.0647223	0.039141	0.030495	0.0232468	0.0233288	0.0235267	0.0195703	0.0238941	0.020692	0.0259891	0.0263351	0.0395407
accordés	0.0230765	0.0229567	0.023122	0.023909	0.0192457	0.0211909	0.023762	0.0248425	0.0300168	0.034176	0.0274598	0.0181672	0.0193007	0.0149835	0.0112106	0.0137954	0.0184679	0.0277821	0.0413715	0.0456174	0.0261174	0.032448	0.0272998	0.0333918	0.0272238	0.0282066	0.0332555	0.0439	0.0545915	0.0801673	0.128944
avec	0.030185	0.0219968	0.0180497	0.0183161	0.00887331	0.0102647	0.00995321	0.0176711	0.0141465	0.0198121	0.0169441	0.0296603	0.0183885	0.0108749	0.00714454	0.0103815	0.0170718	0.048119	0.0395875	0.0411692	0.0397527	0.0353651	0.0467105	0.0626088	0.0452989	0.045997	0.0398933	0.0473217	0.0653801	0.0743992	0.0886626
ma	0.0588509	0.0259886	0.0219302	0.0265934	0.0209416	0.0216941	0.0241407	0.0292633	0.0251558	0.0215248	0.0146871	0.039568	0.0234806	0.0250027	0.0165142	0.0198708	0.0322683	0.0434614	0.054839	0.0422222	0.0484661	0.0484287	0.0538845	0.0601285	0.0451972	0.0315439	0.0176562	0.0158727	0.0174309	0.0263946	0.0469989
famille	0.0572086	0.0372987	0.0278065	0.0229513	0.0205633	0.015393	0.0100831	0.00947018	0.00989541	0.00807096	0.00598294	0.00659942	0.00450341	0.00430637	0.00286008	0.00566087	0.0133261	0.0327249	0.0288663	0.0372999	0.0397158	0.0514923	0.0624444	0.0613973	0.0604157	0.06844	0.0562565	0.0377537	0.0585138	0.0408527	0.101846
maternelle	0.0853757	0.0501318	0.0511225	0.0470813	0.0397392	0.0344847	0.0334139	0.027237	0.02153	0.0121298	0.00743474	0.00948025	0.00756134	0.0158934	0.0150489	0.0182493	0.0161819	0.0140922	0.0160913	0.0185077	0.0158294	0.019178	0.0283662	0.0229209	0.0349882	0.024874	0.0384669	0.033485	0.0558135	0.068836	0.116455
</S>	0.068171	0.0577984	0.0335261	0.052631	0.0475493	0.0316503	0.0320559	0.0236588	0.0212112	0.012526	0.00862225	0.00484216	0.00427448	0.0032656	0.00221613	0.00280468	0.00363789	0.00644907	0.0122299	0.0138677	0.019898	0.0298016	0.0410358	0.0390223	0.0485849	0.0329063	0.0511795	0.0400599	0.0661223	0.0745748	0.113827
