 	n	z	u	n	d	z	a	l	á	a	t	o	n	g	á	d	z	ú	m	b	u	l	á	w	a	m	a	w	o	w	ó	n	g	o	</S>
le	0.00601068	0.00550859	0.00643637	0.00697223	0.0121441	0.0117295	0.0228856	0.0317918	0.0359215	0.0300527	0.0652516	0.0512368	0.0406917	0.0949349	0.0813132	0.0837632	0.0766218	0.042587	0.0239987	0.0205159	0.0162086	0.0187156	0.0161348	0.0168274	0.0190581	0.0211201	0.0144738	0.0142448	0.0233986	0.0180954	0.0193885	0.0178263	0.015349	0.0102451	0.00854615
petit	0.0497967	0.121173	0.158437	0.098037	0.0966304	0.0511626	0.0280846	0.0210514	0.0242743	0.0206589	0.0297235	0.0152162	0.0124265	0.0318284	0.0659884	0.0666211	0.0305171	0.0163244	0.00736559	0.00768202	0.00368429	0.00819473	0.0031126	0.0023812	0.00370827	0.00407054	0.00347981	0.00271244	0.00562207	0.00229051	0.00189838	0.00194404	0.00159745	0.00142431	0.000879772
oiseau	0.0308656	0.0303404	0.0276775	0.0293431	0.0364347	0.0618601	0.106293	0.0585931	0.0671712	0.0360867	0.0296384	0.0211275	0.0308405	0.034553	0.0436718	0.0682436	0.0316344	0.0269857	0.0139437	0.0241012	0.0204771	0.0336884	0.0120393	0.0100341	0.0140311	0.0186465	0.00452455	0.00459453	0.0156021	0.00728696	0.00565127	0.00901049	0.014686	0.0107885	0.00953411
nzunza	0.0302343	0.0363263	0.0327031	0.045716	0.0562256	0.0960145	0.121339	0.0527319	0.0638606	0.0468834	0.0272205	0.0222374	0.0304634	0.0454265	0.0171309	0.0137941	0.0157802	0.0188176	0.0224247	0.0265109	0.0241405	0.0271877	0.020992	0.00874795	0.00634174	0.0116408	0.00412834	0.00398765	0.00662886	0.00475557	0.00483231	0.00913765	0.00812782	0.014637	0.0228735
construit	0.0528183	0.0372377	0.0301213	0.0345704	0.0322652	0.0464097	0.0441266	0.0302914	0.0301082	0.0330272	0.035266	0.0337738	0.0302515	0.0351573	0.0345095	0.0237539	0.0226176	0.033326	0.0476858	0.0394673	0.0242612	0.0263494	0.0185189	0.022673	0.0128217	0.0217212	0.0127347	0.0106482	0.0120801	0.0160041	0.0153159	0.0190556	0.0157267	0.0268864	0.038418
son	0.0312067	0.0266766	0.0346623	0.0387632	0.0431552	0.0467844	0.0369109	0.0268342	0.0314875	0.0275652	0.0253869	0.0314071	0.0317784	0.0255401	0.0198617	0.0128543	0.012851	0.016309	0.0263574	0.0308685	0.0424712	0.0348669	0.039811	0.0123692	0.0150747	0.0158179	0.0159902	0.00901915	0.0226139	0.0128541	0.0115995	0.0390985	0.0173479	0.0617951	0.0720099
nid	0.0387424	0.0270957	0.0310272	0.028244	0.0313473	0.0417899	0.0403242	0.0333533	0.0315626	0.0235213	0.017198	0.0265489	0.0203302	0.0126046	0.0225662	0.010768	0.0205697	0.0358333	0.0470315	0.0386962	0.0357295	0.0363974	0.0272916	0.0150613	0.0233696	0.0234681	0.0171162	0.0100273	0.0215395	0.0188618	0.0230363	0.0302946	0.0242043	0.0485596	0.0658883
avec	0.0573057	0.0401165	0.0370982	0.0414752	0.038786	0.0477237	0.0476729	0.0273146	0.0246243	0.0180438	0.0156716	0.0208338	0.0173365	0.0145194	0.0211738	0.0149487	0.0246291	0.0347844	0.0385527	0.0258357	0.0280727	0.0169176	0.0124746	0.0108837	0.0133802	0.0188443	0.00566896	0.00484554	0.022707	0.0109562	0.0234116	0.0343984	0.0346442	0.055009	0.0993394
de	0.0716586	0.0370118	0.0300753	0.020824	0.028685	0.0250939	0.0186417	0.0162512	0.0174738	0.0100765	0.0074462	0.0109841	0.0112285	0.0113008	0.0137208	0.0179186	0.0415351	0.0486375	0.0424083	0.015726	0.0262214	0.0258799	0.0172575	0.0132223	0.0214828	0.0327237	0.012487	0.00639511	0.021656	0.0257154	0.0333319	0.054406	0.045949	0.0755095	0.0910648
l'	0.0248762	0.0205051	0.0191342	0.0189579	0.0194797	0.0213297	0.0123472	0.00584821	0.00561808	0.00705625	0.00693777	0.00654322	0.0053783	0.00542768	0.00588842	0.00512529	0.0052021	0.00584364	0.0269895	0.0185443	0.0374405	0.0436834	0.0381653	0.0483163	0.0446399	0.0544425	0.0485626	0.0344623	0.0343117	0.0522295	0.0561854	0.0642977	0.0585155	0.0675015	0.0702131
