 	o	b	e	n	g	i	á	d	z	u	u	a	n	g	o	y	á	s	á	k	ώ	</S>
le	0.0212627	0.0360203	0.0244385	0.0327052	0.0558479	0.0458488	0.0363626	0.0378672	0.036951	0.0375691	0.0379884	0.0357786	0.0300047	0.0465217	0.032375	0.046755	0.0446712	0.0685308	0.0779099	0.0619567	0.0698945	0.08274
chasseur	0.0130906	0.0600012	0.0509917	0.0300819	0.0306993	0.0716861	0.220837	0.21191	0.151296	0.0680887	0.0336616	0.025915	0.0104668	0.00520912	0.00573007	0.00387858	0.00224445	0.000938776	0.00106112	0.000828987	0.000703562	0.000678723
a	0.0253468	0.0231463	0.0268734	0.0350534	0.086881	0.138733	0.137273	0.106554	0.0623412	0.0780563	0.0315884	0.0579906	0.0292561	0.0435735	0.0354746	0.0304652	0.0205771	0.00894027	0.00668606	0.00396316	0.00576491	0.00546181
pisté	0.0387497	0.0482366	0.0466298	0.0662382	0.0517535	0.0516368	0.0473534	0.0443527	0.0411682	0.0381982	0.0657734	0.0422544	0.0365842	0.0371759	0.0399718	0.0312492	0.0323965	0.0350675	0.0311059	0.0317591	0.0559118	0.086433
des	0.0267727	0.0367923	0.0427201	0.0325311	0.0359378	0.0470877	0.0543316	0.0500352	0.0415818	0.0320916	0.0370437	0.035209	0.0354926	0.0439031	0.0428249	0.0413122	0.0413676	0.0516552	0.0406673	0.0525913	0.0558317	0.122219
sangliers	0.0342453	0.0367766	0.0382499	0.0250426	0.0216187	0.0151112	0.0243996	0.0252744	0.0236344	0.029877	0.0326479	0.0398643	0.0395794	0.0628305	0.0814065	0.0791335	0.0642788	0.0616375	0.0612403	0.0608903	0.0603252	0.081936
dans	0.0404893	0.0390542	0.0372176	0.0272258	0.0245329	0.0224422	0.0284082	0.0334232	0.0315262	0.0361393	0.0394425	0.0396279	0.0473193	0.0363922	0.0588762	0.0547288	0.0559658	0.0348895	0.0322041	0.0442818	0.129702	0.106111
la	0.0780894	0.0717025	0.0647679	0.0626101	0.0478798	0.0326982	0.0493553	0.0529968	0.039044	0.0373878	0.0404529	0.0284587	0.0304224	0.021716	0.0227968	0.0165997	0.024822	0.0218559	0.0269063	0.0372812	0.0904304	0.101726
forêt	0.13252	0.150929	0.0893758	0.0635027	0.0422167	0.0319994	0.0399019	0.0285307	0.0181795	0.0334365	0.022519	0.02027	0.0237654	0.0204323	0.0177458	0.0150375	0.0248641	0.0190675	0.0217456	0.0329697	0.0676627	0.0833277
</S>	0.179563	0.0988521	0.0811595	0.0511939	0.0247281	0.0120429	0.012945	0.0224123	0.0143479	0.0174899	0.0218739	0.0182561	0.0219778	0.0136734	0.0175423	0.0118839	0.0246495	0.0200848	0.020197	0.0356746	0.128842	0.150609
