 	b	έ	m	έ	n	έ	w	a	b	h	á	a	d	í	o	b	í	a	k	a	á	</S>
attends-le	0.0410328	0.0410498	0.0130302	0.0548816	0.0464026	0.0321435	0.0521314	0.0654007	0.0291727	0.0301736	0.0317904	0.0347811	0.051364	0.0616533	0.0598332	0.0336475	0.0646669	0.0655047	0.0482209	0.0700543	0.045544	0.027521
ici	0.0948552	0.10486	0.113018	0.090036	0.0732819	0.049257	0.054231	0.0541072	0.0331726	0.0474488	0.0445375	0.0259825	0.0315885	0.0217349	0.0226292	0.0261092	0.0226185	0.0140732	0.0131086	0.0159555	0.0206191	0.0267756
il	0.0376555	0.0319729	0.0412631	0.0436532	0.0473435	0.0320879	0.021653	0.0317003	0.0519592	0.0704717	0.091932	0.0669808	0.0327829	0.0220094	0.0133493	0.0161159	0.0173287	0.0205927	0.0286603	0.0601931	0.0418042	0.178491
n'	0.0758382	0.0543469	0.0556288	0.0414227	0.0385529	0.0160593	0.0254921	0.0206248	0.0127993	0.0271466	0.0202987	0.0423548	0.0261763	0.033006	0.0600846	0.0583747	0.0400268	0.0483568	0.0387869	0.0452615	0.0544153	0.164946
en	0.0552481	0.0432173	0.0496632	0.0343011	0.0258762	0.0190004	0.0181892	0.0150071	0.0178534	0.0140333	0.0102759	0.0190675	0.0147074	0.0237622	0.0353998	0.0261478	0.0692457	0.0713983	0.119522	0.0641956	0.0649037	0.188985
a	0.115299	0.07904	0.0626151	0.0561325	0.0432018	0.0244827	0.0137309	0.0119443	0.0136298	0.0156023	0.0150635	0.0308598	0.031033	0.0384128	0.0366944	0.0272461	0.0362224	0.0326907	0.0415938	0.0624586	0.068896	0.14315
pas	0.100366	0.0607385	0.0376218	0.0359112	0.0256606	0.0282936	0.0220258	0.010457	0.0184884	0.0164609	0.0199553	0.0440397	0.0385799	0.0336788	0.0314062	0.0221284	0.0404314	0.044161	0.0931223	0.0403405	0.0841556	0.151977
pour	0.284786	0.124249	0.086115	0.0621123	0.0377214	0.0304324	0.0178534	0.00902339	0.00974534	0.0121027	0.00928113	0.0138988	0.0127147	0.013947	0.0146415	0.0201647	0.0210985	0.0250096	0.0417591	0.0256328	0.0250357	0.102676
longtemps	0.0807316	0.0493628	0.0446175	0.0437798	0.0358431	0.0138255	0.00742	0.00847985	0.00613956	0.0143438	0.0141081	0.0268886	0.0253254	0.0458966	0.0546219	0.0414044	0.0661207	0.0412963	0.0486735	0.0686469	0.0768885	0.185585
</S>	0.0407779	0.0359453	0.0383497	0.0365826	0.0284782	0.0123919	0.0118164	0.00699593	0.00498856	0.0114306	0.00973899	0.0133472	0.00990644	0.0226029	0.0306492	0.0375553	0.0548883	0.0891	0.0735329	0.122993	0.112447	0.195482
