 	o	n	y	ε	b	h	í	á	y	a	n	d	z	i	w	á	o	k	o	n	o	o	s	í	b	o	ó	</S>
son	0.0122979	0.0133984	0.0116575	0.0286897	0.0385654	0.0346141	0.0360625	0.0315786	0.0389078	0.063685	0.0707115	0.0759393	0.0918649	0.0917729	0.0710601	0.0333683	0.0432749	0.0353528	0.0173561	0.0251981	0.02196	0.019319	0.0185603	0.0108536	0.0118597	0.0131104	0.0159385	0.0230425
aîné	0.0379873	0.134167	0.0403934	0.0901181	0.0303391	0.0337506	0.0545665	0.0329152	0.0163891	0.0511203	0.0743268	0.125414	0.119731	0.0642074	0.031537	0.0160147	0.00736668	0.00489181	0.00579698	0.00788574	0.00424803	0.00352777	0.0045909	0.00203264	0.0039159	0.00164654	0.000695023	0.000424356
lui	0.0459346	0.0321281	0.0243031	0.0343339	0.0414043	0.0408495	0.0440999	0.0481378	0.0235607	0.0288982	0.0360091	0.0284464	0.0250453	0.0307679	0.0976815	0.114401	0.0434067	0.0426615	0.0535848	0.0542341	0.0295289	0.0204938	0.0200198	0.0120179	0.0098366	0.00496942	0.00661616	0.0066288
a	0.029299	0.0401296	0.0347423	0.0353586	0.0411483	0.0329894	0.0326023	0.038072	0.0469387	0.0349073	0.0444157	0.0341213	0.0536463	0.0468062	0.0265001	0.0404229	0.0574666	0.0303732	0.0222043	0.0306999	0.0233838	0.0379886	0.0228308	0.0188191	0.0269596	0.0244512	0.0308789	0.0618438
flanqué	0.0246763	0.034962	0.0409135	0.0460295	0.0536617	0.0571035	0.0589397	0.0485597	0.0461179	0.031564	0.0320788	0.0301868	0.0318444	0.0256137	0.0230407	0.0475099	0.0378513	0.0234712	0.0207583	0.0200164	0.0191452	0.0212403	0.0229037	0.0153815	0.0234667	0.0247895	0.0292923	0.108881
une	0.0333528	0.0301773	0.0310997	0.0314287	0.0300762	0.0338234	0.0343101	0.0247245	0.0271856	0.0217933	0.028772	0.0339782	0.0350282	0.037816	0.0301525	0.0541949	0.0391825	0.0276019	0.0262828	0.0327297	0.0302748	0.0358946	0.0419436	0.0306779	0.0339312	0.0309407	0.0425778	0.110049
taloche	0.0318302	0.027044	0.0236454	0.0250516	0.0152345	0.0162431	0.0179738	0.0160436	0.0171142	0.0127653	0.0121631	0.0124452	0.0134557	0.0112719	0.00664436	0.0131451	0.0407987	0.0572191	0.0520484	0.068742	0.049968	0.055334	0.0563343	0.0589753	0.0600644	0.0676067	0.0583568	0.102481
sur	0.0467281	0.0414278	0.0432453	0.0241022	0.0256145	0.0280579	0.0257011	0.0206607	0.0191723	0.0121637	0.0165052	0.0170844	0.0169159	0.0217079	0.0123151	0.0160154	0.0755442	0.052305	0.026812	0.0485191	0.0381806	0.0523452	0.0356776	0.0345807	0.033205	0.0470148	0.0527399	0.115658
la	0.0450948	0.0333811	0.0305324	0.0277403	0.0251223	0.0222291	0.0225264	0.019727	0.0197212	0.0141554	0.0180628	0.01401	0.0175414	0.0170555	0.00807265	0.0106374	0.0295728	0.0286924	0.0411354	0.0411712	0.0464583	0.0494248	0.0569537	0.0441754	0.0569547	0.0777317	0.083654	0.0984659
tête	0.0305833	0.0301264	0.0289419	0.0212842	0.0141698	0.0121127	0.0100132	0.00579112	0.00619645	0.00523591	0.00602367	0.00610569	0.00622362	0.00979314	0.00698402	0.0106177	0.0349656	0.0274976	0.0254872	0.0311188	0.0408582	0.0489562	0.0572563	0.0699663	0.0753461	0.123979	0.116929	0.137437
</S>	0.130337	0.0841298	0.0857685	0.064006	0.0445263	0.0305751	0.0284614	0.0338959	0.0174573	0.00677705	0.00721255	0.00479964	0.00767459	0.00516776	0.00537533	0.00556873	0.0192931	0.023109	0.0213144	0.0205408	0.013457	0.0220212	0.020281	0.0172576	0.0296698	0.0366327	0.0648838	0.149806
