 	a	p	f	é	é	b	ó	n	g	ó	n	d	z	a	b	á	a	d	z	w	á	i	s	a	a	s	á	w	ó	m	á	l	e	b	h	ó	y	á	</S>
les	0.104123	0.0837343	0.0726236	0.0290763	0.0354532	0.0418223	0.0361621	0.03372	0.0316288	0.0322414	0.0330295	0.0388526	0.0375733	0.0357679	0.035241	0.0246449	0.0233148	0.020773	0.0134411	0.0123513	0.00785773	0.00869267	0.00641515	0.00759832	0.00406	0.00896833	0.00610053	0.00621905	0.00598766	0.0126531	0.013226	0.0143443	0.0154148	0.021293	0.0201037	0.0190979	0.0192079	0.015562	0.0116239
jeunes	0.0272081	0.0271557	0.0327287	0.0615295	0.0533493	0.0727258	0.052839	0.0263916	0.0276809	0.029168	0.0508919	0.0608648	0.0479192	0.0332791	0.0586089	0.0493931	0.0437164	0.0461182	0.0190964	0.00911555	0.0110146	0.0140505	0.00956207	0.00998125	0.00755839	0.00510753	0.00598414	0.00712432	0.00918152	0.0154487	0.0145898	0.0061794	0.0120648	0.00572753	0.010935	0.00889727	0.00808552	0.00653051	0.00219702
d'	0.035653	0.0338683	0.0287255	0.0464865	0.05016	0.0494223	0.0495306	0.0605558	0.0525559	0.0459448	0.0565882	0.0549311	0.05258	0.0301	0.0282338	0.0183437	0.0139961	0.0108636	0.010374	0.0097481	0.00728878	0.00715766	0.00889165	0.00791922	0.0180236	0.0154843	0.0219365	0.0167517	0.0154496	0.0356018	0.017815	0.0165485	0.0244965	0.0118521	0.010214	0.00923721	0.00683222	0.00561585	0.00422239
ongonza	0.0107331	0.0159954	0.0198177	0.0175457	0.0207528	0.0283187	0.0265037	0.0348323	0.0478079	0.0384981	0.0428687	0.0453731	0.0450617	0.0334805	0.0226494	0.0154111	0.0177095	0.0292639	0.0397557	0.0117633	0.0184628	0.0295153	0.0131914	0.0266279	0.0193361	0.02384	0.0298459	0.0442243	0.0401195	0.0235837	0.0163447	0.0144502	0.0228738	0.0266993	0.0220793	0.0236837	0.0121537	0.0112777	0.0175483
pratiquent	0.0263004	0.0287401	0.0211009	0.0304928	0.0365635	0.0372438	0.0381575	0.0353485	0.0275902	0.0194957	0.0203607	0.0231048	0.0324641	0.0315084	0.047551	0.0389483	0.0331664	0.0342682	0.0391195	0.0151896	0.0250008	0.0202784	0.0148496	0.0167675	0.0144666	0.0160583	0.0138708	0.0254122	0.0275102	0.0197896	0.0158147	0.0143508	0.0169657	0.0162188	0.0224341	0.021438	0.0223956	0.0258952	0.0337689
la	0.0435117	0.0277895	0.0218722	0.0192921	0.0269135	0.0348335	0.0415392	0.0589717	0.0508869	0.0390846	0.0403578	0.0383097	0.0391862	0.0387241	0.043125	0.0400854	0.0273365	0.0201063	0.024891	0.00834944	0.0149347	0.0201775	0.0141064	0.0183433	0.00885221	0.0105688	0.00787225	0.0114307	0.0131246	0.0129945	0.0119552	0.0103861	0.0149132	0.0162048	0.0160134	0.0228984	0.0213592	0.0280976	0.0406007
pêche	0.0403707	0.0301018	0.0235151	0.0187344	0.0179667	0.0218071	0.0247993	0.0355463	0.0254506	0.024959	0.0197444	0.0185972	0.0193323	0.0184227	0.0167083	0.0127392	0.0120292	0.0195697	0.0509471	0.00656343	0.0101631	0.0205525	0.0121035	0.018856	0.00746982	0.0157342	0.0100944	0.0165199	0.0241031	0.0263845	0.0292677	0.0143076	0.0376103	0.0332961	0.0400861	0.0533155	0.0415143	0.051722	0.0789951
au	0.016754	0.0140298	0.0158164	0.0217592	0.0296853	0.0299718	0.0351903	0.0432079	0.0442603	0.0513207	0.0354956	0.0402361	0.023149	0.0308763	0.0198652	0.0235687	0.0220067	0.0250188	0.0325675	0.0202675	0.0196372	0.0234257	0.0188047	0.022448	0.014066	0.0158977	0.0146627	0.0131571	0.0156989	0.0137827	0.0164107	0.0149524	0.0162143	0.0200468	0.0192259	0.0308296	0.0298885	0.0291493	0.0766546
filet	0.0533325	0.0512021	0.0561901	0.0539425	0.042531	0.0404651	0.0168356	0.0087527	0.00736596	0.0162828	0.0193482	0.020558	0.0136708	0.0127462	0.0125917	0.011193	0.00975338	0.0116712	0.0202306	0.00540641	0.0111404	0.0228085	0.0146309	0.0203017	0.00915472	0.0167551	0.00691018	0.0137252	0.0152347	0.0128102	0.0199807	0.00535474	0.0276353	0.0215407	0.0336289	0.0569062	0.0299084	0.0306586	0.146845
dans	0.0511133	0.0372542	0.0409015	0.0430578	0.0407159	0.0232149	0.0172978	0.00915182	0.0061234	0.00635457	0.00474117	0.00492061	0.00449189	0.00498164	0.00601476	0.00914979	0.0099287	0.00919937	0.015024	0.014286	0.016101	0.0201503	0.02173	0.0218409	0.0161574	0.0173271	0.0227495	0.0236436	0.0342448	0.0298727	0.0309384	0.0295371	0.0323471	0.0390903	0.0336304	0.0446881	0.0337827	0.0363239	0.137922
