 	o	k	ú	u	m	í	á	m	í	i	á	d	z	e	n	g	á	o	t	o	</S>
j'	0.029216	0.0267112	0.0166721	0.0130101	0.0131325	0.030706	0.047794	0.0577291	0.0703024	0.0838701	0.0672269	0.0727877	0.0797604	0.0780787	0.053817	0.038801	0.0366285	0.0321426	0.0308268	0.0593575	0.0614295
étais	0.150847	0.161897	0.157657	0.111388	0.0624066	0.0297959	0.0296149	0.0165584	0.0269313	0.0224362	0.0253982	0.0156209	0.026522	0.0236985	0.0233117	0.0269209	0.022276	0.0200886	0.0143025	0.0119523	0.0203762
la	0.0269578	0.0199557	0.0237626	0.0215971	0.0276993	0.0616792	0.0383723	0.091893	0.0797136	0.0632522	0.0792335	0.0904996	0.122468	0.0942305	0.0268327	0.0476337	0.0329145	0.033577	0.00665034	0.00698488	0.00409215
seule	0.0339755	0.033783	0.0283103	0.0182725	0.0233939	0.0307497	0.0415074	0.0883471	0.080557	0.0674716	0.0736858	0.0830257	0.0939537	0.124541	0.0432566	0.0421214	0.0228867	0.0249128	0.0155913	0.0122249	0.0174324
personne	0.117013	0.0655158	0.0398652	0.038484	0.0279613	0.0266921	0.030645	0.0659867	0.0566652	0.0360078	0.0386144	0.0426594	0.0540698	0.0680526	0.0428233	0.0464263	0.0454202	0.0516735	0.0412459	0.0290438	0.0351347
à	0.0552553	0.0335071	0.033451	0.0310294	0.0282727	0.0213014	0.0168013	0.0164328	0.0156431	0.0140944	0.0180105	0.0316459	0.060544	0.0829337	0.0861834	0.0662179	0.0735452	0.0644767	0.0874301	0.0802462	0.0829776
attiser	0.0848062	0.0616167	0.0522926	0.0418092	0.0384426	0.0213992	0.0194158	0.0179558	0.0151117	0.0110901	0.0124061	0.0129096	0.034359	0.0441897	0.0556106	0.066231	0.070273	0.0711097	0.0767678	0.0781153	0.114088
ce	0.0453263	0.0394461	0.0373812	0.0367166	0.0401552	0.0351327	0.0356813	0.0320002	0.0293461	0.019672	0.0198078	0.0202558	0.0228451	0.0266801	0.0339373	0.0358361	0.0632942	0.0646285	0.10596	0.0876236	0.168274
feu	0.0861591	0.074086	0.055021	0.0367105	0.0166823	0.00525476	0.00487886	0.00631313	0.00904068	0.00805746	0.00907361	0.011107	0.0138566	0.0201142	0.0278928	0.0450546	0.0446827	0.095222	0.0907325	0.101963	0.238097
</S>	0.135882	0.100155	0.0579259	0.0471787	0.0256057	0.0138737	0.010704	0.0132144	0.0145061	0.0132925	0.0134971	0.0142626	0.0134142	0.017487	0.0247858	0.0285061	0.0336084	0.0714393	0.072991	0.0766779	0.200993
