 	w	a	m	b	í	m	o	r	o	y	e	e	b	h	á	r	í	s	í	o	t	ω	m	b	í	l	i	m	ó	n	ω	ω	m	e	k	y	e	m	b	e	</S>
c'	0.182805	0.203816	0.302863	0.0967251	0.0636728	0.0237956	0.0115881	0.0110734	0.0137558	0.0124565	0.0100404	0.00494184	0.00317591	0.00253754	0.00233796	0.00240057	0.00255895	0.00288725	0.00312311	0.00258812	0.0020839	0.00189164	0.00160238	0.00132535	0.00130382	0.00132999	0.00200114	0.00144687	0.00284606	0.00194325	0.00263269	0.00197863	0.00220718	0.00236784	0.00213348	0.00195484	0.00191241	0.00156909	0.00214707	0.00234543	0.00183411
est	0.0374781	0.0369398	0.0500133	0.0228196	0.0209626	0.0111693	0.0119794	0.00543193	0.010671	0.0131162	0.0145867	0.019098	0.0159294	0.00985754	0.0103929	0.00601346	0.00404209	0.00627889	0.00743439	0.0233999	0.0373344	0.0436738	0.108621	0.0303243	0.0388742	0.0430647	0.0363138	0.0342545	0.0554763	0.045813	0.0432956	0.0313878	0.0217085	0.0226642	0.0190872	0.0149391	0.0127182	0.00741862	0.00667488	0.00460042	0.00414053
lui	0.0139294	0.0272663	0.0567006	0.124812	0.0655547	0.098236	0.0671454	0.062193	0.0616878	0.0612766	0.0207689	0.018714	0.0112646	0.0127407	0.0154764	0.00959785	0.00535034	0.00406107	0.00217992	0.004949	0.0043749	0.00539007	0.00286936	0.00387554	0.00498108	0.0044968	0.00894985	0.00698811	0.00931614	0.00847014	0.0132213	0.0144947	0.00839049	0.00934994	0.00961225	0.00859797	0.00997214	0.0122664	0.0158562	0.0301689	0.0644534
qui	0.0230297	0.0357215	0.0403321	0.0266837	0.0240737	0.0324793	0.0391776	0.0320196	0.0235287	0.0269621	0.0297392	0.0375533	0.0343787	0.0337879	0.0318271	0.0314326	0.0187791	0.0295526	0.0252359	0.0356497	0.0384988	0.0531141	0.0447325	0.0384002	0.024439	0.0105105	0.00779778	0.00477962	0.00553913	0.00444239	0.00280464	0.00717007	0.00468889	0.00834133	0.00859405	0.0106741	0.0124615	0.0158674	0.0197894	0.0179443	0.0474661
a	0.0277263	0.0212287	0.018439	0.0151573	0.0128609	0.0124925	0.0158173	0.00984903	0.0106657	0.00863625	0.00828194	0.0137602	0.0178749	0.015844	0.0321793	0.0459548	0.0493506	0.0504861	0.0259934	0.0509421	0.0536775	0.0962299	0.0549093	0.0693633	0.0703502	0.0386956	0.0185749	0.0123327	0.0115618	0.00433431	0.004699	0.00621653	0.00388745	0.00853495	0.00695183	0.00975955	0.0106112	0.0092211	0.0125513	0.0181663	0.015831
embourbé	0.0094539	0.00971613	0.00971642	0.00922611	0.00776401	0.00759157	0.0121912	0.00876444	0.00829181	0.00930397	0.0112046	0.0181671	0.027388	0.0423497	0.0493593	0.0466919	0.0395273	0.0273117	0.0220081	0.0342839	0.0364951	0.0507212	0.0395798	0.0312018	0.0292589	0.0242617	0.0227075	0.021726	0.0278913	0.0166951	0.0260274	0.0148074	0.0259617	0.0258728	0.0220338	0.0251761	0.015237	0.0123564	0.0227481	0.0313186	0.067611
le	0.000783988	0.000877149	0.00107904	0.00195178	0.00157947	0.00485944	0.0115493	0.00713325	0.00688741	0.0121834	0.0114382	0.023898	0.0195899	0.0201865	0.0191949	0.0278346	0.0384697	0.0763277	0.0920721	0.0692011	0.072012	0.0637403	0.0781775	0.0219923	0.0138765	0.0164855	0.0115148	0.0162576	0.0142056	0.0214505	0.0226664	0.0181821	0.0241324	0.0249069	0.0254957	0.0244646	0.0184691	0.0146745	0.0187072	0.0138585	0.0176332
véhicule	0.00734594	0.0117141	0.0111642	0.0174124	0.0152764	0.0131344	0.00955253	0.00558367	0.00667687	0.00881294	0.0167119	0.0227771	0.0254279	0.0254158	0.0291328	0.0371731	0.0341464	0.031525	0.034496	0.033363	0.0301346	0.0220807	0.0234471	0.012861	0.0114698	0.0143577	0.015708	0.0153266	0.0181318	0.0196345	0.019021	0.020425	0.0235392	0.0241607	0.0278449	0.0331369	0.0348771	0.0406933	0.0495213	0.0472949	0.0994913
à	0.00797184	0.0122778	0.0142441	0.013149	0.0149877	0.0107265	0.0109238	0.00506079	0.00704982	0.00639146	0.0089133	0.0111445	0.0130427	0.0117581	0.0145709	0.040888	0.0403288	0.0707376	0.083377	0.063104	0.0599699	0.0574001	0.0562246	0.0278844	0.0168451	0.010408	0.00964167	0.00800851	0.00783096	0.00863436	0.00854236	0.0108939	0.0125735	0.0139111	0.0167375	0.0207229	0.0260151	0.0284252	0.0337814	0.0400835	0.0648182
l'	0.00790675	0.00850453	0.0146861	0.0144356	0.011544	0.0103115	0.00603887	0.00549112	0.00522672	0.00423166	0.0042896	0.00512768	0.00665859	0.00787145	0.00483707	0.0178783	0.0302437	0.06672	0.0643596	0.0796333	0.054768	0.100642	0.0797265	0.0323803	0.0206985	0.0152569	0.0222242	0.0188737	0.0233436	0.0239659	0.0285923	0.0157545	0.0214951	0.0178858	0.0175619	0.0157979	0.0137261	0.0155402	0.0215631	0.0264774	0.0377303
entrée	0.0114456	0.0111485	0.015702	0.0157148	0.0137265	0.0110471	0.00615281	0.00340673	0.00458282	0.00448115	0.00618145	0.00942209	0.00753285	0.00724839	0.00493086	0.0110645	0.0230358	0.0251242	0.0298708	0.0521176	0.0300157	0.0286212	0.027173	0.0167976	0.0186701	0.0237697	0.037571	0.0301376	0.0476309	0.0512768	0.0398819	0.0301468	0.0263103	0.0238611	0.0240543	0.0221347	0.0208542	0.0336942	0.0423802	0.0664245	0.0846576
d'	0.00865324	0.00797332	0.00501204	0.00431913	0.00329408	0.00328417	0.00364311	0.00363625	0.00300027	0.00378061	0.00340351	0.00396522	0.00389661	0.00627917	0.00650764	0.0228919	0.0329701	0.07998	0.100015	0.0639117	0.055094	0.0561615	0.0614617	0.0312508	0.0238793	0.017104	0.0172489	0.0194416	0.0167358	0.0221762	0.0203003	0.0210986	0.0295494	0.0302709	0.0321793	0.033333	0.0286367	0.0261962	0.0275102	0.0307396	0.0292152
