 	e	k	o	k	o	á	b	o	m	i	l	e	n	g	ó	m	b	a	m	ó	t	á	</S>
ekoko	0.0256046	0.0206914	0.0339978	0.0307696	0.0271107	0.0585499	0.102308	0.0816239	0.0542909	0.0595414	0.0712892	0.0817821	0.0540312	0.0350927	0.031805	0.0284611	0.0265124	0.023054	0.0261034	0.030788	0.0272984	0.0345291	0.0347652
a	0.0761046	0.0932252	0.0874898	0.0594167	0.0192711	0.00806804	0.0254438	0.0516096	0.0569224	0.0659059	0.0870302	0.0675782	0.0313372	0.0229552	0.0305421	0.0387004	0.0440363	0.0516209	0.0285114	0.0252421	0.00810463	0.0126117	0.00827252
tué	0.0680825	0.0524807	0.0591131	0.0679495	0.0440627	0.0871274	0.100451	0.0604579	0.0374677	0.0491394	0.0413525	0.0386414	0.0478361	0.0206314	0.0301057	0.0315719	0.0368628	0.0287825	0.0290455	0.0266856	0.018314	0.0134206	0.0104181
une	0.0311036	0.0338068	0.031934	0.0294243	0.0304934	0.036018	0.0404147	0.101836	0.071068	0.116374	0.0568873	0.0433561	0.0194957	0.0122486	0.018837	0.0325564	0.0386691	0.0420201	0.0204901	0.0443925	0.0432946	0.0259492	0.0793303
antilope	0.0331389	0.0239112	0.0270546	0.0366628	0.0236324	0.0247886	0.0484477	0.0640595	0.0677	0.068623	0.0622063	0.0422462	0.0491617	0.0473115	0.0524152	0.061223	0.0600344	0.0818639	0.0298087	0.026006	0.0128732	0.0239528	0.0328786
noire	0.0351392	0.0312597	0.0279335	0.0222184	0.0190795	0.0207916	0.019942	0.0320687	0.0407807	0.036092	0.0520999	0.0667817	0.085753	0.0952022	0.0941737	0.0751084	0.0561426	0.0411754	0.029622	0.0245475	0.0266761	0.0247451	0.0426671
avec	0.0311264	0.0387699	0.0366785	0.0459791	0.0380573	0.0277896	0.028019	0.0354496	0.0466704	0.0488918	0.0628494	0.0642282	0.0352285	0.0310482	0.0332495	0.0445463	0.0462531	0.0528209	0.0440938	0.0371402	0.0406492	0.0304393	0.100022
le	0.0368731	0.0363482	0.0335162	0.0359862	0.0245676	0.0202177	0.0232746	0.0416208	0.0660173	0.0803435	0.0867353	0.101312	0.0608511	0.0416756	0.0260877	0.0250941	0.0229361	0.0171029	0.0206939	0.0281606	0.0360746	0.0490105	0.0854999
fusil	0.0595596	0.0307269	0.0253921	0.0213177	0.0153899	0.00902276	0.00645654	0.00715582	0.00896359	0.0101494	0.0102786	0.0113804	0.0163387	0.0186819	0.022062	0.0332502	0.0385394	0.0492113	0.0732237	0.0744439	0.103793	0.118769	0.235893
</S>	0.0583973	0.0488838	0.0411353	0.0274652	0.0206965	0.0164673	0.00975984	0.0132668	0.02228	0.0267001	0.0216677	0.020537	0.0199153	0.0155062	0.0121604	0.0190676	0.0340394	0.0582181	0.0687004	0.0801805	0.095833	0.103519	0.165603
