 	w	a	á	m	u	u	m	u	m	w	á	s	í	o	b	o	s	ó	b	í	d	z	w	a	l	í	b	h	é	m	b	a	</S>
il	0.238125	0.274619	0.231427	0.11082	0.0435422	0.00780083	0.00294926	0.00212049	0.00243025	0.00189437	0.00439797	0.00412349	0.00342321	0.00650642	0.00343903	0.00546304	0.00503174	0.0049907	0.00372767	0.00213656	0.00285151	0.0026183	0.00227975	0.002448	0.00336655	0.0025721	0.00268012	0.00439054	0.00361792	0.00493085	0.00464537	0.00275208	0.00187942
a	0.0123255	0.00684169	0.00736017	0.0201428	0.0290662	0.0245583	0.0440365	0.0786361	0.0968588	0.156249	0.100044	0.0668968	0.0743979	0.0604486	0.0495066	0.0403381	0.0193115	0.00895583	0.00985966	0.00920636	0.0102947	0.00831261	0.00554689	0.00666481	0.00707914	0.00485873	0.00515476	0.00311297	0.00227776	0.00770057	0.00669027	0.00882917	0.00843812
embrassé	0.0101649	0.011816	0.00924989	0.00519681	0.00497077	0.00692351	0.0130684	0.024572	0.0331712	0.045116	0.0231454	0.0459726	0.0644388	0.0357412	0.0941606	0.0686846	0.0612751	0.0579745	0.0706809	0.0463824	0.0277394	0.0267378	0.0405269	0.029428	0.0190486	0.0218939	0.011997	0.0186861	0.0127832	0.016021	0.0158994	0.0127791	0.0137541
sa	0.0170915	0.0204877	0.0169088	0.0109839	0.00859974	0.012872	0.018333	0.0241888	0.0168236	0.0263371	0.0121033	0.0158533	0.0251929	0.0251564	0.0276869	0.0275498	0.0373187	0.0506128	0.0390294	0.0962121	0.0774988	0.0766516	0.0541164	0.0479374	0.0329799	0.0380556	0.0216582	0.0207404	0.0176263	0.0179193	0.0121081	0.012235	0.0411315
femme	0.0117245	0.0140805	0.00986775	0.00562032	0.00553191	0.00978097	0.0190604	0.0251936	0.0244947	0.0264111	0.0193178	0.020126	0.0377914	0.0395206	0.0347085	0.0383527	0.102367	0.109858	0.0777257	0.0632893	0.0489005	0.0320535	0.0182827	0.0165856	0.0187546	0.0212176	0.0188419	0.0199729	0.0186191	0.0192211	0.0180322	0.0155706	0.0391246
avant	0.0062304	0.00673692	0.00746531	0.00551442	0.00597474	0.00737385	0.0116391	0.0143344	0.0143162	0.0145523	0.0144324	0.017031	0.0154692	0.0172118	0.0134176	0.0181155	0.0416437	0.0487464	0.0440767	0.0662834	0.080671	0.0872334	0.0260528	0.0336434	0.0514764	0.0414759	0.0408225	0.0370236	0.0450063	0.0323844	0.0308593	0.0416279	0.0611577
d'	0.00842432	0.0081523	0.00637745	0.00650027	0.00884178	0.0170877	0.0238386	0.0298186	0.023232	0.0220434	0.0197115	0.0244536	0.0266292	0.0230956	0.0262567	0.0247925	0.0655709	0.0858368	0.0431788	0.0447075	0.0304307	0.0380893	0.0218553	0.0230216	0.0211944	0.0229411	0.0284193	0.0284185	0.0392563	0.0348458	0.04832	0.0473149	0.0773434
aller	0.0176089	0.0114351	0.012942	0.0169985	0.0220201	0.0249935	0.0264541	0.0258164	0.0215165	0.0241166	0.0180131	0.024111	0.0212156	0.0188122	0.022913	0.0192547	0.0313846	0.0410315	0.0327162	0.0389531	0.0273436	0.0274402	0.0262314	0.021387	0.0370919	0.0265933	0.0306148	0.0284698	0.0386902	0.0553282	0.0580698	0.0604276	0.0900055
en	0.0191344	0.0215828	0.019133	0.0203047	0.0231035	0.0232649	0.0235878	0.0233195	0.0220322	0.0204561	0.0200824	0.018687	0.0179329	0.020433	0.016336	0.0214105	0.04526	0.0538379	0.0349559	0.0525132	0.056328	0.0697691	0.0351081	0.0248101	0.0407746	0.0206269	0.0185387	0.016878	0.0223281	0.0259842	0.0293783	0.0274843	0.0946238
voyage	0.0201771	0.026582	0.0231352	0.0170065	0.019133	0.019556	0.0186348	0.0150583	0.0149659	0.0182139	0.016422	0.0152248	0.0112542	0.0196809	0.0122889	0.0165382	0.0216107	0.0221443	0.0181979	0.0316615	0.0318697	0.0334028	0.0195051	0.0242819	0.0538253	0.0258448	0.053035	0.0327129	0.0498373	0.0522245	0.0550498	0.0793017	0.111623
</S>	0.0155834	0.0171212	0.0173616	0.0192943	0.021198	0.0208759	0.0202713	0.0189345	0.0166439	0.0264421	0.0302252	0.0284048	0.0221693	0.0319394	0.0212178	0.021936	0.0290441	0.0177016	0.0173787	0.0296461	0.0304994	0.0359317	0.0352695	0.0199397	0.0574404	0.0299656	0.0399848	0.0252933	0.0422077	0.0372986	0.0472163	0.055395	0.100169
