 	o	s	ω	m	b	ω	b	á	a	l	a	m	w	á	s	í	á	k	a	n	g	í	s	á	m	í	d	z	w	a	l	á	p	o	o	</S>
osombo	0.00743906	0.00782229	0.00846892	0.0117947	0.00848076	0.013573	0.0264745	0.0370429	0.0427496	0.0433192	0.0472193	0.0489397	0.0457113	0.0515986	0.0449644	0.0433253	0.0301244	0.0312243	0.0223366	0.0199301	0.0178839	0.0196388	0.0177086	0.0195497	0.037231	0.0325555	0.0325617	0.0222059	0.0191029	0.0202541	0.0307271	0.032554	0.0314264	0.0289227	0.0229243	0.0222146
et	0.0581475	0.0606861	0.0323996	0.0113339	0.00832129	0.00618212	0.00625403	0.00572224	0.00917238	0.00700243	0.00554536	0.00754852	0.0110229	0.0189962	0.0101658	0.0151886	0.0251394	0.0459459	0.036579	0.0211627	0.0313568	0.0376748	0.0405675	0.0370549	0.0266227	0.0362617	0.0349077	0.0484254	0.0746539	0.0679789	0.0511223	0.0466361	0.022727	0.0162036	0.0146581	0.0106326
sa	0.101572	0.0984384	0.0947273	0.07744	0.0502824	0.0601862	0.0486512	0.0541756	0.0555203	0.0303409	0.0137282	0.0159827	0.0174642	0.0254226	0.0123182	0.0172445	0.00980327	0.00985392	0.00570086	0.0108439	0.0100681	0.0111442	0.0113569	0.0119419	0.0150927	0.0225879	0.0144464	0.00857904	0.00953087	0.0104752	0.00886273	0.00930688	0.0101671	0.00650964	0.015973	0.0142608
femme	0.0289936	0.0425412	0.0430075	0.036738	0.0171951	0.014167	0.0073122	0.0072199	0.0146215	0.0103748	0.0104556	0.0169722	0.0293523	0.0220466	0.0293966	0.0389307	0.0472086	0.0525473	0.0532268	0.0467892	0.0784971	0.0488249	0.0574802	0.0442768	0.0262741	0.0375469	0.0332281	0.0140303	0.0142839	0.00696778	0.00663547	0.00516541	0.00474236	0.00397333	0.00970721	0.0392695
s'	0.0151704	0.020573	0.026919	0.0321887	0.0351961	0.0330703	0.0370527	0.0411356	0.0352004	0.0473773	0.0414156	0.0359821	0.0328218	0.031161	0.027882	0.0228303	0.0261095	0.0341914	0.0301964	0.0414006	0.0361267	0.0323659	0.0380407	0.0309942	0.0307832	0.0112095	0.0185996	0.0153975	0.00560655	0.00327524	0.0127555	0.0185861	0.0107118	0.014745	0.024501	0.0484269
étaient	0.0355017	0.0314367	0.026302	0.0212421	0.0188805	0.017763	0.0148941	0.01456	0.0156893	0.013848	0.0122937	0.0195988	0.0139898	0.0148467	0.0340959	0.0281117	0.0327114	0.041625	0.0373887	0.0541216	0.0385065	0.0481199	0.0284853	0.0394924	0.0630849	0.0502083	0.0306477	0.0162861	0.0100706	0.00676319	0.0247274	0.0196516	0.0160993	0.0212762	0.0482375	0.0394423
mis	0.0871205	0.0653291	0.049944	0.0379552	0.0265063	0.0254375	0.0207644	0.0168214	0.0210637	0.021485	0.0173554	0.0241253	0.0206339	0.0180663	0.0251972	0.0221097	0.022843	0.029788	0.0222127	0.0304672	0.0313575	0.0316425	0.0319819	0.0253543	0.0327836	0.0220624	0.0205629	0.0161961	0.00761303	0.00560451	0.0172025	0.0192465	0.0155024	0.0184811	0.0375803	0.0616025
d'	0.0450547	0.0315041	0.0258874	0.0217056	0.0142834	0.017612	0.0215777	0.0222317	0.0305209	0.0342994	0.0219711	0.0265246	0.019754	0.0181297	0.0151292	0.0126406	0.0136463	0.0245269	0.0285498	0.0398903	0.0438244	0.0458736	0.0560622	0.0467386	0.0459108	0.033	0.044029	0.0229093	0.011279	0.00714824	0.0175213	0.0215328	0.0180225	0.0256859	0.0345913	0.0404315
accord	0.102547	0.0674276	0.0554469	0.05213	0.029578	0.0238041	0.0139115	0.0103417	0.0158318	0.0168759	0.0165256	0.0173854	0.0159448	0.0156477	0.0138847	0.0136408	0.0112099	0.0138215	0.0141326	0.014807	0.0170965	0.0150983	0.0169973	0.0135023	0.0187111	0.0245932	0.0225204	0.0152747	0.0195594	0.0215547	0.0228654	0.0301745	0.0320396	0.0379345	0.0718082	0.0853759
pour	0.0767266	0.049038	0.0438896	0.038294	0.0280882	0.0321643	0.0215302	0.0127637	0.0163925	0.0177746	0.0160659	0.0155046	0.0212172	0.0196571	0.0118042	0.0131208	0.0138288	0.0116981	0.0158891	0.0127876	0.0244594	0.0182815	0.0266986	0.0205362	0.0226068	0.0201087	0.0297908	0.0226132	0.0230181	0.020089	0.0286011	0.0379917	0.0401643	0.0459081	0.0582792	0.0726179
aller	0.165421	0.0576622	0.0343736	0.0270373	0.0193384	0.0126107	0.0115064	0.00999837	0.00802358	0.00990716	0.00813381	0.00658662	0.00842855	0.00814659	0.0132499	0.0124188	0.0177211	0.0206885	0.0196852	0.0155557	0.0177987	0.0127987	0.0194839	0.0200441	0.0219146	0.0161034	0.0232226	0.0147058	0.0223561	0.0215127	0.0194496	0.035857	0.0468856	0.0485316	0.0735208	0.0993212
au	0.0368574	0.018935	0.0111295	0.00750929	0.00419113	0.0042532	0.00628843	0.00661624	0.00727288	0.00896083	0.00745891	0.00652768	0.0108016	0.00987265	0.00859015	0.0079091	0.00890551	0.014254	0.0132146	0.0176302	0.0201634	0.0216741	0.0426083	0.0372632	0.074177	0.0521994	0.0797879	0.0805204	0.0538184	0.0396875	0.0366739	0.0411711	0.0461702	0.0424243	0.0486954	0.0657872
village	0.0398038	0.0242137	0.0184706	0.0142862	0.00660135	0.00441694	0.00188813	0.00150443	0.00235133	0.00255087	0.0028903	0.00414	0.00899937	0.00979858	0.0105332	0.00888375	0.010543	0.013572	0.0154288	0.0136635	0.013867	0.0116624	0.0155484	0.0119522	0.0166103	0.0182707	0.0273186	0.0222438	0.0221105	0.0269464	0.0385438	0.0677508	0.0965456	0.121616	0.129262	0.145212
</S>	0.0356039	0.027825	0.0254326	0.0222376	0.0161698	0.0185145	0.0254293	0.0290337	0.0365707	0.0399182	0.0288617	0.0267424	0.0237151	0.0249934	0.0103812	0.0104364	0.010465	0.0108266	0.0116832	0.0115044	0.0146222	0.0139327	0.0236239	0.021664	0.018888	0.0266577	0.0363994	0.0439284	0.0365734	0.0348723	0.036892	0.0377144	0.0422539	0.0426385	0.0432752	0.0797193
