 	o	b	έ	r	έ	o	b	i	a	m	ó	b	o	s	ó	k	a	á	</S>
il	0.0110363	0.022018	0.022711	0.0235009	0.0229005	0.0228704	0.0435462	0.0321194	0.04538	0.035675	0.0452424	0.0670706	0.0665505	0.072607	0.0829509	0.116533	0.106536	0.100345	0.0604068
ne	0.169355	0.110754	0.0922478	0.0724117	0.0442199	0.0623089	0.104524	0.0859824	0.0882059	0.0377152	0.0391718	0.0087649	0.0103718	0.0085195	0.0072266	0.0157363	0.00708822	0.016206	0.0191896
faut	0.0891401	0.0989669	0.10038	0.121451	0.0544644	0.0512712	0.064786	0.0916523	0.0580843	0.0431749	0.0264894	0.0133064	0.0289251	0.0196649	0.019115	0.0297227	0.0294409	0.0229345	0.0370305
pas	0.136912	0.140585	0.0892019	0.0497582	0.047326	0.0299997	0.0296331	0.0314751	0.0397078	0.0205567	0.0186912	0.0236862	0.0515188	0.0480268	0.0572915	0.0496628	0.0329925	0.0494154	0.0535594
donner	0.0248804	0.0363812	0.0352709	0.0314382	0.0308897	0.02454	0.0151902	0.0156801	0.0249889	0.0373358	0.0505746	0.0571913	0.088497	0.0929291	0.141422	0.100417	0.0639626	0.0746513	0.0537591
des	0.0360733	0.0669615	0.0768935	0.0855442	0.083948	0.0663592	0.0359378	0.0339334	0.0514457	0.0312704	0.0361878	0.0209045	0.0382337	0.0411856	0.0502355	0.0423501	0.0374991	0.0520948	0.112942
coups	0.0999188	0.110901	0.122611	0.0915266	0.0863024	0.0465339	0.0232209	0.0220958	0.0341137	0.0193073	0.0237079	0.015705	0.0166196	0.0165464	0.0219044	0.0285829	0.0324859	0.0585351	0.129381
bas	0.0604211	0.0812708	0.0698313	0.0619592	0.04059	0.034842	0.0287171	0.030677	0.0327895	0.0288578	0.0215515	0.0134844	0.0270984	0.0233413	0.0427589	0.0433585	0.0311255	0.102887	0.224438
à	0.0663772	0.0588704	0.0443743	0.0317083	0.0209812	0.0132551	0.0127878	0.00963192	0.0102376	0.00354985	0.00421285	0.00656026	0.0216407	0.0378263	0.0910532	0.109733	0.122962	0.147117	0.187121
son	0.314923	0.113043	0.0557106	0.0343013	0.0186005	0.0101829	0.0161619	0.0161036	0.00774112	0.00436413	0.00403758	0.00492979	0.00953229	0.0110617	0.0183123	0.0227117	0.0320581	0.0876209	0.218603
ami	0.193184	0.160301	0.136041	0.100854	0.0611065	0.0253322	0.0174641	0.0180055	0.0147463	0.00935482	0.00967512	0.0132363	0.0294845	0.0373505	0.0303221	0.025868	0.0148165	0.0453445	0.0575137
</S>	0.35967	0.169069	0.0925426	0.0619948	0.0354527	0.0135654	0.00702333	0.00718308	0.00389085	0.00237033	0.00286691	0.00334641	0.00660443	0.00932905	0.0176581	0.0175032	0.0154505	0.061461	0.113018
