 	m	á	a	b	έ	ε	m	á	p	f	é	é	o	y	ú	l	u	m	έ	ε	m	é	d	u	n	ú	o	y	ú	r	u	</S>
ceux-ci	0.0258224	0.0664005	0.0344495	0.0221816	0.00949239	0.0134267	0.0136408	0.0310128	0.0381879	0.0452668	0.0550931	0.0653268	0.0666825	0.0622821	0.0548225	0.0480095	0.0407233	0.027651	0.0230012	0.0139679	0.0166142	0.0164258	0.0229405	0.0217516	0.0170473	0.0171751	0.0155969	0.023486	0.0218913	0.0208955	0.0273667	0.0213681
sont	0.0502756	0.031035	0.0358627	0.0461496	0.0331914	0.0292147	0.0327755	0.0429011	0.0429349	0.0674652	0.06732	0.0561554	0.0452202	0.0478391	0.0403973	0.0386573	0.0165203	0.0199742	0.0224692	0.0437395	0.0218589	0.0190402	0.0173703	0.0145818	0.0136806	0.013099	0.0148563	0.0196703	0.0138115	0.0128966	0.0138654	0.0151706
des	0.0529135	0.0399998	0.0535209	0.0547939	0.036287	0.036235	0.0334392	0.0338662	0.0251615	0.03849	0.0235427	0.0225175	0.0290965	0.0430645	0.0445363	0.0358355	0.020614	0.019673	0.0228867	0.0277449	0.0231053	0.019794	0.0226076	0.0214112	0.0280718	0.0220444	0.0216804	0.0256233	0.0298101	0.0337475	0.0354128	0.0224728
seins	0.0515184	0.0425855	0.0424629	0.0535709	0.0560849	0.0565598	0.0496615	0.0362436	0.0230643	0.0236326	0.0262228	0.0257964	0.0316054	0.0382106	0.0405738	0.041718	0.0303641	0.0154229	0.0207469	0.0248572	0.0103139	0.0117445	0.0203026	0.0183538	0.0299116	0.0273721	0.0228613	0.0245221	0.0168658	0.0185665	0.0196803	0.0486026
de	0.0531415	0.0316564	0.0404996	0.0500787	0.079232	0.0832434	0.078614	0.0546603	0.0336031	0.0316847	0.0235546	0.0189764	0.0133733	0.0134676	0.0163379	0.0138377	0.0105672	0.00959441	0.0124369	0.0160793	0.0166542	0.0128197	0.0156642	0.0171556	0.017532	0.020907	0.0291334	0.0240946	0.0306812	0.0288977	0.0306191	0.0712024
jeunes	0.0200929	0.0121835	0.0106035	0.0129715	0.0203284	0.037197	0.0388398	0.0296257	0.0298264	0.0292409	0.0220704	0.0178731	0.012561	0.0121513	0.0140474	0.0163056	0.019093	0.0190104	0.0362896	0.054105	0.0578224	0.0674892	0.0454709	0.0460497	0.033371	0.0567016	0.0434814	0.0376634	0.0284272	0.0281302	0.0304559	0.0605207
filles	0.0527666	0.044069	0.030151	0.0305656	0.0274952	0.0305541	0.0150393	0.014222	0.0161531	0.0186592	0.0182256	0.0164619	0.0157258	0.0170627	0.0210841	0.0262686	0.0242855	0.0174017	0.0224794	0.0272516	0.0276207	0.0354064	0.0373913	0.0385308	0.0309448	0.0407487	0.0401626	0.0522598	0.0385051	0.0429004	0.0515049	0.0781024
et	0.0337689	0.023412	0.0166067	0.0163367	0.0172103	0.0177428	0.0134569	0.00723582	0.00669283	0.00830031	0.00937406	0.0122388	0.0233277	0.0355802	0.0490161	0.048916	0.0526126	0.0483703	0.0799563	0.0821684	0.0463623	0.0535631	0.0405196	0.0316332	0.0298166	0.0235961	0.0273845	0.0325247	0.0248721	0.0182844	0.0238236	0.0452959
ceux-là	0.0363675	0.0115229	0.00957807	0.00866727	0.015404	0.0177598	0.00993618	0.00511039	0.00761775	0.00986226	0.0120329	0.0116403	0.012544	0.0160667	0.0224223	0.0215246	0.0322375	0.0385269	0.0607938	0.0969179	0.0968935	0.123308	0.0582076	0.0501172	0.0419084	0.0374663	0.0189975	0.026688	0.0156135	0.0219774	0.0231818	0.0291082
d'	0.0467141	0.0294629	0.0211681	0.0135789	0.0104039	0.0100464	0.0107771	0.00800607	0.00815441	0.00839778	0.00845814	0.00759135	0.00640742	0.00869088	0.00977686	0.0144284	0.026484	0.0272296	0.037499	0.0459096	0.0493742	0.0608581	0.0483361	0.0521743	0.0438117	0.0462438	0.0373218	0.0405146	0.049733	0.0575368	0.0630932	0.0918173
une	0.123299	0.0539653	0.0283485	0.01391	0.00753347	0.00479524	0.00436664	0.0047828	0.0069406	0.00933332	0.0101516	0.0114598	0.011046	0.0127935	0.0176133	0.015032	0.0183475	0.0188832	0.0257195	0.030294	0.0308885	0.0383616	0.0332691	0.0366952	0.0351401	0.0388521	0.0281728	0.0462709	0.0376705	0.0557982	0.0633274	0.126938
vieille	0.0644154	0.0299677	0.015834	0.0107716	0.00652308	0.00513095	0.00442758	0.00415314	0.00480826	0.00806728	0.00810808	0.0116901	0.0160998	0.0176826	0.0248928	0.0255755	0.0272265	0.0238763	0.0415786	0.0527492	0.0439771	0.0507431	0.0478406	0.0447525	0.0398027	0.0451667	0.0346272	0.050902	0.0372746	0.0479227	0.054254	0.0991583
femme	0.027504	0.017534	0.013156	0.0103501	0.010263	0.0102067	0.00619378	0.00514286	0.00525834	0.00698883	0.00657106	0.00882111	0.0120107	0.0134577	0.015282	0.017918	0.0209436	0.0199502	0.0276263	0.0359342	0.0384123	0.0523933	0.0530381	0.0506629	0.0508835	0.0581465	0.0565114	0.0556032	0.0592501	0.0632794	0.0728646	0.0978423
</S>	0.0232636	0.0173703	0.0133426	0.0104742	0.00999205	0.00874894	0.00659359	0.00849729	0.00761313	0.011202	0.00961601	0.0110665	0.014543	0.0179556	0.0162225	0.0187602	0.0221116	0.016537	0.0167316	0.0171435	0.0207206	0.0323429	0.0346355	0.0421695	0.0439866	0.0644026	0.0623725	0.0644013	0.0701796	0.0763707	0.0978006	0.112832
